model,url,revision,model_card_url
Qiushi-Engine-Frontier-Advancement,https://huggingface.co/leslie721007/Qiushi-Engine-Frontier-Advancement,5eb20f9c5088f40183269bb2c97381711aea0143,https://huggingface.co/leslie721007/Qiushi-Engine-Frontier-Advancement/blob/5eb20f9c5088f40183269bb2c97381711aea0143/README.md
Qiushi-Engine-Principle-Guided-Frontier-Advancement,https://huggingface.co/leslie721007/Qiushi-Engine-Principle-Guided-Frontier-Advancement,ce7eabf0dfbd3d1393670f41f610bdccbdbe45d1,https://huggingface.co/leslie721007/Qiushi-Engine-Principle-Guided-Frontier-Advancement/blob/ce7eabf0dfbd3d1393670f41f610bdccbdbe45d1/README.md
