relation,token_class,delta_true_source_advantage_nats,training_seed_sd,delta_unrelated_source_advantage_nats,unrelated_training_seed_sd,n_training_seeds,pairs_per_seed,aggregation,source_file
exact_repetition,overlap,0.1090419302193112,0.12158641209066771,0.012306757212486613,0.02707023451213881,3,1200,pair_mean_by_target_class,experiments/archive/relation_learning/data/numerical_repair/wikipedia_transfer_summary_recomputed_classbalanced_and_tokenweighted.csv
aligned_restatement,overlap,0.23763880541943935,0.07055365454433404,0.006856861109018032,0.015853352504972374,3,1200,pair_mean_by_target_class,experiments/archive/relation_learning/data/numerical_repair/wikipedia_transfer_summary_recomputed_classbalanced_and_tokenweighted.csv
exact_repetition,nonoverlap,-0.2171304292915738,0.028540934972082772,0.010987230509520112,0.04987515110479279,3,1200,pair_mean_by_target_class,experiments/archive/relation_learning/data/numerical_repair/wikipedia_transfer_summary_recomputed_classbalanced_and_tokenweighted.csv
aligned_restatement,nonoverlap,0.031614504085758846,0.039849526203438436,-0.00522242830046539,0.02549566446269115,3,1200,pair_mean_by_target_class,experiments/archive/relation_learning/data/numerical_repair/wikipedia_transfer_summary_recomputed_classbalanced_and_tokenweighted.csv
