alpha,mean7,overall,changed_items,net_discrete_items,status
0.00,43.959450,41.9424811674,0,0,frozen_anchor
0.50,44.177857,42.1149727953,3141,-21,posthoc_scale_probe
0.75,44.181429,42.1210247100,4750,-86,selected_reported_endpoint
1.00,44.106429,42.0594172397,6347,-115,training_scale_with_repeat_superglue
