model,n_subtasks,n_examples,identical_choice_items,additional_correct_by_text,local_report_score,selected_option_macro,saved_text_macro,saved_text_display,prediction_file
Qiushi-Engine-Frontier-Advancement,67,59875,7,3,68.51,68.5109306853753,68.51596989215172,68.52,models/frontier/evaluation/results/Qiushi-Engine-Frontier-Advancement/main/zero_shot/mlm/blimp/blimp_filtered/predictions.json
Qiushi-Engine-Principle-Guided-Frontier-Advancement,67,59875,7,5,68.26,68.25771281326325,68.26616003849541,68.27,models/principle_guided/evaluation/results/Qiushi-Engine-Principle-Guided-Frontier-Advancement/main/zero_shot/mlm/blimp/blimp_filtered/predictions.json
