population,target_events,source_pairs,delta_nats,lower_95_reported,upper_95_reported
source_disjoint_quality,974,710,0.0796,0.031,0.125
doc_disjoint_quality,71,,0.1141,-0.063,0.313
doc_disjoint_all_accepted,1012,,0.0356,-0.008,0.076
