condition,mean7,comparison_class,interpretation,starting_word_exposure,endpoint_word_exposure,tail_charged_words,late_updates,total_parameters,frozen_parameters,late_trainable_parameters,optimization_regime,objective_regime
82M frozen anchor,43.95944987645173,reference,primary path before late consolidation,82012495,82012495,0,0,35463008,35463008,0,frozen_reference,no_late_objective
86M ordinary continuation,43.770714285714284,near_exposure_context,continued joint training,82012495,86006729,3994234,101,35463008,0,35463008,continued_primary_optimizer_and_schedule,main_mlm_ce
86M shuffled private replay,44.01285714285714,near_exposure_context,private path with shuffled auxiliary correspondence,82012495,86005413,3992918,100,36458592,35463008,995584,fresh_private_optimizer_and_restarted_schedule,shuffled_auxiliary_ce_plus_private_kl
86M coherent private replay (beta 1.0),44.10642857142857,near_exposure_private_control,coherent main-MLM replay at training scale,82012495,86005295,3992800,101,36458592,35463008,995584,fresh_private_optimizer_and_restarted_schedule,coherent_main_mlm_ce_plus_private_kl
86M span-broken private replay,43.121428571428574,closest_controlled_contrast,within-row coherent spans permuted,82012495,86005295,3992800,101,36458592,35463008,995584,fresh_private_optimizer_and_restarted_schedule,span_broken_main_mlm_ce_plus_private_kl
