policy,population,examples,target_tokens,ce_gain_nats,rank_gain,parent_kl_nats
Ordinary continuation,dense_familiar_common,169,1003,-0.005,0.7,0.001
Acquisition only,dense_familiar_common,169,1003,0.757,132.8,0.503
Complete strategy,dense_familiar_common,169,1003,0.682,128.3,0.353
Complete strategy second seed,dense_familiar_common,169,1003,0.679,128.0,0.345
Dense-state preservation,dense_familiar_common,169,1003,0.159,34.8,0.009
Acquisition only,ordinary_wwm,384,10348,-0.029,,0.02449
Complete strategy,ordinary_wwm,384,10348,-0.010,,0.00941
