condition,training_seeds,familiar_accuracy,held_accuracy,held_centered_accuracy,held_zeroed_accuracy,held_intervention_target_selection_rate
acquired,2,1.0,0.875,0.265625,0.25,0.675782
ordinary_full,2,0.872396,0.402343,0.251302,0.311198,0.313802
static_credit_1_over_17,2,1.0,0.755208,0.3125,0.335938,0.481771
interleaved_answer_full,2,1.0,0.833333,0.329427,0.386718,0.639323
