family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
copy,D,43222,ALL,CminusR,2000,3,-0.5593732318344022
copy,D,43222,ALL,RminusC,2000,3,0.5593732318344022
copy,D,43222,ALL,RminusV,2000,3,0.24466841541229156
copy,D,43222,ALL,VminusC,2000,3,0.3147048164221107
copy,D,43222,ALL,VminusR,2000,3,-0.24466841541229156
copy,D,43222,domain_bnc_spoken,CminusR,180,3,-0.5561186325995583
copy,D,43222,domain_bnc_spoken,RminusC,180,3,0.5561186325995583
copy,D,43222,domain_bnc_spoken,RminusV,180,3,0.0704176024557522
copy,D,43222,domain_bnc_spoken,VminusC,180,3,0.4857010301438061
copy,D,43222,domain_bnc_spoken,VminusR,180,3,-0.0704176024557522
copy,D,43222,domain_childes,CminusR,642,3,-0.4288954237771141
copy,D,43222,domain_childes,RminusC,642,3,0.4288954237771141
copy,D,43222,domain_childes,RminusV,642,3,0.19617087917348183
copy,D,43222,domain_childes,VminusC,642,3,0.23272454460363226
copy,D,43222,domain_childes,VminusR,642,3,-0.19617087917348183
copy,D,43222,domain_gutenberg,CminusR,468,3,-0.5713275587385995
copy,D,43222,domain_gutenberg,RminusC,468,3,0.5713275587385995
copy,D,43222,domain_gutenberg,RminusV,468,3,0.18200683205638826
copy,D,43222,domain_gutenberg,VminusC,468,3,0.38932072668221124
copy,D,43222,domain_gutenberg,VminusR,468,3,-0.18200683205638826
copy,D,43222,domain_open_subtitles,CminusR,434,3,-0.6139453387881243
copy,D,43222,domain_open_subtitles,RminusC,434,3,0.6139453387881243
copy,D,43222,domain_open_subtitles,RminusV,434,3,0.3369043765062913
copy,D,43222,domain_open_subtitles,VminusC,434,3,0.277040962281833
copy,D,43222,domain_open_subtitles,VminusR,434,3,-0.3369043765062913
copy,D,43222,domain_simple_wiki,CminusR,272,3,-0.7860167719620299
copy,D,43222,domain_simple_wiki,RminusC,272,3,0.7860167719620299
copy,D,43222,domain_simple_wiki,RminusV,272,3,0.4487544877897071
copy,D,43222,domain_simple_wiki,VminusC,272,3,0.3372622841723228
copy,D,43222,domain_simple_wiki,VminusR,272,3,-0.4487544877897071
copy,D,43222,domain_switchboard,CminusR,4,3,1.0839721903515358
copy,D,43222,domain_switchboard,RminusC,4,3,-1.0839721903515358
copy,D,43222,domain_switchboard,RminusV,4,3,-0.6842398829370117
copy,D,43222,domain_switchboard,VminusC,4,3,-0.39973230741452426
copy,D,43222,domain_switchboard,VminusR,4,3,0.6842398829370117
copy,D,43222,span_1,CminusR,1000,3,-0.6466738397156834
copy,D,43222,span_1,RminusC,1000,3,0.6466738397156834
copy,D,43222,span_1,RminusV,1000,3,0.32197789000698646
copy,D,43222,span_1,VminusC,1000,3,0.3246959497086969
copy,D,43222,span_1,VminusR,1000,3,-0.32197789000698646
copy,D,43222,span_4,CminusR,1000,3,-0.4720726239531207
copy,D,43222,span_4,RminusC,1000,3,0.4720726239531207
copy,D,43222,span_4,RminusV,1000,3,0.1673589408175964
copy,D,43222,span_4,VminusC,1000,3,0.3047136831355243
copy,D,43222,span_4,VminusR,1000,3,-0.1673589408175964
