family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
rewrite,D,43222,ALL,CminusR,5892,3,0.7761038366117695
rewrite,D,43222,ALL,RminusC,5892,3,-0.7761038366117695
rewrite,D,43222,ALL,RminusV,5892,3,-1.381929888271495
rewrite,D,43222,ALL,VminusC,5892,3,0.6058260516597255
rewrite,D,43222,ALL,VminusR,5892,3,1.381929888271495
rewrite,D,43222,token_nonoverlap,CminusR,2732,3,0.8503153243582737
rewrite,D,43222,token_nonoverlap,RminusC,2732,3,-0.8503153243582737
rewrite,D,43222,token_nonoverlap,RminusV,2732,3,-1.6895641422959322
rewrite,D,43222,token_nonoverlap,VminusC,2732,3,0.8392488179376586
rewrite,D,43222,token_nonoverlap,VminusR,2732,3,1.6895641422959322
rewrite,D,43222,token_overlap,CminusR,3160,3,0.711943778218273
rewrite,D,43222,token_overlap,RminusC,3160,3,-0.711943778218273
rewrite,D,43222,token_overlap,RminusV,3160,3,-1.115962552197203
rewrite,D,43222,token_overlap,VminusC,3160,3,0.4040187739789299
rewrite,D,43222,token_overlap,VminusR,3160,3,1.115962552197203
