endpoint,form,source_id,row_index,position,token_id,token,token_kind,distance_to_nearest_special,row_active_tokens,row_length_bin,kl
coherent86_alpha075,coherent_add_special,1308,31,54,11862,Ġcable,content,54,218,128-255,0.07684140652418137
coherent86_alpha075,coherent_add_special,42826,27,123,971,ents,content,87,211,128-255,0.07630888372659683
coherent86_alpha075,coherent_no_special,28266,4,173,12490,ĠFull,content,-1,209,128-255,0.06842977553606033
coherent86_alpha075,coherent_no_special,1308,31,53,11862,Ġcable,content,-1,216,128-255,0.06124713271856308
coherent86_alpha075,coherent_no_special,42826,27,122,971,ents,content,-1,209,128-255,0.05987498536705971
coherent86_alpha075,coherent_no_special,22977,3,16,16211,ĠTrip,content,-1,210,128-255,0.057771388441324234
coherent86_alpha075,coherent_add_special,44911,25,145,3028,nel,content,96,242,128-255,0.05671726539731026
coherent86_alpha075,coherent_no_special,44911,25,144,3028,nel,content,-1,240,128-255,0.0562921017408371
coherent86_alpha075,coherent_add_special,22977,3,17,16211,ĠTrip,content,17,212,128-255,0.05597878247499466
coherent86_alpha075,short_add_special,950870,19,11,14510,Ġbreeding,content,11,36,32-63,0.04864668473601341
coherent86_alpha075,short_add_special,950870,20,23,2,</s>,special,0,24,16-31,0.04047117009758949
coherent86_alpha075,coherent_no_special,951788,17,166,72,d,content,-1,212,128-255,0.03712952882051468
coherent86_alpha075,coherent_add_special,951788,17,166,10314,Ġcod,content,47,214,128-255,0.03662747144699097
coherent86_alpha075,short_add_special,950870,20,0,1,<s>,special,0,24,16-31,0.03594936430454254
coherent86_alpha075,coherent_no_special,32315,11,66,558,ish,content,-1,227,128-255,0.03518163412809372
coherent86_alpha075,coherent_no_special,22956,8,129,1727,Ġfelt,content,-1,256,>=256,0.03429234027862549
coherent86_alpha075,coherent_add_special,28266,4,174,12490,ĠFull,content,36,211,128-255,0.033575646579265594
coherent86_alpha075,coherent_no_special,22956,8,47,54,R,content,-1,256,>=256,0.032474592328071594
coherent86_alpha075,coherent_no_special,46666,9,46,16006,igi,content,-1,218,128-255,0.03187540918588638
coherent86_alpha075,coherent_no_special,32315,11,155,911,ild,content,-1,227,128-255,0.031496696174144745
coherent86_alpha075,short_add_special,950870,23,22,9614,Ġfilms,content,22,67,64-127,0.03096991591155529
coherent86_alpha075,coherent_no_special,951788,17,163,2826,-g,content,-1,212,128-255,0.03094654530286789
coherent86_alpha075,coherent_add_special,32315,11,156,911,ild,content,72,229,128-255,0.03085409104824066
coherent86_alpha075,coherent_add_special,33506,0,90,2973,Ġworth,content,90,217,128-255,0.030835555866360664
coherent86_alpha075,coherent_add_special,32315,11,67,558,ish,content,67,229,128-255,0.030764862895011902
coherent86_alpha075,coherent_no_special,29417,22,9,1530,ike,content,-1,237,128-255,0.030255574733018875
coherent86_alpha075,coherent_add_special,951788,17,167,72,d,content,46,214,128-255,0.02970021776854992
coherent86_alpha075,coherent_no_special,22956,8,73,4901,ĠElizabeth,content,-1,256,>=256,0.029024768620729446
coherent86_alpha075,coherent_add_special,8968,5,4,8637,Ġfits,content,4,256,>=256,0.028947051614522934
coherent86_alpha075,coherent_add_special,1800,1,74,292,ĠW,content,74,203,128-255,0.028674466535449028
coherent86_alpha075,coherent_no_special,1800,1,73,292,ĠW,content,-1,201,128-255,0.028402622789144516
coherent86_alpha075,coherent_add_special,32315,11,0,1,<s>,special,0,229,128-255,0.02796492539346218
