endpoint,form,token_kind,distance_bin,row_length_bin,tokens,kl_mean,kl_sd_pop,kl_max
coherent86_alpha075,coherent_add_special,content,1,128-255,54,0.0026248582193078266,0.005453713813004542,0.02394481934607029
coherent86_alpha075,coherent_add_special,content,1,>=256,10,3.6362236392051274e-05,6.459015093417726e-05,0.0002252936246804893
coherent86_alpha075,coherent_add_special,content,16-31,128-255,864,0.000652771966315561,0.002707595424944531,0.05597878247499466
coherent86_alpha075,coherent_add_special,content,16-31,>=256,160,0.0006621666902224099,0.0017125841999596186,0.010901416651904583
coherent86_alpha075,coherent_add_special,content,2-3,128-255,108,0.0005873722124705326,0.0021841559636064196,0.01756938546895981
coherent86_alpha075,coherent_add_special,content,2-3,>=256,20,0.0006394904000643464,0.0023765634409967686,0.010955648496747017
coherent86_alpha075,coherent_add_special,content,32-63,128-255,1728,0.000841001272650994,0.0032807812948275963,0.07684140652418137
coherent86_alpha075,coherent_add_special,content,32-63,>=256,320,0.0007118406027516677,0.0027476648265373185,0.026090193539857864
coherent86_alpha075,coherent_add_special,content,4-7,128-255,216,0.0008969035829693439,0.002715170203196144,0.022994443774223328
coherent86_alpha075,coherent_add_special,content,4-7,>=256,40,0.0011061651126141215,0.004569732031239685,0.028947051614522934
coherent86_alpha075,coherent_add_special,content,64-127,128-255,2474,0.0007764620065930949,0.003051815915540717,0.07630888372659683
coherent86_alpha075,coherent_add_special,content,64-127,>=256,640,0.0007182026780077122,0.0024417756982197994,0.025415629148483276
coherent86_alpha075,coherent_add_special,content,8-15,128-255,432,0.0006046014394252913,0.001982178337215325,0.023372437804937363
coherent86_alpha075,coherent_add_special,content,8-15,>=256,80,0.001105148842413506,0.003738169568937332,0.02713344246149063
coherent86_alpha075,coherent_add_special,special,0,128-255,54,0.006224390691150566,0.004445686687285928,0.02796492539346218
coherent86_alpha075,coherent_add_special,special,0,>=256,10,0.007209495247843733,0.004234399439788291,0.013495262712240219
coherent86_alpha075,coherent_no_special,content,none,128-255,6131,0.0007620055093013976,0.00294032018353594,0.06842977553606033
coherent86_alpha075,coherent_no_special,content,none,>=256,1024,0.0008731273464954101,0.0030466786418352617,0.03429234027862549
coherent86_alpha075,short_add_special,content,1,0-15,24,0.0023212928284124246,0.0039881483159732636,0.0177915059030056
coherent86_alpha075,short_add_special,content,1,16-31,18,0.002888845213078639,0.006873277452112754,0.025579335168004036
coherent86_alpha075,short_add_special,content,1,32-63,18,0.0014998009767421333,0.0037233943432783663,0.014084864407777786
coherent86_alpha075,short_add_special,content,1,64-127,4,0.0068962327004555846,0.008753481383906244,0.021793464198708534
coherent86_alpha075,short_add_special,content,16-31,32-63,120,0.0016129992420886197,0.0047619901149275334,0.027723170816898346
coherent86_alpha075,short_add_special,content,16-31,64-127,64,0.0019449658636636613,0.0050513886209101536,0.03096991591155529
coherent86_alpha075,short_add_special,content,2-3,0-15,39,0.0006619792938507976,0.0015973481881495198,0.008057246915996075
coherent86_alpha075,short_add_special,content,2-3,16-31,36,0.0004130369549923469,0.0008559827542655666,0.004294004291296005
coherent86_alpha075,short_add_special,content,2-3,32-63,36,0.0009560595644997091,0.0022544953972020074,0.010082872584462166
coherent86_alpha075,short_add_special,content,2-3,64-127,8,0.0008890889650956524,0.0009572904180886406,0.0024207427632063627
coherent86_alpha075,short_add_special,content,32-63,64-127,28,0.001323035123899022,0.003828760460147278,0.019896764308214188
coherent86_alpha075,short_add_special,content,4-7,0-15,21,0.0007318145338840189,0.0014087005499782651,0.006308900658041239
coherent86_alpha075,short_add_special,content,4-7,16-31,72,0.0012845439564483424,0.0038241486105415586,0.022623442113399506
coherent86_alpha075,short_add_special,content,4-7,32-63,72,0.0006620176780055923,0.00120450136667092,0.006770001258701086
coherent86_alpha075,short_add_special,content,4-7,64-127,16,0.0014642116690453122,0.0020310261258587336,0.006124497856944799
coherent86_alpha075,short_add_special,content,8-15,16-31,53,0.002413319205348705,0.005021821327362967,0.019710954278707504
coherent86_alpha075,short_add_special,content,8-15,32-63,144,0.0012811552585895293,0.00488558082447927,0.04864668473601341
coherent86_alpha075,short_add_special,content,8-15,64-127,32,0.0007844874592706219,0.0018633794022650714,0.008068455383181572
coherent86_alpha075,short_add_special,special,0,0-15,24,0.00811787977242299,0.0057527462227532486,0.021148882806301117
coherent86_alpha075,short_add_special,special,0,16-31,18,0.0109742368480915,0.011444244067664026,0.04047117009758949
coherent86_alpha075,short_add_special,special,0,32-63,18,0.004010686838430249,0.0032110152563739705,0.010789401829242706
coherent86_alpha075,short_add_special,special,0,64-127,4,0.0037823072125320323,0.0019266226812504857,0.005141845904290676
coherent_special_98097_alpha075,coherent_add_special,content,1,128-255,54,0.09825149235226992,0.32743038820776554,1.9089008569717407
coherent_special_98097_alpha075,coherent_add_special,content,1,>=256,10,0.00015703754393143755,0.00021573390503627847,0.0007448999676853418
coherent_special_98097_alpha075,coherent_add_special,content,16-31,128-255,864,0.0008066550447953626,0.0030018679880219603,0.03513737767934799
coherent_special_98097_alpha075,coherent_add_special,content,16-31,>=256,160,0.0011795706540406847,0.003872950154391238,0.024994034320116043
