domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.49638009049773757,804,0.36380090497737555,0.7223719676549866,1113,0.008844602853059769
social-relations,1548,0.49160206718346255,525,0.3391472868217054,0.6670902160101652,787,0.1645643226802349
physical-relations,818,0.4938875305623472,292,0.3569682151589242,0.7053140096618358,414,0.08345206640660763
material-dynamics,770,0.5441558441558442,230,0.2987012987012987,0.6552706552706553,351,0.018636584281921387
spatial-relations,490,0.46938775510204084,206,0.4204081632653061,0.7923076923076923,260,-0.05598580837249756
physical-interactions,556,0.4712230215827338,199,0.3579136690647482,0.6768707482993197,294,-0.10392884537577629
social-properties,328,0.4817073170731707,122,0.3719512195121951,0.7176470588235294,170,-0.7160219820216298
quantitative-properties,314,0.5031847133757962,87,0.2770700636942675,0.5576923076923077,156,0.3467016462236643
social-interactions,294,0.5272108843537415,86,0.2925170068027211,0.6187050359712231,139,0.2650749646127224
material-properties,170,0.4823529411764706,57,0.3352941176470588,0.6477272727272727,88,-0.0625234916806221
physical-dynamics,120,0.48333333333333334,38,0.31666666666666665,0.6129032258064516,62,0.4159195339307189
