arm_key,contrast_group,model_family,seed,data_role,checkpoint,predictions,split,numops,n_gold_filtered,n_pred,n_scored,correct,score_pp,pred_option0_frac,pred_not_in_options_frac
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,2,399,399,399,83,20.80200501253133,0.20802005012531327,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,3,406,406,406,103,25.36945812807882,0.2536945812807882,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,4,353,353,353,99,28.045325779036826,0.2804532577903683,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_80M/Entity/chck_80M/full_dose_max_view_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,5,116,116,116,44,37.93103448275862,0.3793103448275862,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_90M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,0,508,508,508,152,29.921259842519685,0.2992125984251969,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_90M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,1,428,428,428,65,15.186915887850468,0.15186915887850466,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_90M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,2,413,413,413,98,23.728813559322035,0.23728813559322035,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_90M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,3,409,409,409,112,27.383863080684595,0.27383863080684595,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_90M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,4,434,434,434,158,36.40552995391705,0.3640552995391705,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_90M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,5,123,123,123,37,30.08130081300813,0.3008130081300813,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_90M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,0,517,517,517,208,40.2321083172147,0.402321083172147,0.0
