contrast_name,contrast,checkpoint,words,model_family,seed_A,seed_B,arm_A,arm_B,group,numops_group,split_group,A_macro_pp,B_macro_pp,delta_macro_pp,A_micro_pp,B_micro_pp,delta_micro_pp,A_pred_option0_frac,B_pred_option0_frac,delta_pred_option0_frac,A_n_scored,B_n_scored
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,all_18_subtasks,all,all,27.983992384550877,23.48280568802265,4.501186696528226,27.743362831858406,24.70501474926254,3.038348082595867,,,,6780,6780
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,ambiref_nonzero_ops,nonzero,ambiref,27.19477498293413,21.234619965631495,5.960155017302636,26.618705035971225,20.75262866629773,5.866076369673493,0.26618705035971224,0.20752628666297732,0.058660763696734924,1807,1807
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,ambiref_zero_ops,zero,ambiref,28.937007874015748,34.44881889763779,-5.511811023622045,28.937007874015748,34.44881889763779,-5.511811023622045,0.28937007874015747,0.34448818897637795,-0.055118110236220486,508,508
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,move_contents_nonzero_ops,nonzero,move_contents,25.450159646156173,18.21233550299761,7.237824143158562,23.08591466978375,17.299824663939216,5.786090005844535,0.23085914669783753,0.17299824663939217,0.05786090005844535,1711,1711
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,move_contents_zero_ops,zero,move_contents,45.93023255813954,54.651162790697676,-8.720930232558139,45.93023255813954,54.651162790697676,-8.720930232558139,0.45930232558139533,0.5465116279069767,-0.08720930232558138,516,516
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,nonzero_ops,nonzero,all,25.868816225300602,18.667478942600816,7.201337282699786,24.546669211681618,17.961443023477763,6.585226188203855,0.24546669211681618,0.17961443023477763,0.06585226188203855,5239,5239
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,numops_0,0,all,38.55987318080224,47.559439415131806,-8.999566234329563,38.61129136924075,47.631408176508764,-9.02011680726801,0.3861129136924075,0.4763140817650876,-0.09020116807268008,1541,1541
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,numops_1,1,all,14.660607418856017,12.744378730361527,1.9162286884944901,14.678178963893249,12.794348508634222,1.8838304552590266,0.14678178963893249,0.12794348508634223,0.01883830455259025,1274,1274
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,numops_2,2,all,22.65297057248688,18.389644334733045,4.263326237753834,22.67871815940838,18.405916187345934,4.272801972062446,0.22678718159408381,0.18405916187345933,0.04272801972062448,1217,1217
deberta_basin1,view_minus_repeat,chck_80M,80000000,DeBERTa,43022,43022,deberta_basin1_view,deberta_basin1_repeat,numops_3,3,all,26.447185500960355,17.66844945549251,8.778736045467845,26.451612903225808,17.661290322580644,8.790322580645164,0.2645161290322581,0.17661290322580644,0.08790322580645163,1240,1240
