checkpoint,words,n_common_stable_items,compact_minus_repeat_delta_cross_seed_pearson_r,compact_correctness_cross_seed_r,repeat_correctness_cross_seed_r,seed43022_delta_item_acc_pp,seed43122_delta_item_acc_pp,seed43022_flip_fraction_pct,seed43122_flip_fraction_pct,same_sign_enrichment
chck_10M,10000000,170519,0.009092625532068374,0.3786672178887944,0.34826976691122014,-0.058058046317419176,-0.2240219564975164,19.71217283704455,19.990734170385704,1.400656254510837
chck_20M,20000000,170519,0.004478624021709799,0.36757158459007166,0.3742589910701476,-0.15482145684645113,-0.5102070736985321,23.65953354171676,21.3559779262135,1.348001251648309
chck_30M,30000000,170519,-0.023266085720681496,0.2810916831409322,0.3071527227083793,-0.0639224954403908,-0.19880482526873838,30.385470240852925,28.243773421143686,1.1950119713817235
chck_40M,40000000,170519,0.006422523506057136,0.2979803888124152,0.3353537645487699,0.387640087028425,-0.8034295298471138,31.404711498425396,29.1498308106428,1.2765372330526386
chck_50M,50000000,170519,0.0023110046206684144,0.3097557009658534,0.32481459691772574,-0.08562095719538586,-0.23751018948035116,30.990094945431302,30.249415021199983,1.2512708795648204
chck_60M,60000000,170519,0.012980368935112094,0.31871525872408973,0.3418890200112194,-0.4802983831713768,0.04632914807147591,30.41361959664319,29.182085280819145,1.3296116882580813
chck_70M,70000000,170519,0.015944933031248745,0.33035306826846444,0.36040497509617975,-0.044569813334584416,-0.5547768870331166,30.203085873128508,28.996182243620947,1.3646679843129255
chck_80M,80000000,170519,0.0008136242873850048,0.35212824509379065,0.36289284913851355,0.00879667368445745,-0.4498032477319243,29.149244365730507,27.20459303655311,1.34654880880731
chck_90M,90000000,170519,0.001321321973797055,0.3573224210564129,0.37851536478563996,-0.2017370498302242,-0.4146165529940945,28.450788475184584,27.11193474041016,1.3680478853524538
chck_100M,100000000,170519,-0.0002954577953173182,0.35776569514931644,0.3720103060384931,-0.18590303719820078,-0.31902603228965687,28.518229640098756,27.121904303919212,1.3569245066630107
