arm,checkpoint,seed,role,probe_family,probe_id,token_class,gain,pair_id,rewrite_token_len,rewrite_words,source_token_len,source_words,true_source_nll,unrelated_source_nll,source,role2
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:0:0:compact:fwcompact_medium_006297,nonoverlap,-2.53254508972168,compact:fwcompact_medium_006297,31,20,60,43,8.408859252929688,5.876314163208008,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:0:26:compact:fwcompact_medium_006297,nonoverlap,1.8501536846160889,compact:fwcompact_medium_006297,31,20,60,43,1.7992746829986572,3.649428367614746,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:0:28:compact:fwcompact_medium_006297,overlap,-1.0776543617248535,compact:fwcompact_medium_006297,31,20,60,43,4.240816116333008,3.1631617546081543,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:0:3:compact:fwcompact_medium_006297,overlap,9.328853648155928,compact:fwcompact_medium_006297,31,20,60,43,0.0236339159309864,9.352487564086914,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1000:10:compact:fwcompact_expansion_020154,overlap,3.104203224182129,compact:fwcompact_expansion_020154,12,9,17,12,6.589381217956543,9.693584442138672,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1000:1:compact:fwcompact_expansion_020154,overlap,10.866956308484076,compact:fwcompact_expansion_020154,12,9,17,12,0.1702617853879928,11.03721809387207,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1000:4:compact:fwcompact_expansion_020154,nonoverlap,5.273629188537598,compact:fwcompact_expansion_020154,12,9,17,12,4.870532035827637,10.144161224365234,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1000:8:compact:fwcompact_expansion_020154,nonoverlap,-0.3331184387207031,compact:fwcompact_expansion_020154,12,9,17,12,4.04290246963501,3.709784030914306,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1001:11:compact:fwcompact_expansion_020244,nonoverlap,-0.7514247894287109,compact:fwcompact_expansion_020244,14,10,17,10,7.555875778198242,6.804450988769531,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1001:12:compact:fwcompact_expansion_020244,overlap,1.976001739501953,compact:fwcompact_expansion_020244,14,10,17,10,4.545680046081543,6.521681785583496,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1001:1:compact:fwcompact_expansion_020244,overlap,4.810129791498184,compact:fwcompact_expansion_020244,14,10,17,10,0.0287087857723236,4.838838577270508,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1001:8:compact:fwcompact_expansion_020244,nonoverlap,3.446514844894409,compact:fwcompact_expansion_020244,14,10,17,10,3.549290895462036,6.995805740356445,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1002:0:compact:fwcompact_expansion_020303,overlap,-6.287380319088697,compact:fwcompact_expansion_020303,20,12,20,11,6.341005325317383,0.0536250062286853,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1002:18:compact:fwcompact_expansion_020303,overlap,4.75423301756382,compact:fwcompact_expansion_020303,20,12,20,11,0.0468934625387191,4.801126480102539,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1003:0:compact:fwcompact_expansion_020376,nonoverlap,2.2095298767089844,compact:fwcompact_expansion_020376,9,7,16,12,2.0999908447265625,4.309520721435547,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1003:2:compact:fwcompact_expansion_020376,overlap,8.306419312953949,compact:fwcompact_expansion_020376,9,7,16,12,0.2534733414649963,8.559892654418945,orig,V
D_V_43022,chck_80M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1003:4:compact:fwcompact_expansion_020376,overlap,4.385238289833069,compact:fwcompact_expansion_020376,9,7,16,12,0.1951583623886108,4.58039665222168,orig,V
