seed,checkpoint,contrast,n_tokens,gain_delta,true_delta,unrel_delta,excess_true_cost,frac_excess_positive_tokens
43022,chck_100M,RSminusC,2184,-0.09960017484380786,-0.5628733034646514,-0.6624734783084593,0.09960017484380783,0.5141941391941391
43022,chck_100M,RSminusR,2184,0.42033197003887496,-0.7906794465294503,-0.3703474764905754,-0.42033197003887496,0.43635531135531136
43022,chck_100M,RminusC,2184,-0.5199321448826828,0.22780614306479893,-0.29212600181788384,0.5199321448826828,0.5911172161172161
43022,chck_100M,VminusC,2184,0.5433535756536456,-1.0781325544460911,-0.5347789787924456,-0.5433535756536456,0.4075091575091575
43022,chck_100M,VminusR,2184,1.0632857205363284,-1.3059386975108902,-0.24265297697456178,-1.0632857205363284,0.33653846153846156
43022,chck_80M,RSminusC,2184,-0.10601952474269224,-0.5374435581469008,-0.643463082889593,0.10601952474269224,0.5251831501831502
43022,chck_80M,RSminusR,2184,0.6170548737320312,-1.007446503626599,-0.39039162989456766,-0.6170548737320312,0.4043040293040293
43022,chck_80M,RminusC,2184,-0.7230743984747234,0.4700029454796981,-0.25307145299502537,0.7230743984747234,0.6222527472527473
43022,chck_80M,VminusC,2184,0.5179374621227562,-1.0242783839813512,-0.5063409218585951,-0.5179374621227562,0.40293040293040294
43022,chck_80M,VminusR,2184,1.2410118605974796,-1.4942813294610493,-0.25326946886356977,-1.2410118605974796,0.32875457875457875
43022,chck_90M,RSminusC,2184,-0.08363309390343991,-0.5721027041470288,-0.6557357980504687,0.08363309390343994,0.5096153846153846
43022,chck_90M,RSminusR,2184,0.4382881314859166,-0.7836832250035607,-0.3453950935176441,-0.4382881314859166,0.4340659340659341
43022,chck_90M,RminusC,2184,-0.5219212253893565,0.21158052085653195,-0.31034070453282453,0.5219212253893565,0.5897435897435898
43022,chck_90M,VminusC,2184,0.5586903577142961,-1.1013328129636302,-0.542642455249334,-0.5586903577142961,0.4024725274725275
43022,chck_90M,VminusR,2184,1.0806115831036527,-1.312913333820162,-0.23230175071650938,-1.0806115831036527,0.33516483516483514
