seed,token_class,contrast,value,n_pairs,mean,p025,p975
43022,nonoverlap,RminusC,gain,1465,-0.7851721007435182,-0.8732771440160123,-0.6912737815691712
43022,nonoverlap,RminusC,true_source_nll,1465,0.48374961027504704,0.39601885699015427,0.5714332999682746
43022,nonoverlap,RSminusC,gain,1465,-0.0470238903908756,-0.12368952087672325,0.030380296982364993
43022,nonoverlap,RSminusC,true_source_nll,1465,-0.5285477931830033,-0.600863704216466,-0.4556293615617334
43022,nonoverlap,VminusC,gain,1465,0.6710659184934418,0.5746046957417903,0.765243500304823
43022,nonoverlap,VminusC,true_source_nll,1465,-1.155048790917572,-1.2551781786834562,-1.0529052077881578
43022,nonoverlap,VSminusC,gain,1465,0.003990551359226776,-0.07249734974079548,0.08585283252695608
43022,nonoverlap,VSminusC,true_source_nll,1465,-0.8249765165844154,-0.9069088793579019,-0.7440430599239367
43122,nonoverlap,RminusC,gain,1465,-1.0550364341236653,-1.157444944722467,-0.9500431901064903
43122,nonoverlap,RminusC,true_source_nll,1465,0.7087538935712394,0.610442488220233,0.8042776853192622
43122,nonoverlap,RSminusC,gain,1465,-0.1912863429899055,-0.26710781962790886,-0.10771184778948178
43122,nonoverlap,RSminusC,true_source_nll,1465,-0.3842567045514422,-0.46225051092088754,-0.30118543925526614
43122,nonoverlap,VminusC,gain,1465,0.8890517222888946,0.8021701082326593,0.9830994466955413
43122,nonoverlap,VminusC,true_source_nll,1465,-1.3517099837965383,-1.4487416496703795,-1.2520032575717401
43122,nonoverlap,VSminusC,gain,1465,-0.053067065061592346,-0.13250489064859947,0.028428224045189986
43122,nonoverlap,VSminusC,true_source_nll,1465,-0.7975717295095774,-0.8825086028860771,-0.7175453433375993
