seed,role,checkpoint,n,gain,source_present_nll,control_nll,norm_gain
43022,C,chck_100M,2000,3.6943634949835302,0.38312987765330214,4.077493372636832,0.906037890772698
43022,C,chck_80M,2000,3.6549016409953476,0.40444408540056376,4.059345726395912,0.9003671742540515
43022,C,chck_90M,2000,3.7112971542299213,0.38641564278813184,4.097712797018053,0.9056996763976894
43022,R,chck_100M,2000,4.1615823674251144,0.20349050198468568,4.3650728694098,0.9533821065369296
43022,R,chck_80M,2000,4.193962873260293,0.2068936748377704,4.400856548098063,0.9529878621180725
43022,R,chck_90M,2000,4.203754187105353,0.19923697643016808,4.402991163535522,0.95474963064196
43022,RS,chck_100M,2000,3.5237411776888665,0.4854874463098685,4.009228623998736,0.8789075176696578
43022,RS,chck_80M,2000,3.425217417797592,0.5350788377888261,3.9602962555864183,0.8648891892786958
43022,RS,chck_90M,2000,3.51009117645272,0.4956529504305108,4.005744126883231,0.8762644505663506
43022,V,chck_100M,2000,4.014276821363527,0.37844241020005726,4.392719231563584,0.9138478035471094
43022,V,chck_80M,2000,4.01822168378459,0.38442715022546314,4.402648834010053,0.9126827587847118
43022,V,chck_90M,2000,4.009384055191637,0.383221769253699,4.392605824445335,0.9127575328701185
43022,VS,chck_100M,2000,3.8140241580534453,0.4243709473349325,4.238395105388378,0.8998746136726566
43022,VS,chck_80M,2000,3.7150080598803967,0.4836442617591452,4.198652321639542,0.8848096425449474
43022,VS,chck_90M,2000,3.8305072086762495,0.4332954763020412,4.26380268497829,0.8983781595174245
43122,C,chck_100M,2000,3.6234326381539814,0.41900821314562287,4.042440851299604,0.8963477194698061
43122,C,chck_80M,2000,3.606525418208942,0.43938934097680427,4.045914759185746,0.891399258973703
43122,C,chck_90M,2000,3.632369517340553,0.42612036100790573,4.058489878348459,0.895005193118454
43122,R,chck_100M,2000,4.279186693628082,0.23241202693870455,4.511598720566787,0.9484856607749221
43122,R,chck_80M,2000,4.307701968534677,0.2480016872520158,4.555703655786692,0.9455623749940361
43122,R,chck_90M,2000,4.278936018238308,0.23462003241361,4.513556050651918,0.9480188060631877
43122,RS,chck_100M,2000,3.886442859487759,0.4084497333720338,4.294892592859793,0.904898731565237
43122,RS,chck_80M,2000,3.885083563837352,0.42573181753937017,4.310815381376722,0.9012409997007559
43122,RS,chck_90M,2000,3.8986117149519752,0.4137861247393114,4.312397839691286,0.9040473212070497
43122,V,chck_100M,2000,3.9159958796998233,0.39657426675545715,4.31257014645528,0.9080422455084189
43122,V,chck_80M,2000,3.9432923897075876,0.4268038029275497,4.370096192635137,0.9023353756727743
43122,V,chck_90M,2000,3.934055585719023,0.397812547801057,4.33186813352008,0.9081660531808953
43122,VS,chck_100M,2000,3.819244657886247,0.38461014936152826,4.203854807247776,0.908510125350088
43122,VS,chck_80M,2000,3.855211271764505,0.404700595898131,4.259911867662636,0.9049978946817542
43122,VS,chck_90M,2000,3.7992010919303714,0.3951540976556532,4.194355189586025,0.9057890713126147
43222,C,chck_100M,2000,3.597287314325895,0.43396663071094865,4.031253945036844,0.8923494682727108
43222,C,chck_80M,2000,3.613565050318385,0.45132600415542534,4.064891054473811,0.8889697169967945
43222,C,chck_90M,2000,3.6080782416776604,0.43968181862673866,4.047760060304399,0.8913765114344071
43222,R,chck_100M,2000,4.187040071393741,0.20712771157045343,4.394167782964195,0.9528630398744741
43222,R,chck_80M,2000,4.1548929216611175,0.22192374102055998,4.376816662681677,0.9492956278217541
43222,R,chck_90M,2000,4.155117308770289,0.2123969899750252,4.367514298745314,0.9513689079309846
43222,V,chck_100M,2000,3.9455610014033256,0.3973483834187345,4.34290938482206,0.9085064070626436
43222,V,chck_80M,2000,3.905138301652358,0.4153196155174208,4.3204579171697794,0.9038713896814238
43222,V,chck_90M,2000,3.9123457525325893,0.40773827381336697,4.320084026345957,0.9056179761025982
