seed,contrast,n_min,gain_delta,norm_gain_delta,source_present_nll_delta,control_nll_delta
43022,RminusC,2000,0.49957904586065416,0.04967161929084085,-0.18812281752979118,0.3114562283308624
43022,RSminusC,2000,-0.2005041727565411,-0.03068119463657837,0.11407654289573588,-0.08642762986080443
43022,RSminusR,2000,-0.7000832186171952,-0.08035281392741922,0.3021993604255271,-0.39788385819166683
43022,VminusC,2000,0.32710675671031764,0.009061117925833528,-0.009299425387592708,0.317807331322725
43022,VSminusC,2000,0.0996590454670967,-0.009680775229803484,0.055773693184707096,0.15543273865180396
43022,VSminusV,2000,-0.22744771124322094,-0.018741893155637013,0.0650731185722998,-0.16237459267092103
43022,VminusR,2000,-0.17247228915033652,-0.04061050136500732,0.17882339214219847,0.006351102991862589
43022,VSminusRS,2000,0.3001632182236378,0.021000419406774884,-0.05830284971102878,0.2418603685126084
43122,RminusC,2000,0.6678323688991967,0.05310489009006081,-0.1898280561753342,0.47800431272386223
43122,RSminusC,2000,0.2692701881912032,0.009144960303693161,-0.012183413159872536,0.2570867750313308
43122,RSminusR,2000,-0.39856218070799354,-0.043959929786367646,0.17764464301546165,-0.22091753769253142
43122,VminusC,2000,0.3103387604743193,0.011930500933374999,-0.021109099215423033,0.28922966125889626
43122,VSminusC,2000,0.20377648262588277,0.012181639927497878,-0.03335102407167351,0.17042545855420954
43122,VSminusV,2000,-0.10656227784843653,0.0002511389941228792,-0.012241924856250475,-0.11880420270468672
43122,VminusR,2000,-0.35749360842487743,-0.04117438915668581,0.16871895695991115,-0.18877465146496597
43122,VSminusRS,2000,-0.06549370556532041,0.0030366796238047167,-0.02116761091180097,-0.08666131647712128
43222,RminusC,2000,0.5593732318344027,0.060277292974433516,-0.22784200364235804,0.33153122819204395
43222,VminusC,2000,0.3147048164221111,0.015100025380917703,-0.03485606024786353,0.2798487561742471
43222,VminusR,2000,-0.24466841541229156,-0.04517726759351581,0.1929859433944945,-0.051682472017796854
