seed,role,token_class,n_min,gain,T,U
43022,C,nonoverlap,2732,1.2119090114708804,7.0072837803692805,8.219192791840161
43022,C,overlap,3160,6.30146742847479,1.8430455576679534,8.144512986142743
43022,R,nonoverlap,2732,0.4602004419027052,7.455282021455264,7.915482463357968
43022,R,overlap,3160,6.0335838136992015,1.7510962774559442,7.7846800911551455
43022,RS,nonoverlap,2732,1.1806366049219037,6.460353810010692,7.640990414932595
43022,RS,overlap,3160,5.524581589687858,1.8879502352551587,7.4125318249430165
43022,V,nonoverlap,2732,1.8955980376696682,5.828527161992656,7.724125199662324
43022,V,overlap,3160,6.852696739065942,0.9068321980556676,7.759528937121609
43022,VS,nonoverlap,2732,1.241716853649187,6.1555131896776905,7.397230043326876
43022,VS,overlap,3160,5.653052883015963,1.739551330792837,7.392604213808801
43122,C,nonoverlap,2732,1.271959325325143,6.953423093540436,8.225382418865578
43122,C,overlap,3160,6.3772706167210105,1.7908147287875673,8.168085345508578
43122,R,nonoverlap,2732,0.22864828423558056,7.646534536226473,7.875182820462054
43122,R,overlap,3160,6.0939235527564435,1.726993242225676,7.820916794982119
43122,RS,nonoverlap,2732,1.082184179552436,6.572846921896183,7.6550311014486185
43122,RS,overlap,3160,5.636678659016911,1.8322015005582968,7.468880159575207
43122,V,nonoverlap,2732,2.1657480783629874,5.5990429155125385,7.7647909938755255
43122,V,overlap,3160,7.035505174200911,0.8137163169340762,7.849221491134988
43122,VS,nonoverlap,2732,1.2364835708012114,6.136976348062802,7.373459918864014
43122,VS,overlap,3160,5.710093204757297,1.6312301606327149,7.341323365390012
43222,C,nonoverlap,2732,1.1412932483493925,7.074444144886949,8.21573739323634
43222,C,overlap,3160,6.477115097391259,1.7487327134783648,8.225847810869624
43222,R,nonoverlap,2732,0.2909779239911188,7.490036715290867,7.781014639281987
43222,R,overlap,3160,5.765171319172985,1.963861408369646,7.729032727542632
43222,V,nonoverlap,2732,1.9805420662870512,5.706436271032,7.686978337319051
43222,V,overlap,3160,6.881133871370189,0.8961034586327875,7.7772373300029765
