seed,role,n_min,gain,norm_gain,source_present_nll,control_nll
43022,C,2000,3.686854096736267,0.9040349138081464,0.3913298686139992,4.078183965350266
43022,R,2000,4.186433142596921,0.9537065330989872,0.20320705108420803,4.389640193681128
43022,RS,2000,3.4863499239797258,0.873353719171568,0.5054064115097351,3.991756335489461
43022,V,2000,4.0139608534465845,0.9130960317339799,0.3820304432264065,4.395991296672991
43022,VS,2000,3.7865131422033635,0.8943541385783429,0.4471035617987063,4.23361670400207
43122,C,2000,3.6207758579011586,0.8942507238539877,0.42817263837677766,4.048948496277936
43122,R,2000,4.288608226800355,0.9473556139440485,0.23834458220144347,4.5269528090017985
43122,RS,2000,3.890046046092362,0.9033956841576809,0.4159892252169051,4.306035271309267
43122,V,2000,3.931114618375478,0.9061812247873627,0.4070635391613546,4.338178157536833
43122,VS,2000,3.8245523405270414,0.9064323637814856,0.39482161430510415,4.219373954832146
43222,C,2000,3.6063102021073132,0.8908985655679708,0.4416581511643709,4.047968353271685
43222,R,2000,4.165683433941716,0.9511758585424043,0.21381614752201286,4.379499581463729
43222,V,2000,3.9210150185294244,0.9059985909488885,0.4068020909165074,4.327817109445932
