seed,token_class,contrast,n_min,gain_delta,T_delta,U_delta,excess_true_cost
43022,nonoverlap,RminusC,2732,-0.7517085695681751,0.4479982410859833,-0.30371032848219315,0.7517085695681764
43022,nonoverlap,RSminusC,2732,-0.03127240654897667,-0.5469299703585886,-0.5782023769075657,0.031272406548977116
43022,nonoverlap,RSminusR,2732,0.7204361630191984,-0.9949282114445719,-0.27449204842537256,-0.7204361630191993
43022,nonoverlap,VminusC,2732,0.6836890261987878,-1.1787566183766245,-0.49506759217783713,-0.6836890261987874
43022,nonoverlap,VSminusC,2732,0.029807842178306565,-0.85177059069159,-0.8219627485132852,-0.02980784217830479
43022,nonoverlap,VSminusV,2732,-0.6538811840204812,0.3269860276850345,-0.3268951563354481,0.6538811840204826
43022,nonoverlap,VminusR,2732,1.435397595766963,-1.6267548594626078,-0.191357263695644,-1.4353975957669638
43022,nonoverlap,VSminusRS,2732,0.06108024872728324,-0.3048406203330014,-0.2437603716057195,-0.061080248727281905
43022,overlap,RminusC,3160,-0.2678836147755881,-0.09194928021200921,-0.35983289498759774,0.26788361477558853
43022,overlap,RSminusC,3160,-0.7768858387869315,0.04490467758720529,-0.7319811611997267,0.776885838786932
43022,overlap,RSminusR,3160,-0.5090022240113434,0.1368539577992145,-0.37214826621212893,0.5090022240113434
43022,overlap,VminusC,3160,0.5512293105911521,-0.9362133596122858,-0.38498404902113403,-0.5512293105911518
43022,overlap,VSminusC,3160,-0.6484145454588264,-0.10349422687511645,-0.7519087723339419,0.6484145454588255
43022,overlap,VSminusV,3160,-1.1996438560499785,0.8327191327371694,-0.3669247233128079,1.1996438560499771
43022,overlap,VminusR,3160,0.8191129253667402,-0.8442640794002766,-0.025151154033536294,-0.8191129253667403
43022,overlap,VSminusRS,3160,0.12847129332810514,-0.14839890446232173,-0.019927611134215262,-0.12847129332810647
43122,nonoverlap,RminusC,2732,-1.0433110410895625,0.6931114426860372,-0.350199598403524,1.0433110410895612
43122,nonoverlap,RSminusC,2732,-0.18977514577270704,-0.38057617164425306,-0.5703513174169599,0.18977514577270682
43122,nonoverlap,RSminusR,2732,0.8535358953168555,-1.0736876143302903,-0.2201517190134359,-0.8535358953168544
43122,nonoverlap,VminusC,2732,0.8937887530378443,-1.3543801780278972,-0.4605914249900529,-0.8937887530378443
43122,nonoverlap,VSminusC,2732,-0.0354757545239317,-0.8164467454776334,-0.8519225000015647,0.03547575452393126
43122,nonoverlap,VSminusV,2732,-0.929264507561776,0.5379334325502638,-0.39133107501151176,0.9292645075617756
43122,nonoverlap,VminusR,2732,1.9370997941274068,-2.0474916207139344,-0.11039182658652891,-1.9370997941274055
43122,nonoverlap,VSminusRS,2732,0.15429939124877534,-0.43587057383338035,-0.2815711825846048,-0.15429939124877556
43122,overlap,RminusC,3160,-0.283347063964567,-0.06382148656189135,-0.347168550526459,0.28334706396456766
43122,overlap,RSminusC,3160,-0.7405919577040994,0.04138677177072947,-0.699205185933371,0.7405919577041005
43122,overlap,RSminusR,3160,-0.45724489373953237,0.10520825833262082,-0.352036635406912,0.4572448937395328
43122,overlap,VminusC,3160,0.6582345574799007,-0.9770984118534911,-0.31886385437359,-0.6582345574799011
43122,overlap,VSminusC,3160,-0.6671774119637135,-0.15958456815485245,-0.8267619801185662,0.6671774119637137
43122,overlap,VSminusV,3160,-1.3254119694436142,0.8175138436986387,-0.5078981257449762,1.3254119694436148
43122,overlap,VminusR,3160,0.9415816214444677,-0.9132769252915998,0.028304696152869013,-0.9415816214444688
43122,overlap,VSminusRS,3160,0.07341454574038586,-0.20097133992558192,-0.12755679418519517,-0.07341454574038675
43222,nonoverlap,RminusC,2732,-0.8503153243582737,0.41559257040391806,-0.434722753954353,0.8503153243582711
43222,nonoverlap,VminusC,2732,0.8392488179376587,-1.3680078738549497,-0.5287590559172894,-0.8392488179376603
43222,nonoverlap,VminusR,2732,1.6895641422959324,-1.7836004442588678,-0.09403630196293644,-1.6895641422959313
43222,overlap,RminusC,3160,-0.7119437782182736,0.21512869489128117,-0.4968150833269922,0.7119437782182734
43222,overlap,VminusC,3160,0.4040187739789296,-0.8526292548455773,-0.44861048086664734,-0.40401877397892993
43222,overlap,VminusR,3160,1.1159625521972032,-1.0677579497368583,0.04820460246034486,-1.1159625521972032
