seed,role,checkpoint,token_class,n,gain,T,U
43022,C,chck_100M,nonoverlap,2732,1.2222962530979569,6.993866054545393,8.21616230764335
43022,C,chck_100M,overlap,3160,6.318160083040277,1.8140042501127442,8.132164333153021
43022,C,chck_80M,nonoverlap,2732,1.183997265826829,7.019573019757474,8.203570285584304
43022,C,chck_80M,overlap,3160,6.25844731472913,1.8888636783503667,8.147310993079497
43022,C,chck_90M,nonoverlap,2732,1.229433515487855,7.008412266804974,8.23784578229283
43022,C,chck_90M,overlap,3160,6.327794887654961,1.8262687445407486,8.15406363219571
43022,R,chck_100M,nonoverlap,2732,0.5576286031002121,7.359401078737242,7.9170296818374535
43022,R,chck_100M,overlap,3160,6.0612134134708855,1.714229414577029,7.775442828047915
43022,R,chck_80M,nonoverlap,2732,0.26147842659045006,7.658370611415685,7.919849038006135
43022,R,chck_80M,overlap,3160,5.977854172222357,1.829005271161892,7.8068594433842495
43022,R,chck_90M,nonoverlap,2732,0.5614942960174534,7.348074374212863,7.909568670230317
43022,R,chck_90M,overlap,3160,6.061683855404362,1.7100541466289116,7.771738002033273
43022,RS,chck_100M,nonoverlap,2732,1.1880999022728653,6.439181137114482,7.627281039387348
43022,RS,chck_100M,overlap,3160,5.5613930878434275,1.8412144608607757,7.402607548704203
43022,RS,chck_80M,nonoverlap,2732,1.1466663759532432,6.499352361545673,7.646018737498916
43022,RS,chck_80M,overlap,3160,5.431441357937388,1.981281859827113,7.412723217764501
43022,RS,chck_90M,nonoverlap,2732,1.2071435365396024,6.44252793137192,7.6496714679115225
43022,RS,chck_90M,overlap,3160,5.580910323282756,1.841354385077588,7.422264708360345
43022,V,chck_100M,nonoverlap,2732,1.9362923082173564,5.79277909138529,7.729071399602646
43022,V,chck_100M,overlap,3160,6.86529204425813,0.8866825202580625,7.751974564516192
43022,V,chck_80M,nonoverlap,2732,1.8096304337963145,5.908226781658689,7.717857215455004
43022,V,chck_80M,overlap,3160,6.841012829971341,0.9361734603195031,7.777186290290843
43022,V,chck_90M,nonoverlap,2732,1.940871370995334,5.784575612933987,7.725446983929321
43022,V,chck_90M,overlap,3160,6.851785342968356,0.8976406135894373,7.749425956557793
43022,VS,chck_100M,nonoverlap,2732,1.2496763101770743,6.120821498566897,7.370497808743972
43022,VS,chck_100M,overlap,3160,5.664768949898197,1.7000458694280853,7.364814819326282
43022,VS,chck_80M,nonoverlap,2732,1.2177052312737842,6.223774962374698,7.441480193648482
43022,VS,chck_80M,overlap,3160,5.6126441136503935,1.8195843081195953,7.432228421769989
43022,VS,chck_90M,nonoverlap,2732,1.2577690194967022,6.121943108091474,7.379712127588177
43022,VS,chck_90M,overlap,3160,5.6817455854993,1.6990238148308303,7.380769400330131
43122,C,chck_100M,nonoverlap,2732,1.2723753262336106,6.924546675384828,8.19692200161844
43122,C,chck_100M,overlap,3160,6.378519310863339,1.7715181060137206,8.15003741687706
43122,C,chck_80M,nonoverlap,2732,1.2687082055524554,7.0018068075893884,8.270515013141845
43122,C,chck_80M,overlap,3160,6.366740964345901,1.8300406739694477,8.196781638315349
43122,C,chck_90M,nonoverlap,2732,1.2747944441893633,6.93391579764709,8.208710241836453
43122,C,chck_90M,overlap,3160,6.386551574953792,1.7708854063795334,8.157436981333325
43122,R,chck_100M,nonoverlap,2732,0.1987366922254951,7.674320428502319,7.873057120727815
43122,R,chck_100M,overlap,3160,6.11330856968543,1.7028271074889962,7.816135677174426
43122,R,chck_80M,nonoverlap,2732,0.2838968632026544,7.603301722508627,7.887198585711282
43122,R,chck_80M,overlap,3160,6.079115334202431,1.753259267288303,7.832374601490733
43122,R,chck_90M,nonoverlap,2732,0.20331129727859218,7.6619814576684755,7.865292754947068
43122,R,chck_90M,overlap,3160,6.089346754381468,1.7248933518997283,7.814240106281197
43122,RS,chck_100M,nonoverlap,2732,1.1065241616022585,6.552948148551091,7.65947231015335
43122,RS,chck_100M,overlap,3160,5.668207684747987,1.7972710181310585,7.465478702879045
43122,RS,chck_80M,nonoverlap,2732,1.0609556878957827,6.604649755730816,7.665605443626599
43122,RS,chck_80M,overlap,3160,5.583257518596306,1.9042381263135777,7.487495644909884
43122,RS,chck_90M,nonoverlap,2732,1.0790726891592675,6.56094286140664,7.6400155505659075
43122,RS,chck_90M,overlap,3160,5.658570773706439,1.7950953572302544,7.453666130936693
43122,V,chck_100M,nonoverlap,2732,2.184213409376553,5.560600936224978,7.744814345601531
43122,V,chck_100M,overlap,3160,7.0383594953753805,0.7928289745311339,7.831188469906515
43122,V,chck_80M,nonoverlap,2732,2.1367046221931183,5.66097319457785,7.797677816770968
43122,V,chck_80M,overlap,3160,7.0084089093692405,0.8518659646824353,7.860274874051676
43122,V,chck_90M,nonoverlap,2732,2.1763262035192903,5.575554615734786,7.751880819254076
43122,V,chck_90M,overlap,3160,7.059747117858113,0.7964540115886595,7.856201129446773
43122,VS,chck_100M,nonoverlap,2732,1.2714147780855536,6.091441002327371,7.362855780412924
43122,VS,chck_100M,overlap,3160,5.706319879259232,1.6163549754101432,7.322674854669375
43122,VS,chck_80M,nonoverlap,2732,1.1865221956263448,6.230916104983746,7.41743830061009
43122,VS,chck_80M,overlap,3160,5.742290946101487,1.6477578771526813,7.390048823254168
43122,VS,chck_90M,nonoverlap,2732,1.2515137386917359,6.088571936877289,7.340085675569025
43122,VS,chck_90M,overlap,3160,5.681668788911172,1.6295776293353201,7.311246418246492
43222,C,chck_100M,nonoverlap,2732,1.1537226915971743,7.049120349113422,8.202843040710595
43222,C,chck_100M,overlap,3160,6.469239498553555,1.7363271730237633,8.205566671577317
43222,C,chck_80M,nonoverlap,2732,1.1173962305175853,7.125057042588645,8.24245327310623
43222,C,chck_80M,overlap,3160,6.491109323764074,1.7740273693506827,8.265136693114757
