other_label,comparison_kind,endpoint_reference,endpoint_other,column,n_items,both_correct,reference_only_correct,other_only_correct,both_wrong,net_other_minus_reference_items,net_other_minus_reference_pct_items,disagreement_fraction,jaccard_correct_sets
scale1p75_seed43122_dense,same_endpoint,chck_70M,chck_70M,BLiMP,59875,34134,6258,5436,14047,-822,-1.3728601252609602,0.19530688935281837,0.7448284891332809
scale1p75_seed43122_dense,same_endpoint,chck_70M,chck_70M,Supplement,5218,3379,439,361,1039,-78,-1.4948256036795706,0.15331544653123802,0.808566642737497
scale1p75_seed43122_dense,same_endpoint,chck_70M,chck_70M,EWoK,7618,2645,1142,1177,2654,35,0.4594381727487529,0.304410606458388,0.532836422240129
scale1p75_seed43122_dense,same_endpoint,chck_70M,chck_70M,Entity,6780,1263,550,539,4428,-11,-0.16224188790560473,0.16061946902654867,0.5369897959183674
scale1p75_seed43122_dense,same_endpoint,chck_70M,chck_70M,COMPS,91028,29758,18116,17634,25520,-482,-0.5295074043151559,0.39273630091839873,0.4542651279233071
scale1p75_seed43122_dense,same_endpoint,chck_70M,chck_70M,GlobalPIQA,203,53,17,25,108,8,3.9408866995073892,0.20689655172413793,0.5578947368421052
scale1p75_seed43122_dense,same_endpoint,chck_72M,chck_72M,BLiMP,59875,33830,6415,5446,14184,-969,-1.6183716075156576,0.19809603340292276,0.7404083955264713
scale1p75_seed43122_dense,same_endpoint,chck_72M,chck_72M,Supplement,5218,3367,415,354,1082,-61,-1.16903027980069,0.14737447297815254,0.8140715667311412
scale1p75_seed43122_dense,same_endpoint,chck_72M,chck_72M,EWoK,7618,2645,1143,1223,2607,80,1.0501443948542923,0.310580204778157,0.527838754739573
scale1p75_seed43122_dense,same_endpoint,chck_72M,chck_72M,Entity,6780,1207,579,536,4458,-43,-0.6342182890855457,0.16445427728613568,0.5198105081826012
scale1p75_seed43122_dense,same_endpoint,chck_72M,chck_72M,COMPS,91028,29459,18474,17815,25280,-659,-0.7239530693852441,0.39865755591686075,0.44805925655533246
scale1p75_seed43122_dense,same_endpoint,chck_72M,chck_72M,GlobalPIQA,203,56,18,22,107,4,1.9704433497536946,0.19704433497536947,0.5833333333333334
scale1p75_seed43122_dense,same_endpoint,chck_74M,chck_74M,BLiMP,59875,34037,6528,5465,13845,-1063,-1.7753653444676407,0.20030062630480167,0.7394525309580708
scale1p75_seed43122_dense,same_endpoint,chck_74M,chck_74M,Supplement,5218,3375,434,370,1039,-64,-1.2265235722499042,0.1540820237638942,0.8076094759511845
scale1p75_seed43122_dense,same_endpoint,chck_74M,chck_74M,EWoK,7618,2652,1162,1186,2618,24,0.31504331845628775,0.30821737988973485,0.5304
scale1p75_seed43122_dense,same_endpoint,chck_74M,chck_74M,Entity,6780,1297,536,516,4431,-20,-0.2949852507374631,0.15516224188790562,0.5521498510004257
