label,group,n,mean_pred_item_hits,mean_gold_item_hits,mean_pred_minus_gold_item_hits,pred_more_items_n,pred_more_items_pct,pred_less_items_n,mean_pred_token_hits,mean_gold_token_hits,mean_pred_minus_gold_token_hits,pred_more_tokens_n,pred_more_tokens_pct,pred_less_tokens_n,mean_irrelevant_ops,mean_option_item_count,reverse_flips_to_correct,net_loss_items
coherent86,flips_base_correct_to_label_wrong,15,0.4,0.0,0.4,4,26.666666666666668,0,1.9333333333333333,1.4,0.5333333333333333,6,40.0,1,4.066666666666666,2.533333333333333,11,4
coherent86,reverse_flips_base_wrong_to_label_correct,11,0.0,0.0,0.0,0,0.0,0,0.8181818181818182,0.8181818181818182,0.0,0,0.0,0,3.909090909090909,2.0,,
coherent86,all_rel_eq0_predictions,1541,0.3393900064892927,0.0,0.3393900064892927,333,21.609344581440624,0,1.2615184944841011,0.9325113562621674,0.32900713822193384,330,21.414665801427645,47,3.388059701492537,2.2134977287475666,,
coherent86,flips_irrelevant_ops_0,1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3.0,,
coherent86,flips_irrelevant_ops_1-3,6,0.16666666666666666,0.0,0.16666666666666666,1,16.666666666666668,0,1.6666666666666667,1.5,0.16666666666666666,1,16.666666666666668,0,1.8333333333333333,2.5,,
coherent86,flips_irrelevant_ops_4-6,6,0.8333333333333334,0.0,0.8333333333333334,3,50.0,0,2.5,1.6666666666666667,0.8333333333333334,4,66.66666666666667,1,5.333333333333333,2.6666666666666665,,
coherent86,flips_irrelevant_ops_7+,2,0.0,0.0,0.0,0,0.0,0,2.0,1.0,1.0,1,50.0,0,9.0,2.0,,
binding_ep25_alpha0p50,flips_base_correct_to_label_wrong,199,0.7638190954773869,0.0,0.7638190954773869,93,46.733668341708544,0,1.7135678391959799,0.9849246231155779,0.7286432160804021,91,45.7286432160804,7,4.321608040201005,2.1658291457286434,90,109
binding_ep25_alpha0p50,reverse_flips_base_wrong_to_label_correct,90,0.0,0.0,0.0,0,0.0,0,0.6222222222222222,0.6222222222222222,0.0,0,0.0,0,2.522222222222222,2.0444444444444443,,
binding_ep25_alpha0p50,all_rel_eq0_predictions,1541,0.4561972744970798,0.0,0.4561972744970798,431,27.968851395197923,0,1.3705386112913693,0.9325113562621674,0.4380272550292018,422,27.384815055158988,44,3.388059701492537,2.2134977287475666,,
binding_ep25_alpha0p50,flips_irrelevant_ops_0,27,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2.259259259259259,,
binding_ep25_alpha0p50,flips_irrelevant_ops_1-3,62,0.3870967741935484,0.0,0.3870967741935484,15,24.193548387096776,0,1.032258064516129,0.7419354838709677,0.2903225806451613,15,24.193548387096776,5,1.7903225806451613,1.967741935483871,,
binding_ep25_alpha0p50,flips_irrelevant_ops_4-6,62,1.0483870967741935,0.0,1.0483870967741935,43,69.35483870967742,0,2.0806451612903225,1.0806451612903225,1.0,40,64.51612903225806,2,5.129032258064516,2.1129032258064515,,
binding_ep25_alpha0p50,flips_irrelevant_ops_7+,48,1.3125,0.0,1.3125,35,72.91666666666667,0,3.0833333333333335,1.7291666666666667,1.3541666666666667,36,75.0,0,8.979166666666666,2.4375,,
binding_ep25_alpha0p75,flips_base_correct_to_label_wrong,292,0.7465753424657534,0.0,0.7465753424657534,128,43.83561643835616,0,1.7294520547945205,0.9863013698630136,0.7431506849315068,125,42.80821917808219,6,3.934931506849315,2.2773972602739727,119,173
binding_ep25_alpha0p75,reverse_flips_base_wrong_to_label_correct,119,0.0,0.0,0.0,0,0.0,0,0.7983193277310925,0.7983193277310925,0.0,0,0.0,0,2.966386554621849,2.1512605042016806,,
binding_ep25_alpha0p75,all_rel_eq0_predictions,1541,0.500324464633355,0.0,0.500324464633355,467,30.304996755353667,0,1.4114211550940947,0.9325113562621674,0.4789097988319273,458,29.72096041531473,44,3.388059701492537,2.2134977287475666,,
binding_ep25_alpha0p75,flips_irrelevant_ops_0,42,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2.238095238095238,,
binding_ep25_alpha0p75,flips_irrelevant_ops_1-3,105,0.38095238095238093,0.0,0.38095238095238093,25,23.80952380952381,0,1.0285714285714285,0.7047619047619048,0.3238095238095238,24,22.857142857142858,5,1.8095238095238095,2.1523809523809523,,
binding_ep25_alpha0p75,flips_irrelevant_ops_4-6,85,1.1058823529411765,0.0,1.1058823529411765,61,71.76470588235294,0,2.223529411764706,1.1529411764705881,1.0705882352941176,57,67.05882352941177,1,4.988235294117647,2.2470588235294118,,
binding_ep25_alpha0p75,flips_irrelevant_ops_7+,60,1.4,0.0,1.4,42,70.0,0,3.466666666666667,1.9333333333333333,1.5333333333333334,44,73.33333333333333,0,8.916666666666666,2.566666666666667,,
binding_ep25_alpha1p00,flips_base_correct_to_label_wrong,386,0.6735751295336787,0.0,0.6735751295336787,158,40.932642487046635,0,1.6295336787564767,0.9689119170984456,0.6606217616580311,153,39.637305699481864,6,3.6191709844559585,2.339378238341969,136,250
binding_ep25_alpha1p00,reverse_flips_base_wrong_to_label_correct,136,0.0,0.0,0.0,0,0.0,0,0.7352941176470589,0.7352941176470589,0.0,0,0.0,0,3.1176470588235294,2.0,,
binding_ep25_alpha1p00,all_rel_eq0_predictions,1541,0.5074626865671642,0.0,0.5074626865671642,475,30.82414016872161,0,1.410123296560675,0.9325113562621674,0.47761194029850745,466,30.240103828682674,48,3.388059701492537,2.2134977287475666,,
binding_ep25_alpha1p00,flips_irrelevant_ops_0,57,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,2.3508771929824563,,
binding_ep25_alpha1p00,flips_irrelevant_ops_1-3,156,0.4166666666666667,0.0,0.4166666666666667,41,26.28205128205128,0,1.0705128205128205,0.6858974358974359,0.38461538461538464,39,25.0,4,1.8782051282051282,2.2371794871794872,,
binding_ep25_alpha1p00,flips_irrelevant_ops_4-6,111,1.0,0.0,1.0,74,66.66666666666667,0,2.2432432432432434,1.3063063063063063,0.9369369369369369,67,60.36036036036036,2,4.945945945945946,2.3423423423423424,,
binding_ep25_alpha1p00,flips_irrelevant_ops_7+,62,1.3548387096774193,0.0,1.3548387096774193,43,69.35483870967742,0,3.435483870967742,1.967741935483871,1.467741935483871,47,75.80645161290323,0,8.951612903225806,2.5806451612903225,,
