endpoint,qwen_delta_spec_Tfit_vs_chck82,cdi_delta_nll_Tfit_vs_chck82,cdi_delta_rank_vs_chck82,view_only_delta_nll_Tfit_vs_chck82
Dense64 scale .75,0.15987163099796617,0.05203152800383989,41.81016533986528,0.06636718352021286
Dense64 scale .60,0.11228396419325794,0.034171250909501294,27.3943661971831,0.04144226582973108
Clean64,0.10866824603717154,-0.014410393931782823,-22.10838946723821,0.04728865928436991
