endpoint,calibration_kl_vs_parent,qwen_delta_spec_Tfit_vs_parent,common_delta_swing_Tfit_vs_parent,qwen_delta_rank_vs_parent
Parent,0.0,0.0,0.0,0.0
"Acq. (M,S)",0.028201220503593225,0.1523705547081772,0.5443574689115799,51.799618055555555
Clean64,0.013327214029512199,0.10681787415472273,0.3458754409494855,33.59809027777778
Rollback .7625,0.01302356283658115,0.0876489159079372,0.4187026541005997,29.524791666666665
Rollback .775,0.013623876969210693,0.0904747925089517,0.42576338259946744,30.355833333333333
