endpoint,pair_correct_source,pair_wrong_source,view_only,full_row_this_source_erased
Ordinary,-0.010063328443792537,-0.013720264994475902,-0.01601544474952564,-0.013781335029757745
"Acq. (M,S)",-0.02413049266783364,0.1491188450776521,0.10707940819563086,0.2103741076729831
Ordinary-state anchor s64,-0.021552525360494398,0.09856157902040681,0.07631310900526396,0.12699192626365063
Dense-state anchor,-0.02258521899055522,-0.017071660785138026,-0.021682340051731797,-0.01841790741426357
