endpoint,ordinary_rendering_kl_teacher_to_student,ordinary_rendering_delta_ce_student_minus_teacher,dense_common_ce_gain_vs_parent,dense_common_rank_gain_vs_parent,dense_common_kl_parent_to_endpoint
Parent,3.7099162740272554e-09,0.0,0.0,0.0,1.8382130203729613e-09
Ordinary,0.0005511800392419619,-0.002291198305794296,-0.004943125031643625,0.7018943170488114,0.0013007828538656116
"Acq. (M,S)",0.024486417792504205,0.028969038118024013,0.7570521772086081,132.8484546360917,0.5026571895641201
Ordinary-state anchor s64,0.009411351511180747,0.00998573317968297,0.6821680211593,128.34396809571285,0.3525180022714145
Ordinary-state anchor s65,0.009452858024644354,0.009880201577863778,0.6793635759134946,128.00398803589232,0.34547667679258975
Dense-state anchor,0.0013700071268667804,-4.575572329043052e-05,0.1586994273831337,34.824526420737755,0.009356491809946708
