from_endpoint,to_endpoint,actual_start,actual_end,delta_words,cycle_start,cycle_end,wraps_cycle,total_composition_words,family_words__official_base,family_frac__official_base,family_words__compact_pair_block,family_frac__compact_pair_block,family_words__inherited_qwen_pair,family_frac__inherited_qwen_pair,family_words__compact_topup,family_frac__compact_topup,source_words__childes,source_frac__childes,source_words__cleanqwen_fineweb_compact_view_reinvest,source_frac__cleanqwen_fineweb_compact_view_reinvest,source_words__gutenberg,source_frac__gutenberg,source_words__open_subtitles,source_frac__open_subtitles,source_words__qwen_pair_packed,source_frac__qwen_pair_packed,source_words__simple_wiki,source_frac__simple_wiki,source_words__bnc_spoken,source_frac__bnc_spoken,source_words__switchboard,source_frac__switchboard,source_words__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,source_frac__neutral_cleanqwen_topup_compact_reinvest::open_subtitles,delta_score__cheap7,delta_score__BLiMP,delta_score__Supplement,delta_score__EWoK,delta_score__Entity,delta_score__COMPS,delta_score__GlobalPIQA,delta_score__Reading,delta_score__cheap6_no_GlobalPIQA,delta_score__cheap5_no_GP_Reading,delta_score__relation_state
chck_70M,chck_72M,70030355,72008559,1978204,30355,2008559,False,1978204,1309761,0.6620960224526894,393156,0.19874391114364343,275278,0.13915551682232974,9,4.54958133741515e-06,423361,0.21401281162104616,393156,0.19874391114364343,310080,0.15674824234507664,299040,0.15116742257118074,275278,0.13915551682232974,180320,0.0911533896403,92800,0.046911238679125104,4160,0.0021029175959607804,9,4.54958133741515e-06,0.2685714285714269,-0.23000000000000398,0.5300000000000011,0.05000000000000426,-0.5500000000000007,0.13000000000000256,1.9549999999999983,-0.005000000000000782,-0.012499999999995737,-0.014000000000002899,-0.25
chck_72M,chck_74M,72008559,74022554,2013995,2008559,4022554,False,2013995,1661599,0.8250263779205013,,,352396,0.1749736220794987,,,541919,0.2690766362379251,,,391360,0.19432024409196647,389600,0.19344635910218247,352396,0.1749736220794987,219360,0.10891784736307687,115360,0.0572791888758413,4000,0.0019861022495090606,,,0.5114285714285742,0.5200000000000102,1.0899999999999963,1.5399999999999991,0.5599999999999987,-0.010000000000005116,-0.02999999999999403,-0.08999999999999986,0.6016666666666666,0.740000000000002,1.0499999999999972
chck_74M,chck_76M,74022554,76001011,1978457,4022554,6001011,False,1978457,1632000,0.8248852514863856,,,346457,0.1751147485136144,,,533280,0.2695433865886395,,,384800,0.19449500292399582,374560,0.18931925232643418,346457,0.1751147485136144,210720,0.10650724276544803,124800,0.06307946040778242,3840,0.0019409064740856133,,,0.13142857142857167,0.45000000000000284,2.010000000000005,-1.0200000000000031,-1.009999999999998,-0.23999999999999488,0.5149999999999935,0.21499999999999986,0.06749999999999545,0.0379999999999967,-1.0150000000000006
chck_76M,chck_78M,76001011,78016835,2015824,6001011,8016835,False,2015824,1674921,0.8308865258078086,,,340903,0.1691134741921914,,,547200,0.27145226964258784,,,389760,0.19335021311384326,384640,0.19081030883648573,340903,0.1691134741921914,224041,0.1111411512116137,124800,0.06191016676059021,4480,0.002222416242687854,,,0.12071428571428555,-0.27000000000001023,-1.2800000000000011,-0.0799999999999983,1.379999999999999,0.39000000000000057,0.48500000000000654,0.21999999999999886,0.060000000000002274,0.027999999999998693,0.6499999999999986
chck_78M,chck_80M,78016835,80034368,2017533,8016835,34368,True,2017533,1641399,0.8135673617234513,34368,0.017034665603982684,341766,0.16939797267256596,,,529120,0.2622608899086161,34368,0.017034665603982684,383360,0.19001424016360574,381600,0.18914188764198653,341766,0.16939797267256596,224599,0.11132358181997519,118080,0.05852692372318074,4640,0.002299838466087048,,,0.10999999999999943,0.09000000000000341,-0.1600000000000037,0.20000000000000284,0.4499999999999993,-0.23000000000000398,0.5,-0.0799999999999983,0.045000000000001705,0.07000000000000028,0.32500000000000284
chck_80M,chck_82M,80034368,82012495,1978127,34368,2012495,False,1978127,1313074,0.6637966116432362,389143,0.19672296065924988,275901,0.13947587793908076,9,4.549758433103638e-06,424160,0.21442505966502656,389143,0.19672296065924988,310560,0.15699699766496286,299634,0.15147359092717505,275901,0.13947587793908076,181280,0.09164224541700305,93280,0.04715571851554526,4160,0.002102999453523459,9,4.549758433103638e-06,0.14642857142857224,0.37000000000000455,0.3200000000000003,0.8200000000000003,0.10999999999999943,0.0799999999999983,-0.5250000000000057,-0.15000000000000036,0.25833333333333286,0.3400000000000034,0.4650000000000034
chck_82M,chck_84M,82012495,84028405,2015910,2012495,4028405,False,2015910,1663406,0.8251390191030353,,,352504,0.17486098089696464,,,543520,0.26961521099652264,,,392480,0.19469123125536358,389486,0.1932060459048271,352504,0.17486098089696464,218880,0.10857627572659494,115040,0.05706603965454807,4000,0.001984215565179001,,,0.16499999999999915,-0.23000000000000398,0.5399999999999991,0.00999999999999801,0.2699999999999996,0.020000000000003126,0.5399999999999991,0.004999999999999005,0.10249999999999915,0.12199999999999989,0.14000000000000057
chck_84M,chck_86M,84028405,86006729,1978324,4028405,6006729,False,1978324,1631506,0.8246910010695923,,,346818,0.17530899893040777,,,532000,0.26891449530006206,,,384786,0.1945010018581385,375680,0.18989811577881074,346818,0.17530899893040777,210400,0.10635265002092681,124800,0.06308370115309726,3840,0.001941036958556839,,,-0.35285714285714675,0.21999999999999886,-0.7999999999999972,0.07000000000000028,0.0,0.0799999999999983,-1.9849999999999994,-0.054999999999999716,-0.08083333333333798,-0.08599999999999852,0.03499999999999659
chck_86M,chck_88M,86006729,88024001,2017272,6006729,8024001,False,2017272,1675635,0.8306440579158388,,,341637,0.1693559420841612,,,547520,0.27141605098370475,,,389614,0.19313905115423205,383840,0.19027676981587013,341637,0.1693559420841612,225061,0.11156700732474352,125120,0.06202435764735742,4480,0.0022208209899309563,,,-0.060000000000002274,0.01999999999999602,0.14999999999999858,-0.740000000000002,0.5600000000000023,-0.04999999999999716,-0.5,0.14000000000000057,0.013333333333335418,-0.012000000000000455,-0.09000000000000341
chck_88M,chck_90M,88024001,90038971,2014970,8024001,38971,True,2014970,1636059,0.8119520389881735,38971,0.019340734601507713,339940,0.16870722641031877,,,527680,0.2618798294763694,38971,0.019340734601507713,381920,0.1895412834930545,380800,0.18898544395201913,339940,0.16870722641031877,223419,0.11087956644515799,117600,0.058363151808711794,4640,0.0023027638128607373,,,-0.4385714285714215,0.10000000000000853,0.060000000000002274,-0.30999999999999517,-0.9699999999999989,0.0,-1.9849999999999994,0.03500000000000014,-0.1808333333333323,-0.22399999999999665,-0.6399999999999935
