target,BLiMP,Supplement,EWoK,Entity,COMPS,GlobalPIQA,Reading,cheap7
official_lengthmatched,67.29,59.04,50.8,23.31,53.13,36.68,7.949999999999999,42.6
qwen_clean_aligned,66.84,62.84,50.19,25.76,51.78,36.62,7.76,43.1128571429
qwen_shuffled_control,68.29,59.42,50.33,22.87,52.29,36.65,8.52,42.6242857143
official_lengthmatched_seed43122,67.28,60.6,47.79,22.83,52.31,37.08,7.945,42.2621428571
qwen_clean_aligned_seed43122,66.02,61.51,50.43,25.26,52.06,34.62,7.205,42.4435714286
