contrast,a,b,BLiMP_delta,Supplement_delta,EWoK_delta,Entity_delta,COMPS_delta,GlobalPIQA_delta,Reading_delta,cheap7_delta
seed43022_ALN_minus_OFF,qwen_clean_aligned,official_lengthmatched,-0.45,3.8,-0.61,2.45,-1.35,-0.06,-0.19,0.5128571429
seed43022_SHUF_minus_OFF,qwen_shuffled_control,official_lengthmatched,1.0,0.38,-0.47,-0.44,-0.84,-0.03,0.57,0.0242857143
seed43022_ALN_minus_SHUF,qwen_clean_aligned,qwen_shuffled_control,-1.45,3.42,-0.14,2.89,-0.51,-0.03,-0.76,0.4885714286
seed43122_ALN_minus_OFF,qwen_clean_aligned_seed43122,official_lengthmatched_seed43122,-1.26,0.91,2.64,2.43,-0.25,-2.46,-0.74,0.1814285715
