seed,source,n_rows,ALN_minus_OFF,se_delta,fraction_ALN_lower_loss
43022,ALL,3000,-0.100492255,0.0046819885,0.6383333333
43122,ALL,3000,-0.1037352998,0.0051113954,0.64
43022,bnc_spoken,218,-0.0684665082,0.0147288354,0.6376146789
43022,childes,976,-0.1513821204,0.006623775,0.7612704918
43022,gutenberg,705,-0.1029577998,0.0096917002,0.6326241135
43022,open_subtitles,692,0.0049633361,0.0100448395,0.4335260116
43022,simple_wiki,401,-0.1741441923,0.0152136036,0.7057356608
43022,switchboard,8,0.0225405892,0.0917555557,0.5
43122,bnc_spoken,218,-0.0387951158,0.0169582812,0.5871559633
43122,childes,976,-0.156959118,0.0078214341,0.7704918033
43122,gutenberg,705,-0.0928665308,0.0105892051,0.6141843972
43122,open_subtitles,692,-0.0051433346,0.0106913605,0.4580924855
43122,simple_wiki,401,-0.2018307278,0.0154217411,0.7132169576
43122,switchboard,8,0.0509685725,0.0651813707,0.5
