subset,source,contrast,n_rows,mean_delta_loss,se_delta,fraction_dose_lower_loss
heldout2647_full,bnc_spoken,dose21-base0,192,0.0079159821,0.0118907481,0.5208333333
heldout2647_full,bnc_spoken,dose25-base0,192,0.015433583,0.0114743247,0.484375
heldout2647_full,childes,dose21-base0,861,0.0115935396,0.0036997094,0.4518002323
heldout2647_full,childes,dose25-base0,861,0.0225369528,0.003871828,0.4053426249
heldout2647_full,gutenberg,dose21-base0,622,-0.0032127303,0.0064077057,0.5048231511
heldout2647_full,gutenberg,dose25-base0,622,0.0159317836,0.0062016872,0.4646302251
heldout2647_full,open_subtitles,dose21-base0,611,0.0020241685,0.0055792551,0.4991816694
heldout2647_full,open_subtitles,dose25-base0,611,0.0270111094,0.0057036069,0.4222585925
heldout2647_full,simple_wiki,dose21-base0,354,0.0026204786,0.0097884606,0.4943502825
heldout2647_full,simple_wiki,dose25-base0,354,0.0386545685,0.0099823292,0.4265536723
heldout2647_full,switchboard,dose21-base0,7,0.1290470759,0.029312789,0.0
heldout2647_full,switchboard,dose25-base0,7,0.1155427524,0.0358462023,0.1428571429
heldout2647_inherited_aln_text_hit,bnc_spoken,dose21-base0,84,0.0175673626,0.019845748,0.4523809524
heldout2647_inherited_aln_text_hit,bnc_spoken,dose25-base0,84,0.0124102594,0.0176642999,0.5119047619
heldout2647_inherited_aln_text_hit,childes,dose21-base0,112,0.0030551211,0.01091767,0.4821428571
heldout2647_inherited_aln_text_hit,childes,dose25-base0,112,0.0199102141,0.0101392006,0.4196428571
heldout2647_inherited_aln_text_hit,gutenberg,dose21-base0,286,0.0039254759,0.0097824774,0.4965034965
heldout2647_inherited_aln_text_hit,gutenberg,dose25-base0,286,0.013653265,0.0096685116,0.465034965
heldout2647_inherited_aln_text_hit,open_subtitles,dose21-base0,210,0.0005514461,0.0100398836,0.5238095238
heldout2647_inherited_aln_text_hit,open_subtitles,dose25-base0,210,0.0299500664,0.0092733424,0.4095238095
heldout2647_inherited_aln_text_hit,simple_wiki,dose21-base0,209,0.0099729431,0.0128783655,0.4784688995
heldout2647_inherited_aln_text_hit,simple_wiki,dose25-base0,209,0.0436638987,0.0140056084,0.4258373206
heldout2647_inherited_aln_text_hit,switchboard,dose21-base0,3,0.083940506,0.0336538737,0.0
heldout2647_inherited_aln_text_hit,switchboard,dose25-base0,3,0.119530042,0.0737306474,0.3333333333
heldout2647_no_inherited_aln_text,bnc_spoken,dose21-base0,108,0.0004093529,0.0144866935,0.5740740741
heldout2647_no_inherited_aln_text,bnc_spoken,dose25-base0,108,0.0177850569,0.0151473081,0.462962963
heldout2647_no_inherited_aln_text,childes,dose21-base0,749,0.0128703125,0.0039279657,0.4472630174
heldout2647_no_inherited_aln_text,childes,dose25-base0,749,0.0229297361,0.0041869092,0.4032042724
heldout2647_no_inherited_aln_text,gutenberg,dose21-base0,336,-0.0092887034,0.0084474335,0.5119047619
heldout2647_no_inherited_aln_text,gutenberg,dose25-base0,336,0.017871237,0.0080165522,0.4642857143
heldout2647_no_inherited_aln_text,open_subtitles,dose21-base0,401,0.0027954196,0.0066891134,0.4862842893
heldout2647_no_inherited_aln_text,open_subtitles,dose25-base0,401,0.0254720047,0.007214041,0.4289276808
heldout2647_no_inherited_aln_text,simple_wiki,dose21-base0,145,-0.0079772116,0.0150598895,0.5172413793
heldout2647_no_inherited_aln_text,simple_wiki,dose25-base0,145,0.0314342235,0.0136876969,0.4275862069
heldout2647_no_inherited_aln_text,switchboard,dose21-base0,4,0.1628770034,0.0393815736,0.0
heldout2647_no_inherited_aln_text,switchboard,dose25-base0,4,0.1125522852,0.0420982897,0.0
strict_complement_ngram_3000,bnc_spoken,dose21-base0,218,-0.0104527027,0.0114844679,0.5458715596
strict_complement_ngram_3000,bnc_spoken,dose25-base0,218,0.0084171572,0.0116863032,0.4266055046
strict_complement_ngram_3000,childes,dose21-base0,976,0.0967131605,0.0064144677,0.2961065574
strict_complement_ngram_3000,childes,dose25-base0,976,-0.0246108934,0.0059820304,0.5625
strict_complement_ngram_3000,gutenberg,dose21-base0,705,0.0005866056,0.0072643992,0.5021276596
strict_complement_ngram_3000,gutenberg,dose25-base0,705,0.0300577003,0.0074522329,0.4453900709
strict_complement_ngram_3000,open_subtitles,dose21-base0,692,0.0423473263,0.0066646998,0.4089595376
strict_complement_ngram_3000,open_subtitles,dose25-base0,692,0.0979517503,0.00680701,0.2832369942
strict_complement_ngram_3000,simple_wiki,dose21-base0,401,-0.0137965826,0.0114878697,0.5461346633
strict_complement_ngram_3000,simple_wiki,dose25-base0,401,0.0686771854,0.011762186,0.3965087282
strict_complement_ngram_3000,switchboard,dose21-base0,8,0.0246868531,0.0489223992,0.375
strict_complement_ngram_3000,switchboard,dose25-base0,8,0.0058841507,0.0345703955,0.5
