identity,checkpoint,words,quantity,lhs_contrast,lhs,rhs1_contrast,rhs1,rhs2_contrast,rhs2,rhs_sum,residual
D1_VR_equals_VB_plus_BR,chck_10M,10000000,BLiMP,D1_VminusR,-0.12999999999999545,D1_VminusB,-1.4199999999999946,D1_BminusR,1.2899999999999991,-0.12999999999999545,0.0
D1_VR_equals_VB_plus_BR,chck_10M,10000000,Supplement,D1_VminusR,-1.480000000000004,D1_VminusB,-1.3900000000000006,D1_BminusR,-0.09000000000000341,-1.480000000000004,0.0
D1_VR_equals_VB_plus_BR,chck_10M,10000000,EWoK,D1_VminusR,0.6799999999999997,D1_VminusB,-0.9699999999999989,D1_BminusR,1.6499999999999986,0.6799999999999997,0.0
D1_VR_equals_VB_plus_BR,chck_10M,10000000,COMPS,D1_VminusR,-0.0899999999999963,D1_VminusB,0.18999999999999773,D1_BminusR,-0.27999999999999403,-0.0899999999999963,0.0
D1_VR_equals_VB_plus_BR,chck_10M,10000000,Reading,D1_VminusR,-0.48499999999999943,D1_VminusB,-0.3650000000000002,D1_BminusR,-0.11999999999999922,-0.48499999999999943,0.0
D1_VR_equals_VB_plus_BR,chck_10M,10000000,exEntity5,D1_VminusR,-0.30100000000000193,D1_VminusB,-0.7910000000000039,D1_BminusR,0.490000000000002,-0.30100000000000193,0.0
D1_VR_equals_VB_plus_BR,chck_10M,10000000,exEntity4_noReading,D1_VminusR,-0.25500000000000256,D1_VminusB,-0.8975000000000009,D1_BminusR,0.6424999999999983,-0.25500000000000256,0.0
D1_VR_equals_VB_plus_BR,chck_20M,20000000,BLiMP,D1_VminusR,-0.8799999999999955,D1_VminusB,-1.9099999999999966,D1_BminusR,1.0300000000000011,-0.8799999999999955,0.0
D1_VR_equals_VB_plus_BR,chck_20M,20000000,Supplement,D1_VminusR,0.0,D1_VminusB,1.2999999999999972,D1_BminusR,-1.2999999999999972,0.0,0.0
D1_VR_equals_VB_plus_BR,chck_20M,20000000,EWoK,D1_VminusR,0.04000000000000625,D1_VminusB,1.2000000000000028,D1_BminusR,-1.1599999999999966,0.04000000000000625,0.0
D1_VR_equals_VB_plus_BR,chck_20M,20000000,COMPS,D1_VminusR,-0.35999999999999943,D1_VminusB,0.2600000000000051,D1_BminusR,-0.6200000000000045,-0.35999999999999943,0.0
D1_VR_equals_VB_plus_BR,chck_20M,20000000,Reading,D1_VminusR,-0.6750000000000007,D1_VminusB,-0.48499999999999943,D1_BminusR,-0.19000000000000128,-0.6750000000000007,0.0
D1_VR_equals_VB_plus_BR,chck_20M,20000000,exEntity5,D1_VminusR,-0.375,D1_VminusB,0.0730000000000004,D1_BminusR,-0.4480000000000004,-0.375,0.0
D1_VR_equals_VB_plus_BR,chck_20M,20000000,exEntity4_noReading,D1_VminusR,-0.29999999999999716,D1_VminusB,0.21250000000000568,D1_BminusR,-0.5125000000000028,-0.29999999999999716,0.0
D1_VR_equals_VB_plus_BR,chck_30M,30000000,BLiMP,D1_VminusR,-2.1400000000000006,D1_VminusB,-2.470000000000006,D1_BminusR,0.3300000000000054,-2.1400000000000006,0.0
D1_VR_equals_VB_plus_BR,chck_30M,30000000,Supplement,D1_VminusR,0.11000000000000654,D1_VminusB,-0.7299999999999969,D1_BminusR,0.8400000000000034,0.11000000000000654,0.0
D1_VR_equals_VB_plus_BR,chck_30M,30000000,EWoK,D1_VminusR,-1.6400000000000006,D1_VminusB,-3.1600000000000037,D1_BminusR,1.5200000000000031,-1.6400000000000006,0.0
D1_VR_equals_VB_plus_BR,chck_30M,30000000,COMPS,D1_VminusR,-0.0800000000000054,D1_VminusB,-0.3500000000000014,D1_BminusR,0.269999999999996,-0.0800000000000054,0.0
D1_VR_equals_VB_plus_BR,chck_30M,30000000,Reading,D1_VminusR,0.8849999999999998,D1_VminusB,0.4150000000000009,D1_BminusR,0.46999999999999886,0.8849999999999998,0.0
D1_VR_equals_VB_plus_BR,chck_30M,30000000,exEntity5,D1_VminusR,-0.5730000000000004,D1_VminusB,-1.2590000000000003,D1_BminusR,0.6859999999999999,-0.5730000000000004,0.0
D1_VR_equals_VB_plus_BR,chck_30M,30000000,exEntity4_noReading,D1_VminusR,-0.9375,D1_VminusB,-1.677500000000002,D1_BminusR,0.740000000000002,-0.9375,0.0
D1_VR_equals_VB_plus_BR,chck_40M,40000000,BLiMP,D1_VminusR,0.7899999999999991,D1_VminusB,-1.0700000000000003,D1_BminusR,1.8599999999999994,0.7899999999999991,0.0
D1_VR_equals_VB_plus_BR,chck_40M,40000000,Supplement,D1_VminusR,2.8599999999999994,D1_VminusB,2.009999999999998,D1_BminusR,0.8500000000000014,2.8599999999999994,0.0
D1_VR_equals_VB_plus_BR,chck_40M,40000000,EWoK,D1_VminusR,-0.259999999999998,D1_VminusB,-0.18999999999999773,D1_BminusR,-0.07000000000000028,-0.259999999999998,0.0
D1_VR_equals_VB_plus_BR,chck_40M,40000000,COMPS,D1_VminusR,0.990000000000002,D1_VminusB,0.5499999999999972,D1_BminusR,0.44000000000000483,0.990000000000002,0.0
D1_VR_equals_VB_plus_BR,chck_40M,40000000,Reading,D1_VminusR,0.0600000000000005,D1_VminusB,0.5950000000000006,D1_BminusR,-0.5350000000000001,0.0600000000000005,0.0
D1_VR_equals_VB_plus_BR,chck_40M,40000000,exEntity5,D1_VminusR,0.8880000000000052,D1_VminusB,0.3790000000000049,D1_BminusR,0.5090000000000003,0.8880000000000052,0.0
D1_VR_equals_VB_plus_BR,chck_40M,40000000,exEntity4_noReading,D1_VminusR,1.0949999999999989,D1_VminusB,0.32500000000000284,D1_BminusR,0.769999999999996,1.0949999999999989,0.0
D1_VR_equals_VB_plus_BR,chck_50M,50000000,BLiMP,D1_VminusR,0.6499999999999915,D1_VminusB,-0.19000000000001194,D1_BminusR,0.8400000000000034,0.6499999999999915,0.0
D1_VR_equals_VB_plus_BR,chck_50M,50000000,Supplement,D1_VminusR,3.4100000000000037,D1_VminusB,2.3700000000000045,D1_BminusR,1.0399999999999991,3.4100000000000037,0.0
