identity,quantity,window,n,mean,median,min,max,checkpoints
D1_BCmax_equals_BR_plus_RCmax,exEntity4_noReading,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCmax_equals_BR_plus_RCmax,exEntity5,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCmax_equals_BR_plus_RCmax,exEntity5,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_BCmax_equals_BR_plus_RCmax,exEntity5,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCmax_equals_BR_plus_RCmax,exEntity5,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_BCold_equals_BR_plus_RCold,BLiMP,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCold_equals_BR_plus_RCold,BLiMP,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,BLiMP,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,COMPS,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCold_equals_BR_plus_RCold,COMPS,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,COMPS,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,EWoK,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCold_equals_BR_plus_RCold,EWoK,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,EWoK,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,EWoK_plus_Entity_sum,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,EWoK_plus_Entity_sum,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,EWoK_plus_Entity_sum,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,Entity,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,Entity,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,Entity,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,Reading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCold_equals_BR_plus_RCold,Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,Reading,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,Supplement,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCold_equals_BR_plus_RCold,Supplement,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,Supplement,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,cheap5_no_GlobalPIQA_Reading,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,cheap5_no_GlobalPIQA_Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,cheap5_no_GlobalPIQA_Reading,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,cheap6_no_GlobalPIQA,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,cheap6_no_GlobalPIQA,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,cheap6_no_GlobalPIQA,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,exEntity4_noReading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCold_equals_BR_plus_RCold,exEntity4_noReading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,exEntity4_noReading,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,exEntity5,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BCold_equals_BR_plus_RCold,exEntity5,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_BCold_equals_BR_plus_RCold,exEntity5,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,BLiMP,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCmax_equals_VB_plus_BCmax,BLiMP,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,BLiMP,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,BLiMP,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,COMPS,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCmax_equals_VB_plus_BCmax,COMPS,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,COMPS,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,COMPS,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,EWoK,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCmax_equals_VB_plus_BCmax,EWoK,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,EWoK,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,EWoK,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,EWoK_plus_Entity_sum,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,EWoK_plus_Entity_sum,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,EWoK_plus_Entity_sum,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,EWoK_plus_Entity_sum,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,Entity,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,Entity,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,Entity,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,Entity,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,Reading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCmax_equals_VB_plus_BCmax,Reading,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,Reading,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,Supplement,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCmax_equals_VB_plus_BCmax,Supplement,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,Supplement,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,Supplement,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,cheap5_no_GlobalPIQA_Reading,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,cheap5_no_GlobalPIQA_Reading,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,cheap5_no_GlobalPIQA_Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,cheap5_no_GlobalPIQA_Reading,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,cheap6_no_GlobalPIQA,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,cheap6_no_GlobalPIQA,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,cheap6_no_GlobalPIQA,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,cheap6_no_GlobalPIQA,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,exEntity4_noReading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCmax_equals_VB_plus_BCmax,exEntity4_noReading,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,exEntity4_noReading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,exEntity4_noReading,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCmax_equals_VB_plus_BCmax,exEntity5,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCmax_equals_VB_plus_BCmax,exEntity5,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VCmax_equals_VB_plus_BCmax,exEntity5,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCmax_equals_VB_plus_BCmax,exEntity5,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VCold_equals_VB_plus_BCold,BLiMP,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCold_equals_VB_plus_BCold,BLiMP,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,BLiMP,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,COMPS,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCold_equals_VB_plus_BCold,COMPS,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,COMPS,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,EWoK,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCold_equals_VB_plus_BCold,EWoK,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,EWoK,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,EWoK_plus_Entity_sum,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,EWoK_plus_Entity_sum,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,EWoK_plus_Entity_sum,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,Entity,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,Entity,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,Entity,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,Reading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCold_equals_VB_plus_BCold,Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,Reading,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,Supplement,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCold_equals_VB_plus_BCold,Supplement,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,Supplement,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,cheap5_no_GlobalPIQA_Reading,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,cheap5_no_GlobalPIQA_Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,cheap5_no_GlobalPIQA_Reading,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,cheap6_no_GlobalPIQA,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,cheap6_no_GlobalPIQA,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,cheap6_no_GlobalPIQA,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,exEntity4_noReading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCold_equals_VB_plus_BCold,exEntity4_noReading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,exEntity4_noReading,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,exEntity5,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VCold_equals_VB_plus_BCold,exEntity5,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VCold_equals_VB_plus_BCold,exEntity5,late80_100,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,BLiMP,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VR_equals_VB_plus_BR,BLiMP,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,BLiMP,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,BLiMP,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
