arm,role,reference,seed,checkpoint,words,family,payload,description,reason,path
D1_B,B,deberta_basin1,43022,chck_10M,10000000,Entity,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_10M.json,DeBERTa basin1 MAX same-population unrelated breadth,task_missing_or_no_score,
D1_B,B,deberta_basin1,43022,chck_20M,20000000,Entity,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_20M.json,DeBERTa basin1 MAX same-population unrelated breadth,task_missing_or_no_score,
D1_B,B,deberta_basin1,43022,chck_30M,30000000,Entity,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_30M.json,DeBERTa basin1 MAX same-population unrelated breadth,task_missing_or_no_score,
D1_B,B,deberta_basin1,43022,chck_40M,40000000,Entity,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_40M.json,DeBERTa basin1 MAX same-population unrelated breadth,task_missing_or_no_score,
D1_B,B,deberta_basin1,43022,chck_50M,50000000,Entity,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_50M.json,DeBERTa basin1 MAX same-population unrelated breadth,task_missing_or_no_score,
D1_B,B,deberta_basin1,43022,chck_60M,60000000,Entity,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_60M.json,DeBERTa basin1 MAX same-population unrelated breadth,task_missing_or_no_score,
D1_B,B,deberta_basin1,43022,chck_70M,70000000,Entity,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_70M.json,DeBERTa basin1 MAX same-population unrelated breadth,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_10M,10000000,BLiMP,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_10M,10000000,Supplement,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
D2_V,V,deberta_basin2,43122,chck_10M,10000000,EWoK,experiments/archive/frontier_consolidation/data/second_basin_entity_ewok_eval/view_eval/per_target/second_basin_max_view_seed43122_chck_10M.json,DeBERTa basin2 MAX compact source-conditioned view,task_missing_or_no_score,
