contrast,quantity,window,n,mean,median,min,max,checkpoints
D1_BminusCmax,BLiMP,common10_80,8,1.8887500000000008,1.6799999999999997,0.7999999999999972,3.799999999999997,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BminusCmax,BLiMP,endpoint100,1,0.5100000000000051,0.5100000000000051,0.5100000000000051,0.5100000000000051,chck_100M
D1_BminusCmax,BLiMP,endpoint80,1,0.8400000000000034,0.8400000000000034,0.8400000000000034,0.8400000000000034,chck_80M
D1_BminusCmax,BLiMP,late80_100,3,0.6233333333333348,0.519999999999996,0.5100000000000051,0.8400000000000034,chck_80M;chck_90M;chck_100M
D1_BminusCmax,COMPS,common10_80,8,0.13250000000000028,-0.029999999999997584,-0.4000000000000057,0.740000000000002,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BminusCmax,COMPS,endpoint100,1,0.6499999999999986,0.6499999999999986,0.6499999999999986,0.6499999999999986,chck_100M
D1_BminusCmax,COMPS,endpoint80,1,0.6899999999999977,0.6899999999999977,0.6899999999999977,0.6899999999999977,chck_80M
D1_BminusCmax,COMPS,late80_100,3,0.7499999999999977,0.6899999999999977,0.6499999999999986,0.9099999999999966,chck_80M;chck_90M;chck_100M
D1_BminusCmax,EWoK,common10_80,8,0.6762500000000005,0.33500000000000085,-0.5700000000000003,3.6799999999999997,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BminusCmax,EWoK,endpoint100,1,-1.1099999999999994,-1.1099999999999994,-1.1099999999999994,-1.1099999999999994,chck_100M
D1_BminusCmax,EWoK,endpoint80,1,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006,chck_80M
D1_BminusCmax,EWoK,late80_100,3,-0.5666666666666677,-1.1099999999999994,-1.230000000000004,0.6400000000000006,chck_80M;chck_90M;chck_100M
D1_BminusCmax,EWoK_plus_Entity_sum,common10_80,1,0.7349999999999994,0.7349999999999994,0.7349999999999994,0.7349999999999994,chck_80M
D1_BminusCmax,EWoK_plus_Entity_sum,endpoint100,1,-0.3200000000000074,-0.3200000000000074,-0.3200000000000074,-0.3200000000000074,chck_100M
D1_BminusCmax,EWoK_plus_Entity_sum,endpoint80,1,0.7349999999999994,0.7349999999999994,0.7349999999999994,0.7349999999999994,chck_80M
D1_BminusCmax,EWoK_plus_Entity_sum,late80_100,3,-0.04000000000000389,-0.3200000000000074,-0.5350000000000037,0.7349999999999994,chck_80M;chck_90M;chck_100M
D1_BminusCmax,Entity,common10_80,1,0.8299999999999983,0.8299999999999983,0.8299999999999983,0.8299999999999983,chck_80M
D1_BminusCmax,Entity,endpoint100,1,0.46999999999999886,0.46999999999999886,0.46999999999999886,0.46999999999999886,chck_100M
D1_BminusCmax,Entity,endpoint80,1,0.8299999999999983,0.8299999999999983,0.8299999999999983,0.8299999999999983,chck_80M
D1_BminusCmax,Entity,late80_100,3,0.48666666666666575,0.46999999999999886,0.16000000000000014,0.8299999999999983,chck_80M;chck_90M;chck_100M
D1_BminusCmax,Reading,common10_80,8,0.18562499999999926,0.3124999999999991,-0.5650000000000013,0.7199999999999989,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BminusCmax,Reading,endpoint100,1,0.5200000000000005,0.5200000000000005,0.5200000000000005,0.5200000000000005,chck_100M
D1_BminusCmax,Reading,endpoint80,1,0.4499999999999993,0.4499999999999993,0.4499999999999993,0.4499999999999993,chck_80M
D1_BminusCmax,Reading,late80_100,3,0.5050000000000002,0.5200000000000005,0.4499999999999993,0.5450000000000008,chck_80M;chck_90M;chck_100M
D1_BminusCmax,Supplement,common10_80,8,0.46250000000000036,0.5299999999999976,-1.9099999999999966,1.8800000000000026,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BminusCmax,Supplement,endpoint100,1,-0.030000000000001137,-0.030000000000001137,-0.030000000000001137,-0.030000000000001137,chck_100M
D1_BminusCmax,Supplement,endpoint80,1,0.4799999999999969,0.4799999999999969,0.4799999999999969,0.4799999999999969,chck_80M
D1_BminusCmax,Supplement,late80_100,3,0.3633333333333321,0.4799999999999969,-0.030000000000001137,0.6400000000000006,chck_80M;chck_90M;chck_100M
D1_BminusCmax,cheap5_no_GlobalPIQA_Reading,common10_80,1,0.695999999999998,0.695999999999998,0.695999999999998,0.695999999999998,chck_80M
D1_BminusCmax,cheap5_no_GlobalPIQA_Reading,endpoint100,1,0.09799999999999898,0.09799999999999898,0.09799999999999898,0.09799999999999898,chck_100M
D1_BminusCmax,cheap5_no_GlobalPIQA_Reading,endpoint80,1,0.695999999999998,0.695999999999998,0.695999999999998,0.695999999999998,chck_80M
D1_BminusCmax,cheap5_no_GlobalPIQA_Reading,late80_100,3,0.33133333333333326,0.20000000000000284,0.09799999999999898,0.695999999999998,chck_80M;chck_90M;chck_100M
D1_BminusCmax,cheap6_no_GlobalPIQA,common10_80,1,0.6550000000000011,0.6550000000000011,0.6550000000000011,0.6550000000000011,chck_80M
D1_BminusCmax,cheap6_no_GlobalPIQA,endpoint100,1,0.16833333333332945,0.16833333333332945,0.16833333333332945,0.16833333333332945,chck_100M
D1_BminusCmax,cheap6_no_GlobalPIQA,endpoint80,1,0.6550000000000011,0.6550000000000011,0.6550000000000011,0.6550000000000011,chck_80M
D1_BminusCmax,cheap6_no_GlobalPIQA,late80_100,3,0.360277777777777,0.2575000000000003,0.16833333333332945,0.6550000000000011,chck_80M;chck_90M;chck_100M
D1_BminusCmax,exEntity4_noReading,common10_80,8,0.79,0.754999999999999,0.355000000000004,1.2149999999999963,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BminusCmax,exEntity4_noReading,endpoint100,1,0.005000000000002558,0.005000000000002558,0.005000000000002558,0.005000000000002558,chck_100M
D1_BminusCmax,exEntity4_noReading,endpoint80,1,0.6625000000000014,0.6625000000000014,0.6625000000000014,0.6625000000000014,chck_80M
D1_BminusCmax,exEntity4_noReading,late80_100,3,0.2925000000000016,0.21000000000000085,0.005000000000002558,0.6625000000000014,chck_80M;chck_90M;chck_100M
D1_BminusCmax,exEntity5,common10_80,8,0.6691250000000011,0.6934999999999967,0.17100000000000648,0.9470000000000027,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_BminusCmax,exEntity5,endpoint100,1,0.10799999999999699,0.10799999999999699,0.10799999999999699,0.10799999999999699,chck_100M
