contrast,arm_a,arm_b,checkpoint,words,quantity,delta,score_a,score_b
D1_VminusR,D1_V,D1_R,chck_10M,10000000,BLiMP,-0.12999999999999545,56.09,56.22
D1_VminusR,D1_V,D1_R,chck_10M,10000000,Supplement,-1.480000000000004,52.04,53.52
D1_VminusR,D1_V,D1_R,chck_10M,10000000,EWoK,0.6799999999999997,49.57,48.89
D1_VminusR,D1_V,D1_R,chck_10M,10000000,Entity,-0.9699999999999989,17.42,18.39
D1_VminusR,D1_V,D1_R,chck_10M,10000000,COMPS,-0.0899999999999963,50.14,50.23
D1_VminusR,D1_V,D1_R,chck_10M,10000000,Reading,-0.48499999999999943,8.125,8.61
D1_VminusR,D1_V,D1_R,chck_10M,10000000,cheap6_no_GlobalPIQA,-0.4125000000000014,38.8975,39.31
D1_VminusR,D1_V,D1_R,chck_10M,10000000,cheap5_no_GlobalPIQA_Reading,-0.39800000000000324,45.052,45.45
D1_VminusR,D1_V,D1_R,chck_10M,10000000,exEntity5,-0.30100000000000193,43.193,43.494
D1_VminusR,D1_V,D1_R,chck_10M,10000000,exEntity4_noReading,-0.25500000000000256,51.96,52.215
D1_VminusR,D1_V,D1_R,chck_10M,10000000,EWoK_plus_Entity_sum,-0.14499999999999602,33.495000000000005,33.64
D1_VminusR,D1_V,D1_R,chck_20M,20000000,BLiMP,-0.8799999999999955,59.99,60.87
D1_VminusR,D1_V,D1_R,chck_20M,20000000,Supplement,0.0,57.9,57.9
D1_VminusR,D1_V,D1_R,chck_20M,20000000,EWoK,0.04000000000000625,50.2,50.16
D1_VminusR,D1_V,D1_R,chck_20M,20000000,Entity,-1.8100000000000023,17.99,19.8
D1_VminusR,D1_V,D1_R,chck_20M,20000000,COMPS,-0.35999999999999943,50.27,50.63
D1_VminusR,D1_V,D1_R,chck_20M,20000000,Reading,-0.6750000000000007,8.305,8.98
D1_VminusR,D1_V,D1_R,chck_20M,20000000,cheap6_no_GlobalPIQA,-0.6141666666666694,40.77583333333333,41.39
D1_VminusR,D1_V,D1_R,chck_20M,20000000,cheap5_no_GlobalPIQA_Reading,-0.6019999999999968,47.27,47.872
D1_VminusR,D1_V,D1_R,chck_20M,20000000,exEntity5,-0.375,45.333,45.708
D1_VminusR,D1_V,D1_R,chck_20M,20000000,exEntity4_noReading,-0.29999999999999716,54.59,54.89
D1_VminusR,D1_V,D1_R,chck_20M,20000000,EWoK_plus_Entity_sum,-0.884999999999998,34.095,34.98
D1_VminusR,D1_V,D1_R,chck_30M,30000000,BLiMP,-2.1400000000000006,60.3,62.44
D1_VminusR,D1_V,D1_R,chck_30M,30000000,Supplement,0.11000000000000654,55.09,54.98
D1_VminusR,D1_V,D1_R,chck_30M,30000000,EWoK,-1.6400000000000006,49.12,50.76
D1_VminusR,D1_V,D1_R,chck_30M,30000000,Entity,1.8099999999999987,24.82,23.01
D1_VminusR,D1_V,D1_R,chck_30M,30000000,COMPS,-0.0800000000000054,50.3,50.38
D1_VminusR,D1_V,D1_R,chck_30M,30000000,Reading,0.8849999999999998,9.165000000000001,8.280000000000001
D1_VminusR,D1_V,D1_R,chck_30M,30000000,cheap6_no_GlobalPIQA,-0.17583333333332973,41.465833333333336,41.641666666666666
D1_VminusR,D1_V,D1_R,chck_30M,30000000,cheap5_no_GlobalPIQA_Reading,-0.3879999999999981,47.926,48.314
D1_VminusR,D1_V,D1_R,chck_30M,30000000,exEntity5,-0.5730000000000004,44.795,45.368
D1_VminusR,D1_V,D1_R,chck_30M,30000000,exEntity4_noReading,-0.9375,53.7025,54.64
D1_VminusR,D1_V,D1_R,chck_30M,30000000,EWoK_plus_Entity_sum,0.08500000000000085,36.97,36.885
D1_VminusR,D1_V,D1_R,chck_40M,40000000,BLiMP,0.7899999999999991,63.29,62.5
D1_VminusR,D1_V,D1_R,chck_40M,40000000,Supplement,2.8599999999999994,59.64,56.78
D1_VminusR,D1_V,D1_R,chck_40M,40000000,EWoK,-0.259999999999998,49.21,49.47
D1_VminusR,D1_V,D1_R,chck_40M,40000000,Entity,1.9399999999999977,27.58,25.64
D1_VminusR,D1_V,D1_R,chck_40M,40000000,COMPS,0.990000000000002,51.11,50.12
D1_VminusR,D1_V,D1_R,chck_40M,40000000,Reading,0.0600000000000005,7.795,7.734999999999999
D1_VminusR,D1_V,D1_R,chck_40M,40000000,cheap6_no_GlobalPIQA,1.0633333333333326,43.104166666666664,42.04083333333333
D1_VminusR,D1_V,D1_R,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,1.2639999999999958,50.166,48.902
D1_VminusR,D1_V,D1_R,chck_40M,40000000,exEntity5,0.8880000000000052,46.209,45.321
D1_VminusR,D1_V,D1_R,chck_40M,40000000,exEntity4_noReading,1.0949999999999989,55.8125,54.7175
D1_VminusR,D1_V,D1_R,chck_40M,40000000,EWoK_plus_Entity_sum,0.8399999999999963,38.394999999999996,37.555
D1_VminusR,D1_V,D1_R,chck_50M,50000000,BLiMP,0.6499999999999915,64.99,64.34
D1_VminusR,D1_V,D1_R,chck_50M,50000000,Supplement,3.4100000000000037,61.24,57.83
D1_VminusR,D1_V,D1_R,chck_50M,50000000,EWoK,-0.36999999999999744,50.38,50.75
D1_VminusR,D1_V,D1_R,chck_50M,50000000,Entity,2.4299999999999997,28.04,25.61
D1_VminusR,D1_V,D1_R,chck_50M,50000000,COMPS,0.13000000000000256,51.03,50.9
D1_VminusR,D1_V,D1_R,chck_50M,50000000,Reading,0.3249999999999984,8.309999999999999,7.985
D1_VminusR,D1_V,D1_R,chck_50M,50000000,cheap6_no_GlobalPIQA,1.0958333333333314,43.998333333333335,42.9025
D1_VminusR,D1_V,D1_R,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,1.25,51.136,49.886
D1_VminusR,D1_V,D1_R,chck_50M,50000000,exEntity5,0.8290000000000006,47.19,46.361
D1_VminusR,D1_V,D1_R,chck_50M,50000000,exEntity4_noReading,0.9549999999999983,56.91,55.955
D1_VminusR,D1_V,D1_R,chck_50M,50000000,EWoK_plus_Entity_sum,1.0300000000000011,39.21,38.18
D1_VminusR,D1_V,D1_R,chck_60M,60000000,BLiMP,-0.0799999999999983,65.65,65.73
D1_VminusR,D1_V,D1_R,chck_60M,60000000,Supplement,1.1500000000000057,60.59,59.44
D1_VminusR,D1_V,D1_R,chck_60M,60000000,EWoK,0.8399999999999963,50.47,49.63
D1_VminusR,D1_V,D1_R,chck_60M,60000000,Entity,6.5,28.17,21.67
D1_VminusR,D1_V,D1_R,chck_60M,60000000,COMPS,-0.030000000000001137,51.53,51.56
D1_VminusR,D1_V,D1_R,chck_60M,60000000,Reading,0.23000000000000043,7.635,7.404999999999999
D1_VminusR,D1_V,D1_R,chck_60M,60000000,cheap6_no_GlobalPIQA,1.4350000000000023,44.0075,42.5725
D1_VminusR,D1_V,D1_R,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,1.676000000000002,51.282000000000004,49.606
D1_VminusR,D1_V,D1_R,chck_60M,60000000,exEntity5,0.42200000000000415,47.175000000000004,46.753
D1_VminusR,D1_V,D1_R,chck_60M,60000000,exEntity4_noReading,0.46999999999999886,57.06,56.59
D1_VminusR,D1_V,D1_R,chck_60M,60000000,EWoK_plus_Entity_sum,3.6699999999999946,39.32,35.650000000000006
D1_VminusR,D1_V,D1_R,chck_70M,70000000,BLiMP,-0.12000000000000455,66.02,66.14
D1_VminusR,D1_V,D1_R,chck_70M,70000000,Supplement,0.240000000000002,58.78,58.54
D1_VminusR,D1_V,D1_R,chck_70M,70000000,EWoK,-3.210000000000001,48.47,51.68
D1_VminusR,D1_V,D1_R,chck_70M,70000000,Entity,2.099999999999998,27.72,25.62
D1_VminusR,D1_V,D1_R,chck_70M,70000000,COMPS,0.04999999999999716,51.18,51.13
D1_VminusR,D1_V,D1_R,chck_70M,70000000,Reading,-0.5,7.455,7.955
D1_VminusR,D1_V,D1_R,chck_70M,70000000,cheap6_no_GlobalPIQA,-0.23999999999999488,43.270833333333336,43.51083333333333
