arm,role,reference,seed,checkpoint,words,family,payload,description,score,is_aggregate
D1_V,V,deberta_basin1,43022,chck_10M,10000000,BLiMP,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,DeBERTa basin1 MAX compact source-conditioned view,56.09,
D1_V,V,deberta_basin1,43022,chck_10M,10000000,Supplement,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,DeBERTa basin1 MAX compact source-conditioned view,52.04,
D1_V,V,deberta_basin1,43022,chck_10M,10000000,EWoK,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,DeBERTa basin1 MAX compact source-conditioned view,49.57,
D1_V,V,deberta_basin1,43022,chck_10M,10000000,Entity,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,DeBERTa basin1 MAX compact source-conditioned view,17.42,
D1_V,V,deberta_basin1,43022,chck_10M,10000000,COMPS,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,DeBERTa basin1 MAX compact source-conditioned view,50.14,
D1_V,V,deberta_basin1,43022,chck_10M,10000000,Reading,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json,DeBERTa basin1 MAX compact source-conditioned view,8.125,
D1_V,V,deberta_basin1,43022,chck_20M,20000000,BLiMP,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,DeBERTa basin1 MAX compact source-conditioned view,59.99,
D1_V,V,deberta_basin1,43022,chck_20M,20000000,Supplement,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,DeBERTa basin1 MAX compact source-conditioned view,57.9,
D1_V,V,deberta_basin1,43022,chck_20M,20000000,EWoK,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,DeBERTa basin1 MAX compact source-conditioned view,50.2,
D1_V,V,deberta_basin1,43022,chck_20M,20000000,Entity,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,DeBERTa basin1 MAX compact source-conditioned view,17.99,
D1_V,V,deberta_basin1,43022,chck_20M,20000000,COMPS,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,DeBERTa basin1 MAX compact source-conditioned view,50.27,
D1_V,V,deberta_basin1,43022,chck_20M,20000000,Reading,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,DeBERTa basin1 MAX compact source-conditioned view,8.305,
D1_V,V,deberta_basin1,43022,chck_30M,30000000,BLiMP,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,DeBERTa basin1 MAX compact source-conditioned view,60.3,
D1_V,V,deberta_basin1,43022,chck_30M,30000000,Supplement,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,DeBERTa basin1 MAX compact source-conditioned view,55.09,
D1_V,V,deberta_basin1,43022,chck_30M,30000000,EWoK,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,DeBERTa basin1 MAX compact source-conditioned view,49.12,
D1_V,V,deberta_basin1,43022,chck_30M,30000000,Entity,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,DeBERTa basin1 MAX compact source-conditioned view,24.82,
D1_V,V,deberta_basin1,43022,chck_30M,30000000,COMPS,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,DeBERTa basin1 MAX compact source-conditioned view,50.3,
D1_V,V,deberta_basin1,43022,chck_30M,30000000,Reading,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,DeBERTa basin1 MAX compact source-conditioned view,9.165000000000001,
D1_V,V,deberta_basin1,43022,chck_40M,40000000,BLiMP,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,DeBERTa basin1 MAX compact source-conditioned view,63.29,
D1_V,V,deberta_basin1,43022,chck_40M,40000000,Supplement,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,DeBERTa basin1 MAX compact source-conditioned view,59.64,
D1_V,V,deberta_basin1,43022,chck_40M,40000000,EWoK,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,DeBERTa basin1 MAX compact source-conditioned view,49.21,
D1_V,V,deberta_basin1,43022,chck_40M,40000000,Entity,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,DeBERTa basin1 MAX compact source-conditioned view,27.58,
D1_V,V,deberta_basin1,43022,chck_40M,40000000,COMPS,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,DeBERTa basin1 MAX compact source-conditioned view,51.11,
D1_V,V,deberta_basin1,43022,chck_40M,40000000,Reading,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,DeBERTa basin1 MAX compact source-conditioned view,7.795,
D1_V,V,deberta_basin1,43022,chck_50M,50000000,BLiMP,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,DeBERTa basin1 MAX compact source-conditioned view,64.99,
D1_V,V,deberta_basin1,43022,chck_50M,50000000,Supplement,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,DeBERTa basin1 MAX compact source-conditioned view,61.24,
D1_V,V,deberta_basin1,43022,chck_50M,50000000,EWoK,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,DeBERTa basin1 MAX compact source-conditioned view,50.38,
D1_V,V,deberta_basin1,43022,chck_50M,50000000,Entity,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,DeBERTa basin1 MAX compact source-conditioned view,28.04,
D1_V,V,deberta_basin1,43022,chck_50M,50000000,COMPS,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,DeBERTa basin1 MAX compact source-conditioned view,51.03,
D1_V,V,deberta_basin1,43022,chck_50M,50000000,Reading,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,DeBERTa basin1 MAX compact source-conditioned view,8.309999999999999,
D1_V,V,deberta_basin1,43022,chck_60M,60000000,BLiMP,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,DeBERTa basin1 MAX compact source-conditioned view,65.65,
D1_V,V,deberta_basin1,43022,chck_60M,60000000,Supplement,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,DeBERTa basin1 MAX compact source-conditioned view,60.59,
D1_V,V,deberta_basin1,43022,chck_60M,60000000,EWoK,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,DeBERTa basin1 MAX compact source-conditioned view,50.47,
D1_V,V,deberta_basin1,43022,chck_60M,60000000,Entity,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,DeBERTa basin1 MAX compact source-conditioned view,28.17,
D1_V,V,deberta_basin1,43022,chck_60M,60000000,COMPS,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,DeBERTa basin1 MAX compact source-conditioned view,51.53,
D1_V,V,deberta_basin1,43022,chck_60M,60000000,Reading,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,DeBERTa basin1 MAX compact source-conditioned view,7.635,
D1_V,V,deberta_basin1,43022,chck_70M,70000000,BLiMP,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,DeBERTa basin1 MAX compact source-conditioned view,66.02,
D1_V,V,deberta_basin1,43022,chck_70M,70000000,Supplement,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,DeBERTa basin1 MAX compact source-conditioned view,58.78,
D1_V,V,deberta_basin1,43022,chck_70M,70000000,EWoK,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,DeBERTa basin1 MAX compact source-conditioned view,48.47,
