source,arm,label,update,U_update_new_over_source,R_retain_source_over_new,beta_recipient_response,alpha_shared_replacement_preference,mean_neutral_correct_vs_wrong,mean_retain_correct_vs_wrong,mean_neutral_correct_vs_new,neutral_both_full_source,retain_both_full_source,update_both_correct,reassignment_both_follow,three_entity_update_c_both_query_indexed
bridge_relation_eval,ordinary_relation_wwm,coherent86_parent,,6.991083781292998,-6.938253271661622,0.026415254815688183,6.964668526477309,0.06266527405215637,0.033846727477179664,1.1787485166473521,0,0,30,1,0
bridge_relation_eval,ordinary_relation_wwm,update_0050,50,5.82048607335995,-5.7032331949638,0.058626439198075087,5.761859634161874,0.07262929181257881,0.054628600014580586,0.9791592276758617,0,0,30,0,0
bridge_relation_eval,ordinary_relation_wwm,update_0100,100,5.459331709086482,-5.320135888908472,0.06959791008900496,5.389733798997477,0.08312305238511832,0.06228876021173265,0.939431236187617,0,0,30,1,0
bridge_relation_eval,ordinary_relation_wwm,update_0150,150,5.461424842735545,-5.315160034141607,0.07313240429696899,5.388292438438576,0.09407329718271895,0.06540221532185876,1.0079415701495276,1,0,30,2,0
bridge_relation_eval,ordinary_relation_wwm,update_0200,200,5.509337698260529,-5.363446678506832,0.07294550987684856,5.43639218838368,0.10097003950013057,0.06521276156107586,1.0850192398495144,1,0,30,2,0
bridge_relation_eval,ordinary_relation_wwm,update_0250,250,5.5331667043786075,-5.388576044972158,0.07229532970322472,5.460871374675383,0.10479937063323129,0.06457834548420373,1.1338639211654664,0,0,30,1,0
bridge_relation_eval,ordinary_relation_wwm,update_0300,300,5.539567123001648,-5.395745055408527,0.07191103379656028,5.467656089205088,0.10601105027728618,0.06415722171465557,1.1494971579975553,0,0,30,1,0
bridge_relation_eval,ordinary_relation_wwm,update_0350,350,5.543015301161343,-5.399401246942579,0.07180702710938158,5.4712082740519605,0.10626107176144922,0.06403929485215082,1.153926696644889,0,0,30,1,0
bridge_relation_eval,ordinary_relation_wwm,update_0354,354,5.543022530968818,-5.399407598237611,0.07180746636560364,5.471215064603214,0.10626151416036814,0.0640394820107354,1.153930773999956,0,0,30,1,0
bridge_relation_eval,answer_allocation_mixed,coherent86_parent,,6.991083781292998,-6.938253271661622,0.026415254815688183,6.964668526477309,0.06266527405215637,0.033846727477179664,1.1787485166473521,0,0,30,1,0
bridge_relation_eval,answer_allocation_mixed,update_0050,50,4.964174918655837,-4.831458706538219,0.06635810605880899,4.897816812597028,0.22513368938739103,0.09905674758056802,3.8834372999457023,2,0,30,2,0
bridge_relation_eval,answer_allocation_mixed,update_0100,100,2.5303777528356295,-2.278855633039493,0.1257610598980683,2.4046166929375614,0.27005909278626655,0.2671576056577679,6.235273759265223,3,0,22,3,0
bridge_relation_eval,answer_allocation_mixed,update_0150,150,2.07176139372789,-1.8014967853854047,0.13513230417124256,1.9366290895566474,0.3038226835095944,0.31618370688054703,6.970332511893422,5,0,21,2,0
bridge_relation_eval,answer_allocation_mixed,update_0200,200,1.8479704914595803,-1.5502345144949827,0.14886798848229876,1.6991025029772815,0.32269174593164485,0.3246693555026367,7.201316379240662,4,0,20,2,0
bridge_relation_eval,answer_allocation_mixed,update_0250,250,1.729768433959495,-1.4166102497454913,0.15657909210700183,1.5731893418524932,0.3294851637499718,0.3213032990576338,7.2682246110940145,2,0,20,2,0
bridge_relation_eval,answer_allocation_mixed,update_0300,300,1.708310999817396,-1.388684994959816,0.15981300242879004,1.548497997388606,0.33109759928490445,0.32112235109787435,7.279443260620012,2,0,20,2,0
bridge_relation_eval,answer_allocation_mixed,update_0350,350,1.6998234312283522,-1.3789918743286076,0.16041577844987231,1.53940765277848,0.33176867368152474,0.32092765726381906,7.284919161498418,2,0,20,2,0
bridge_relation_eval,answer_allocation_mixed,update_0354,354,1.6998275062535604,-1.3789953043857692,0.16041610093389558,1.5394114053196648,0.3317681118865342,0.320929359266431,7.284923066009328,2,0,20,2,0
saved_specialist_summary,parent_step042,coherent86_parent,,6.991241340587665,-6.938600191639917,0.026320574473873926,6.964920766113791,0.06281026508245202,0.033854469623830555,1.1785360321485334,0,0,30,1,0
saved_specialist_summary,isolated_answer_only_specialist,seed_40040_epoch80,,6.138553777028219,7.82208761959272,6.98032069831047,-0.8417669212822507,8.409231995762093,7.752128344539928,11.04209323011701,30,28,30,27,12
saved_specialist_summary,isolated_answer_only_specialist,seed_40041_epoch80,,6.221301365491688,6.31494787110559,6.268124618298639,-0.04682325280695121,7.991580590782622,7.237761731307967,10.655988919087102,27,24,30,27,11
saved_specialist_summary,isolated_answer_only_specialist,seed_40042_epoch80,,5.627628296679015,7.368321975638133,6.4979751361585745,-0.8703468394795588,7.7569743898432035,7.12199734109719,10.711384944823932,27,26,30,27,12
