arm,architecture,seed,role,checkpoint,words,family,score,payload,description,reason,path
deberta_basin1_breadth,deberta,43022,B,chck_10M,10000000,Entity,,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_10M.json,first-basin MAX same-population sentence-breadth arm,task_missing_or_no_score,
deberta_basin1_breadth,deberta,43022,B,chck_20M,20000000,Entity,,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_20M.json,first-basin MAX same-population sentence-breadth arm,task_missing_or_no_score,
deberta_basin1_breadth,deberta,43022,B,chck_30M,30000000,Entity,,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_30M.json,first-basin MAX same-population sentence-breadth arm,task_missing_or_no_score,
deberta_basin1_breadth,deberta,43022,B,chck_40M,40000000,Entity,,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_40M.json,first-basin MAX same-population sentence-breadth arm,task_missing_or_no_score,
deberta_basin1_breadth,deberta,43022,B,chck_50M,50000000,Entity,,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_50M.json,first-basin MAX same-population sentence-breadth arm,task_missing_or_no_score,
deberta_basin1_breadth,deberta,43022,B,chck_60M,60000000,Entity,,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_60M.json,first-basin MAX same-population sentence-breadth arm,task_missing_or_no_score,
deberta_basin1_breadth,deberta,43022,B,chck_70M,70000000,Entity,,experiments/archive/frontier_consolidation/data/breadth_entity_ewok_eval/eval/per_target/max_breadth_seed43022_chck_70M.json,first-basin MAX same-population sentence-breadth arm,task_missing_or_no_score,
deberta_basin1_clean_maxgeom,deberta,43022,C,chck_40M,40000000,Entity,,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_40M.json,"first-basin MAX-geometry clean control, pending training/scoring",task_missing_or_no_score,
deberta_basin1_clean_maxgeom,deberta,43022,C,chck_40M,40000000,COMPS,,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_40M.json,"first-basin MAX-geometry clean control, pending training/scoring",task_missing_or_no_score,
deberta_basin1_clean_maxgeom,deberta,43022,C,chck_40M,40000000,Reading,,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_40M.json,"first-basin MAX-geometry clean control, pending training/scoring",task_missing_or_no_score,
