contrast,arm_a,arm_b,checkpoint,words,quantity,missing_a,missing_b
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_40M,40000000,EWoK_plus_Entity_sum,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_50M,50000000,Entity,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_50M,50000000,cheap6_no_GlobalPIQA,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_50M,50000000,EWoK_plus_Entity_sum,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_60M,60000000,Entity,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_60M,60000000,cheap6_no_GlobalPIQA,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_60M,60000000,EWoK_plus_Entity_sum,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_70M,70000000,Entity,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_70M,70000000,cheap6_no_GlobalPIQA,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,True,False
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_70M,70000000,EWoK_plus_Entity_sum,True,False
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_40M,40000000,Entity,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_40M,40000000,COMPS,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_40M,40000000,Reading,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_40M,40000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_40M,40000000,cheap5_no_GlobalPIQA_Reading,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_40M,40000000,exEntity5,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_40M,40000000,exEntity4_noReading,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_40M,40000000,EWoK_plus_Entity_sum,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,BLiMP,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,Supplement,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,EWoK,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,Entity,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,COMPS,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,Reading,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,cheap6_no_GlobalPIQA,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,exEntity5,False,True
deberta_basin1_VminusC_maxgeom,deberta_basin1_view,deberta_basin1_clean_maxgeom,chck_50M,50000000,exEntity4_noReading,False,True
