contrast,arm_a,arm_b,checkpoint,words,quantity,delta,score_a,score_b
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_40M,40000000,EWoK_plus_Entity_sum,0.8399999999999963,38.394999999999996,37.555
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,BLiMP,0.6499999999999915,64.99,64.34
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,Supplement,3.4100000000000037,61.24,57.83
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,EWoK,-0.36999999999999744,50.38,50.75
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,Entity,2.4299999999999997,28.04,25.61
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,COMPS,0.13000000000000256,51.03,50.9
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,Reading,0.3249999999999984,8.309999999999999,7.985
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,cheap6_no_GlobalPIQA,1.0958333333333314,43.998333333333335,42.9025
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,1.25,51.136,49.886
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,exEntity5,0.8290000000000006,47.19,46.361
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,exEntity4_noReading,0.9549999999999983,56.91,55.955
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_50M,50000000,EWoK_plus_Entity_sum,1.0300000000000011,39.21,38.18
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,BLiMP,-0.0799999999999983,65.65,65.73
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,Supplement,1.1500000000000057,60.59,59.44
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,EWoK,0.8399999999999963,50.47,49.63
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,Entity,6.5,28.17,21.67
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,COMPS,-0.030000000000001137,51.53,51.56
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,Reading,0.23000000000000043,7.635,7.404999999999999
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,cheap6_no_GlobalPIQA,1.4350000000000023,44.0075,42.5725
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,1.676000000000002,51.282000000000004,49.606
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,exEntity5,0.42200000000000415,47.175000000000004,46.753
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,exEntity4_noReading,0.46999999999999886,57.06,56.59
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_60M,60000000,EWoK_plus_Entity_sum,3.6699999999999946,39.32,35.650000000000006
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,BLiMP,-0.12000000000000455,66.02,66.14
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,Supplement,0.240000000000002,58.78,58.54
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,EWoK,-3.210000000000001,48.47,51.68
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,Entity,2.099999999999998,27.72,25.62
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,COMPS,0.04999999999999716,51.18,51.13
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,Reading,-0.5,7.455,7.955
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,cheap6_no_GlobalPIQA,-0.23999999999999488,43.270833333333336,43.51083333333333
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,-0.1880000000000024,50.434,50.622
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,exEntity5,-0.7079999999999984,46.381,47.089
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,exEntity4_noReading,-0.7600000000000051,56.1125,56.8725
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_70M,70000000,EWoK_plus_Entity_sum,-0.5549999999999997,38.095,38.65
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,BLiMP,0.269999999999996,66.3,66.03
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,Supplement,2.539999999999999,60.37,57.83
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,EWoK,-0.9299999999999997,49.8,50.73
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,Entity,4.5,27.98,23.48
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,COMPS,0.13000000000000256,50.93,50.8
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,Reading,-0.3750000000000009,7.6499999999999995,8.025
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,cheap6_no_GlobalPIQA,1.0225000000000009,43.83833333333333,42.81583333333333
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,cheap5_no_GlobalPIQA_Reading,1.3019999999999996,51.076,49.774
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,exEntity5,0.3269999999999982,47.01,46.683
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,exEntity4_noReading,0.5024999999999977,56.849999999999994,56.3475
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_80M,80000000,EWoK_plus_Entity_sum,1.7850000000000037,38.89,37.105
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,BLiMP,0.1599999999999966,66.86,66.7
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,Supplement,1.6300000000000026,59.54,57.91
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,EWoK,0.47000000000000597,50.45,49.98
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,Entity,3.66,28.19,24.53
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,COMPS,-0.21999999999999886,50.94,51.16
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,Reading,-0.3749999999999982,7.665000000000001,8.04
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,cheap6_no_GlobalPIQA,0.8874999999999957,43.94083333333333,43.053333333333335
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,1.1400000000000006,51.196,50.056
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,exEntity5,0.3330000000000055,47.091,46.757999999999996
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,exEntity4_noReading,0.509999999999998,56.9475,56.4375
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_90M,90000000,EWoK_plus_Entity_sum,2.065000000000005,39.32,37.254999999999995
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,BLiMP,0.21000000000000796,66.84,66.63
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,Supplement,1.9299999999999997,59.55,57.62
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,EWoK,0.269999999999996,50.15,49.88
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,Entity,3.8900000000000006,28.09,24.2
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,COMPS,-0.1599999999999966,50.88,51.04
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,Reading,-0.28500000000000014,7.685,7.97
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,cheap6_no_GlobalPIQA,0.975833333333334,43.865833333333335,42.89
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,1.2280000000000086,51.102000000000004,49.873999999999995
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,exEntity5,0.3930000000000007,47.021,46.628
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,exEntity4_noReading,0.5625000000000071,56.855000000000004,56.2925
deberta_basin1_VminusR,deberta_basin1_view,deberta_basin1_repeat,chck_100M,100000000,EWoK_plus_Entity_sum,2.0799999999999983,39.12,37.04
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,BLiMP,-1.4199999999999946,56.09,57.51
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,Supplement,-1.3900000000000006,52.04,53.43
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,EWoK,-0.9699999999999989,49.57,50.54
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,COMPS,0.18999999999999773,50.14,49.95
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,Reading,-0.3650000000000002,8.125,8.49
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,exEntity5,-0.7910000000000039,43.193,43.984
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_10M,10000000,exEntity4_noReading,-0.8975000000000009,51.96,52.8575
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,BLiMP,-1.9099999999999966,59.99,61.9
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,Supplement,1.2999999999999972,57.9,56.6
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,EWoK,1.2000000000000028,50.2,49.0
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,COMPS,0.2600000000000051,50.27,50.01
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,Reading,-0.48499999999999943,8.305,8.79
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,exEntity5,0.0730000000000004,45.333,45.26
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_20M,20000000,exEntity4_noReading,0.21250000000000568,54.59,54.3775
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,BLiMP,-2.470000000000006,60.3,62.77
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,Supplement,-0.7299999999999969,55.09,55.82
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,EWoK,-3.1600000000000037,49.12,52.28
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,COMPS,-0.3500000000000014,50.3,50.65
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,Reading,0.4150000000000009,9.165000000000001,8.75
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,exEntity5,-1.2590000000000003,44.795,46.054
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_30M,30000000,exEntity4_noReading,-1.677500000000002,53.7025,55.38
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,BLiMP,-1.0700000000000003,63.29,64.36
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,Supplement,2.009999999999998,59.64,57.63
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,EWoK,-0.18999999999999773,49.21,49.4
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,COMPS,0.5499999999999972,51.11,50.56
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,Reading,0.5950000000000006,7.795,7.199999999999999
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_40M,40000000,exEntity5,0.3790000000000049,46.209,45.83
