contrast,quantity,window,n,mean_delta,min_delta,max_delta,checkpoints
deberta_basin1_BminusR,BLiMP,common10_80,8,0.9800000000000004,0.3300000000000054,1.8599999999999994,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_BminusR,BLiMP,late80_100,2,0.7650000000000006,0.7600000000000051,0.769999999999996,chck_90M;chck_100M
deberta_basin1_BminusR,COMPS,common10_80,8,0.2712500000000002,-0.6200000000000045,1.3100000000000023,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_BminusR,COMPS,late80_100,2,1.1649999999999991,1.1400000000000006,1.1899999999999977,chck_90M;chck_100M
deberta_basin1_BminusR,EWoK,common10_80,8,-0.28999999999999915,-2.030000000000001,1.6499999999999986,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_BminusR,EWoK,late80_100,2,-0.7100000000000009,-0.7899999999999991,-0.6300000000000026,chck_90M;chck_100M
deberta_basin1_BminusR,EWoK_plus_Entity_sum,common10_80,1,0.3100000000000023,0.3100000000000023,0.3100000000000023,chck_80M
deberta_basin1_BminusR,EWoK_plus_Entity_sum,late80_100,2,0.0625,-0.10499999999999687,0.22999999999999687,chck_90M;chck_100M
deberta_basin1_BminusR,Entity,common10_80,1,1.3999999999999986,1.3999999999999986,1.3999999999999986,chck_80M
deberta_basin1_BminusR,Entity,late80_100,2,0.8349999999999991,0.5799999999999983,1.0899999999999999,chck_90M;chck_100M
deberta_basin1_BminusR,Reading,common10_80,8,-0.11500000000000032,-0.5350000000000001,0.46999999999999886,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_BminusR,Reading,late80_100,2,-0.2724999999999991,-0.3099999999999987,-0.23499999999999943,chck_90M;chck_100M
deberta_basin1_BminusR,Supplement,common10_80,8,0.31875000000000053,-1.2999999999999972,1.3999999999999986,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_BminusR,Supplement,late80_100,2,0.3350000000000044,0.23000000000000398,0.44000000000000483,chck_90M;chck_100M
deberta_basin1_BminusR,cheap5_no_GlobalPIQA_Reading,common10_80,1,0.7579999999999956,0.7579999999999956,0.7579999999999956,chck_80M
deberta_basin1_BminusR,cheap5_no_GlobalPIQA_Reading,late80_100,2,0.4780000000000051,0.4280000000000044,0.5280000000000058,chck_90M;chck_100M
deberta_basin1_BminusR,cheap6_no_GlobalPIQA,common10_80,1,0.5575000000000045,0.5575000000000045,0.5575000000000045,chck_80M
deberta_basin1_BminusR,cheap6_no_GlobalPIQA,late80_100,2,0.35291666666666544,0.3049999999999997,0.40083333333333115,chck_90M;chck_100M
deberta_basin1_BminusR,exEntity4_noReading,common10_80,8,0.3199999999999994,-0.5125000000000028,0.769999999999996,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_BminusR,exEntity4_noReading,late80_100,2,0.3887500000000017,0.38750000000000284,0.39000000000000057,chck_90M;chck_100M
deberta_basin1_BminusR,exEntity5,common10_80,8,0.23300000000000143,-0.4480000000000004,0.6859999999999999,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_BminusR,exEntity5,late80_100,2,0.25649999999999906,0.25,0.2629999999999981,chck_90M;chck_100M
deberta_basin1_VminusB,BLiMP,common10_80,8,-1.1850000000000014,-2.470000000000006,-0.19000000000001194,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusB,BLiMP,late80_100,2,-0.5799999999999983,-0.6099999999999994,-0.5499999999999972,chck_90M;chck_100M
deberta_basin1_VminusB,COMPS,common10_80,8,-0.17874999999999996,-1.1799999999999997,0.5499999999999972,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusB,COMPS,late80_100,2,-1.3549999999999969,-1.3599999999999994,-1.3499999999999943,chck_90M;chck_100M
deberta_basin1_VminusB,EWoK,common10_80,8,-0.31625000000000014,-3.1600000000000037,1.220000000000006,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusB,EWoK,late80_100,2,1.0800000000000018,0.8999999999999986,1.2600000000000051,chck_90M;chck_100M
deberta_basin1_VminusB,EWoK_plus_Entity_sum,common10_80,1,1.4750000000000014,1.4750000000000014,1.4750000000000014,chck_80M
deberta_basin1_VminusB,EWoK_plus_Entity_sum,late80_100,2,2.0100000000000016,1.8500000000000014,2.1700000000000017,chck_90M;chck_100M
deberta_basin1_VminusB,Entity,common10_80,1,3.1000000000000014,3.1000000000000014,3.1000000000000014,chck_80M
deberta_basin1_VminusB,Entity,late80_100,2,2.9400000000000013,2.8000000000000007,3.080000000000002,chck_90M;chck_100M
deberta_basin1_VminusB,Reading,common10_80,8,0.048125000000000084,-0.48499999999999943,0.5950000000000006,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusB,Reading,late80_100,2,-0.05750000000000011,-0.0649999999999995,-0.05000000000000071,chck_90M;chck_100M
deberta_basin1_VminusB,Supplement,common10_80,8,0.785000000000001,-1.3900000000000006,2.3700000000000045,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusB,Supplement,late80_100,2,1.4449999999999967,1.1899999999999977,1.6999999999999957,chck_90M;chck_100M
deberta_basin1_VminusB,cheap5_no_GlobalPIQA_Reading,common10_80,1,0.544000000000004,0.544000000000004,0.544000000000004,chck_80M
deberta_basin1_VminusB,cheap5_no_GlobalPIQA_Reading,late80_100,2,0.7059999999999995,0.7000000000000028,0.7119999999999962,chck_90M;chck_100M
deberta_basin1_VminusB,cheap6_no_GlobalPIQA,common10_80,1,0.4649999999999963,0.4649999999999963,0.4649999999999963,chck_80M
deberta_basin1_VminusB,cheap6_no_GlobalPIQA,late80_100,2,0.5787499999999994,0.5750000000000028,0.582499999999996,chck_90M;chck_100M
deberta_basin1_VminusB,exEntity4_noReading,common10_80,8,-0.22375000000000078,-1.677500000000002,0.8174999999999955,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusB,exEntity4_noReading,late80_100,2,0.14750000000000085,0.11999999999999744,0.17500000000000426,chck_90M;chck_100M
deberta_basin1_VminusB,exEntity5,common10_80,8,-0.1693750000000005,-1.2590000000000003,0.7339999999999947,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusB,exEntity5,late80_100,2,0.10650000000000404,0.08300000000000551,0.13000000000000256,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,BLiMP,common10_80,5,0.638000000000001,-0.6799999999999997,2.729999999999997,chck_10M;chck_20M;chck_30M;chck_40M;chck_80M
deberta_basin1_VminusC_maxgeom,BLiMP,late80_100,2,-0.06499999999999773,-0.09000000000000341,-0.03999999999999204,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,COMPS,common10_80,4,-0.14499999999999957,-0.490000000000002,0.21000000000000085,chck_10M;chck_20M;chck_30M;chck_80M
deberta_basin1_VminusC_maxgeom,COMPS,late80_100,2,-0.5749999999999993,-0.6999999999999957,-0.45000000000000284,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,EWoK,common10_80,5,0.586,-0.18999999999999773,1.230000000000004,chck_10M;chck_20M;chck_30M;chck_40M;chck_80M
deberta_basin1_VminusC_maxgeom,EWoK,late80_100,2,-0.08999999999999986,-0.21000000000000085,0.030000000000001137,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,EWoK_plus_Entity_sum,common10_80,4,1.0000000000000018,-0.11999999999999034,2.210000000000001,chck_10M;chck_20M;chck_30M;chck_80M
deberta_basin1_VminusC_maxgeom,EWoK_plus_Entity_sum,late80_100,2,1.582499999999996,1.529999999999994,1.634999999999998,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,Entity,common10_80,4,1.4875000000000007,-0.7300000000000004,3.9299999999999997,chck_10M;chck_20M;chck_30M;chck_80M
deberta_basin1_VminusC_maxgeom,Entity,late80_100,2,3.255000000000001,3.240000000000002,3.2699999999999996,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,Reading,common10_80,4,0.4937499999999997,0.17999999999999972,1.040000000000001,chck_10M;chck_20M;chck_30M;chck_80M
deberta_basin1_VminusC_maxgeom,Reading,late80_100,2,0.47500000000000053,0.46999999999999975,0.4800000000000013,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,Supplement,common10_80,5,0.7320000000000008,-2.6399999999999935,2.3500000000000014,chck_10M;chck_20M;chck_30M;chck_40M;chck_80M
deberta_basin1_VminusC_maxgeom,Supplement,late80_100,2,1.7499999999999964,1.6699999999999946,1.8299999999999983,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,cheap5_no_GlobalPIQA_Reading,common10_80,4,0.459500000000002,-0.08599999999999852,1.240000000000002,chck_10M;chck_20M;chck_30M;chck_80M
deberta_basin1_VminusC_maxgeom,cheap5_no_GlobalPIQA_Reading,late80_100,2,0.8550000000000004,0.7980000000000018,0.911999999999999,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,cheap6_no_GlobalPIQA,common10_80,4,0.4652083333333348,0.10166666666667368,1.1199999999999974,chck_10M;chck_20M;chck_30M;chck_80M
deberta_basin1_VminusC_maxgeom,cheap6_no_GlobalPIQA,late80_100,2,0.7916666666666643,0.7433333333333323,0.8399999999999963,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,exEntity4_noReading,common10_80,4,0.20250000000000057,-0.8074999999999974,0.9000000000000057,chck_10M;chck_20M;chck_30M;chck_80M
deberta_basin1_VminusC_maxgeom,exEntity4_noReading,late80_100,2,0.25500000000000256,0.18000000000000682,0.3299999999999983,chck_90M;chck_100M
deberta_basin1_VminusC_maxgeom,exEntity5,common10_80,4,0.2607499999999998,-0.4379999999999953,0.7669999999999959,chck_10M;chck_20M;chck_30M;chck_80M
deberta_basin1_VminusC_maxgeom,exEntity5,late80_100,2,0.2989999999999995,0.23799999999999955,0.35999999999999943,chck_90M;chck_100M
deberta_basin1_VminusR,BLiMP,common10_80,8,-0.20500000000000096,-2.1400000000000006,0.7899999999999991,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusR,BLiMP,late80_100,2,0.18500000000000227,0.1599999999999966,0.21000000000000796,chck_90M;chck_100M
deberta_basin1_VminusR,COMPS,common10_80,8,0.09250000000000025,-0.35999999999999943,0.990000000000002,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusR,COMPS,late80_100,2,-0.18999999999999773,-0.21999999999999886,-0.1599999999999966,chck_90M;chck_100M
deberta_basin1_VminusR,EWoK,common10_80,8,-0.6062499999999993,-3.210000000000001,0.8399999999999963,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusR,EWoK,late80_100,2,0.370000000000001,0.269999999999996,0.47000000000000597,chck_90M;chck_100M
deberta_basin1_VminusR,EWoK_plus_Entity_sum,common10_80,8,0.7281250000000004,-0.884999999999998,3.6699999999999946,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
deberta_basin1_VminusR,EWoK_plus_Entity_sum,late80_100,2,2.0725000000000016,2.065000000000005,2.0799999999999983,chck_90M;chck_100M
