model,cheap_equal_valid_mean,cheap_delta_equal_vs_parent,cheap_entity,cheap_globalpiqa_mean,cheap_reading,common_mean_delta_vs_parent,common_source_original_delta,common_source_altered_delta,common_no_source_delta,common_held_delta,qwen_view_only_delta_nll,qwen_with_source_delta_nll,qwen_source_help_delta,perturb_specific_source_delta,perturb_specific_source_delta_median,perturb_specific_positive_share,perturb_total_source_advantage_delta,perturb_correct_source_nll_delta,perturb_wrong_source_nll_delta,perturb_view_only_nll_delta
unchanged_inherited_wwm_u0080,44.60785714285714,0.04357142857143259,27.34,39.535,8.22,-0.006568280708576936,-0.0049711137859239415,-0.0109965047657135,-0.0037372235740933666,-0.017258800627637887,-0.015663138555981986,-0.008896855732698775,-0.006766282823283211,-0.0025149488711260267,-0.00045118294656276703,0.4904990603466277,-0.005087771543836198,-0.009441847456764005,-0.011956796327890032,-0.014529619000600201
unchanged_correspondence_focus_weighted_u0080,44.545,-0.01928571428570791,27.8,38.565,8.25,-0.010176720517347495,0.008809581960418358,-0.05761663754825433,0.018276894035793488,-0.018394722706741733,-0.08554206061443166,-0.08246471930384652,-0.0030773413105851487,0.006448310309832532,-0.0003705024719238281,0.4959281687199833,-0.0013455579287443885,-0.08362596520072203,-0.0771776548908895,-0.08497152312946642
