domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5104072398190045,780,0.35294117647058826,0.7208872458410351,1082,0.003919300972484052
social-relations,1548,0.5167958656330749,489,0.31589147286821706,0.6537433155080213,748,0.2887193742208183
physical-relations,818,0.511002444987775,279,0.3410757946210269,0.6975,400,0.13200743170455098
material-dynamics,770,0.487012987012987,242,0.3142857142857143,0.6126582278481013,395,-0.041584014892578125
spatial-relations,490,0.45102040816326533,214,0.43673469387755104,0.7955390334572491,269,-0.16582645662128925
physical-interactions,556,0.4892086330935252,211,0.37949640287769787,0.7429577464788732,284,-0.10880265384912491
social-properties,328,0.45121951219512196,122,0.3719512195121951,0.6777777777777778,180,-0.22460389137268066
social-interactions,294,0.5,101,0.3435374149659864,0.6870748299319728,147,-0.09239177778363228
quantitative-properties,314,0.5764331210191083,80,0.25477707006369427,0.6015037593984962,133,0.4678798224776983
material-properties,170,0.5705882352941176,46,0.27058823529411763,0.6301369863013698,73,0.36875894386321306
physical-dynamics,120,0.5416666666666666,23,0.19166666666666668,0.41818181818181815,55,0.5121572250500321
