seed,comparison,arm,checkpoint,probe_set,packet_type,slot_mode,packet_id,delta_full_new_minus_source_T,delta_full_new_minus_source_U,delta_full_new_minus_source_N,delta_full_new_minus_source_T_minus_U,delta_full_new_minus_source_T_minus_N,delta_content_new_minus_source_T,delta_content_new_minus_source_U,delta_content_new_minus_source_N,delta_content_new_minus_source_T_minus_U,delta_content_new_minus_source_T_minus_N,delta_full_source_minus_new_T,delta_full_source_minus_new_U,delta_full_source_minus_new_N,delta_full_source_minus_new_T_minus_U,delta_full_source_minus_new_T_minus_N,delta_content_source_minus_new_T,delta_content_source_minus_new_U,delta_content_source_minus_new_N,delta_content_source_minus_new_T_minus_U,delta_content_source_minus_new_T_minus_N
43022,repeat_minus_clean,repeat,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_007606,-0.9588991170050578,-1.300405125506222,-1.984472732245922,0.3415060085011641,1.025573615240864,-0.9371065093728248,-1.4521163573954254,-2.2684638742357492,0.5150098480226006,1.3313573648629244,0.9588991170050578,1.300405125506222,1.984472732245922,-0.3415060085011641,-1.025573615240864,0.9371065093728248,1.4521163573954254,2.2684638742357492,-0.5150098480226006,-1.3313573648629244
43022,view_minus_clean,view,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_007606,-0.4222224777564412,-0.5626710032112889,-0.6394415459595626,0.14044852545484776,0.21721906820312142,-0.3147025953512639,-0.48971573321614414,-0.5986595571739599,0.17501313786488026,0.28395696182269603,0.4222224777564412,0.5626710032112889,0.6394415459595626,-0.14044852545484776,-0.21721906820312142,0.3147025953512639,0.48971573321614414,0.5986595571739599,-0.17501313786488026,-0.28395696182269603
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_007606,-0.21355798132717663,-0.43953314749524,-0.9688195584341885,0.22597516616806335,0.7552615771070119,-0.03982458868995309,-0.360729489242658,-1.0158856017515063,0.32090490055270493,0.9760610130615532,0.21355798132717663,0.43953314749524,0.9688195584341885,-0.22597516616806335,-0.7552615771070119,0.03982458868995309,0.360729489242658,1.0158856017515063,-0.32090490055270493,-0.9760610130615532
43022,view_split_minus_clean,view_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_007606,0.1547276561148463,0.058479155320673826,-0.5580411295406522,0.09624850079417246,0.7127687856554985,0.44073548319283873,0.3523391481721774,-0.4466267911484465,0.08839633502066135,0.8873622743412852,-0.1547276561148463,-0.058479155320673826,0.5580411295406522,-0.09624850079417246,-0.7127687856554985,-0.44073548319283873,-0.3523391481721774,0.4466267911484465,-0.08839633502066135,-0.8873622743412852
43022,repeat_minus_clean,repeat,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_011096,-1.263270118460059,-0.5620259027307224,-0.5699457350807888,-0.7012442157293366,-0.6933243833792702,-2.1824655113741755,-1.000277518061921,-1.1174299801932648,-1.1821879933122545,-1.0650355311809108,1.263270118460059,0.5620259027307224,0.5699457350807888,0.7012442157293366,0.6933243833792702,2.1824655113741755,1.000277518061921,1.1174299801932648,1.1821879933122545,1.0650355311809108
43022,view_minus_clean,view,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_011096,-0.8080232514689367,-0.7503452432652313,-0.8587059741218894,-0.05767800820370539,0.050682722652952705,-1.343309993389994,-1.1550154378637671,-1.3127939403057098,-0.18829455552622676,-0.030516053084284067,0.8080232514689367,0.7503452432652313,0.8587059741218894,0.05767800820370539,-0.050682722652952705,1.343309993389994,1.1550154378637671,1.3127939403057098,0.18829455552622676,0.030516053084284067
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_011096,0.15294429386655484,0.3058330712839963,0.49859906168033596,-0.15288877741744145,-0.3456547678137811,0.07938286941498518,0.270241686841473,0.4585592036601156,-0.1908588174264878,-0.3791763342451304,-0.15294429386655484,-0.3058330712839963,-0.49859906168033596,0.15288877741744145,0.3456547678137811,-0.07938286941498518,-0.270241686841473,-0.4585592036601156,0.1908588174264878,0.3791763342451304
43022,view_split_minus_clean,view_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_011096,0.028767559677362442,0.12263331792006937,0.2561801011984537,-0.09386575824270693,-0.22741254152109125,-0.326072558760643,-0.09410684579052031,0.22914194664917886,-0.2319657129701227,-0.5552145054098219,-0.028767559677362442,-0.12263331792006937,-0.2561801011984537,0.09386575824270693,0.22741254152109125,0.326072558760643,0.09410684579052031,-0.22914194664917886,0.2319657129701227,0.5552145054098219
43022,repeat_minus_clean,repeat,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_017880,1.3227457054454135,1.6253045232297154,1.8429197694786126,-0.30255881778430194,-0.5201740640331991,1.3137785321567206,1.6154963989742104,1.8295290055684745,-0.3017178668174907,-0.5157504734117531,-1.3227457054454135,-1.6253045232297154,-1.8429197694786126,0.30255881778430194,0.5201740640331991,-1.3137785321567206,-1.6154963989742104,-1.8295290055684745,0.3017178668174907,0.5157504734117531
43022,view_minus_clean,view,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_017880,2.06312274064112,2.059938957085251,1.971620969401556,0.003183783555869013,0.09150177123956382,2.054491230007261,2.053969887364655,1.9587203084491183,0.0005213426426049494,0.09577092155814348,-2.06312274064112,-2.059938957085251,-1.971620969401556,-0.003183783555869013,-0.09150177123956382,-2.054491230007261,-2.053969887364655,-1.9587203084491183,-0.0005213426426049494,-0.09577092155814348
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_017880,-1.0004229993501212,0.8275622639048379,0.13638180067937355,-1.8279852632549591,-1.1368048000294948,-0.9781890196725729,0.8521011905744675,0.15709910728037357,-1.8302902102470409,-1.1352881269529451,1.0004229993501212,-0.8275622639048379,-0.13638180067937355,1.8279852632549591,1.1368048000294948,0.9781890196725729,-0.8521011905744675,-0.15709910728037357,1.8302902102470409,1.1352881269529451
43022,view_split_minus_clean,view_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_017880,-0.9771719734708313,1.235506914803409,0.6757788079994498,-2.2126788882742403,-1.652950781470281,-0.9727041853591802,1.241508264653385,0.6790639892220494,-2.2142124500125657,-1.6517681745812283,0.9771719734708313,-1.235506914803409,-0.6757788079994498,2.2126788882742403,1.652950781470281,0.9727041853591802,-1.241508264653385,-0.6790639892220494,2.2142124500125657,1.6517681745812283
43022,repeat_minus_clean,repeat,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw_002632,-0.23610011520878682,-0.13861615435619443,-0.15942395598727419,-0.0974839608525924,-0.07667615922151264,-0.2276863984297961,-0.1060571952257306,-0.1392284427614262,-0.1216292032040655,-0.08845795566836989,0.23610011520878682,0.13861615435619443,0.15942395598727419,0.0974839608525924,0.07667615922151264,0.2276863984297961,0.1060571952257306,0.1392284427614262,0.1216292032040655,0.08845795566836989
43022,view_minus_clean,view,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw_002632,-0.3482097264254532,-0.19657132292465704,-0.30093864262286973,-0.1516384035007962,-0.04727108380258346,-0.3476635109788428,-0.16167204252754658,-0.29054150008596485,-0.18599146845129622,-0.05712201089287794,0.3482097264254532,0.19657132292465704,0.30093864262286973,0.1516384035007962,0.04727108380258346,0.3476635109788428,0.16167204252754658,0.29054150008596485,0.18599146845129622,0.05712201089287794
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw_002632,-0.3527218660630752,-0.36928082893303193,-0.29150618143446216,0.016558962869956756,-0.06121568462861307,-0.32669515232555574,-0.3507749230290453,-0.26155306251409155,0.024079770703489545,-0.06514208981146419,0.3527218660630752,0.36928082893303193,0.29150618143446216,-0.016558962869956756,0.06121568462861307,0.32669515232555574,0.3507749230290453,0.26155306251409155,-0.024079770703489545,0.06514208981146419
43022,view_split_minus_clean,view_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw_002632,-0.45516606697596484,-0.38620145618416635,-0.5050419886147471,-0.06896461079179847,0.04987592163878227,-0.45448525800990563,-0.38084052735939616,-0.5170305395343651,-0.07364473065050947,0.06254528152445948,0.45516606697596484,0.38620145618416635,0.5050419886147471,0.06896461079179847,-0.04987592163878227,0.45448525800990563,0.38084052735939616,0.5170305395343651,0.07364473065050947,-0.06254528152445948
43022,repeat_minus_clean,repeat,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw_023936,-0.9221982168262015,-1.2325958131945556,-1.4124383007164125,0.31039759636835385,0.49024008389021123,-0.5632609146647156,-1.0076903779990962,-1.1535907108336696,0.44442946333438105,0.5903297961689535,0.9221982168262015,1.2325958131945556,1.4124383007164125,-0.31039759636835385,-0.49024008389021123,0.5632609146647156,1.0076903779990962,1.1535907108336696,-0.44442946333438105,-0.5903297961689535
43022,view_minus_clean,view,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw_023936,-0.3861054412169418,-1.0491939628641904,-0.6921424587837768,0.6630885216472482,0.306037017566835,0.13922069772961576,-0.7872578334994609,-0.23832213776186073,0.9264785312290771,0.37754283549147694,0.3861054412169418,1.0491939628641904,0.6921424587837768,-0.6630885216472482,-0.306037017566835,-0.13922069772961576,0.7872578334994609,0.23832213776186073,-0.9264785312290771,-0.37754283549147694
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw_023936,-0.48229901234970063,-0.5087421757544015,-0.7761968294182777,0.026443163404699987,0.29389781706857665,-0.13343856674619037,-0.3043546328321085,-0.476812673546374,0.17091606608591814,0.34337410680018365,0.48229901234970063,0.5087421757544015,0.7761968294182777,-0.026443163404699987,-0.29389781706857665,0.13343856674619037,0.3043546328321085,0.476812673546374,-0.17091606608591814,-0.34337410680018365
43022,view_split_minus_clean,view_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw_023936,-0.6483260117888499,-1.0869943244842353,-1.0202893376858402,0.438668312695385,0.3719633258969903,-0.18105795821174953,-0.8228226520121087,-0.6174005767330533,0.6417646938003587,0.4363426185213033,0.6483260117888499,1.0869943244842353,1.0202893376858402,-0.438668312695385,-0.3719633258969903,0.18105795821174953,0.8228226520121087,0.6174005767330533,-0.6417646938003587,-0.4363426185213033
43022,repeat_minus_clean,repeat,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_014674,-0.01535039073270228,-0.33943407036648754,-0.2671595729447702,0.3240836796337847,0.2518091822120674,-0.04013354835721354,-0.641737637686588,-0.4774850541393141,0.601604089329375,0.43735150578210114,0.01535039073270228,0.33943407036648754,0.2671595729447702,-0.3240836796337847,-0.2518091822120674,0.04013354835721354,0.641737637686588,0.4774850541393141,-0.601604089329375,-0.43735150578210114
43022,view_minus_clean,view,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_014674,-0.01572449545783456,-0.10273448464383073,-0.09563978389131922,0.08700998918599545,0.07991528843348394,-0.049891823825115963,-0.4517345977171008,-0.3820267136297417,0.4018427738919854,0.33213488980462635,0.01572449545783456,0.10273448464383073,0.09563978389131922,-0.08700998918599545,-0.07991528843348394,0.049891823825115963,0.4517345977171008,0.3820267136297417,-0.4018427738919854,-0.33213488980462635
43022,repeat_split_minus_clean,repeat_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_014674,0.10814228585481438,0.7357061909951472,0.5686955976235266,-0.6275639051403332,-0.46055331176871217,0.12243290653540972,0.7986218216607259,0.5114195886112389,-0.6761889151253158,-0.38898668207582876,-0.10814228585481438,-0.7357061909951472,-0.5686955976235266,0.6275639051403332,0.46055331176871217,-0.12243290653540972,-0.7986218216607259,-0.5114195886112389,0.6761889151253158,0.38898668207582876
43022,view_split_minus_clean,view_split,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s0_014674,-0.05355767759675574,0.210462208839858,0.16853360146568708,-0.2640198864366141,-0.2220912790624432,-0.09458195218550308,0.12520567114864,0.1421267460543838,-0.2197876233341427,-0.2367086982398865,0.05355767759675574,-0.210462208839858,-0.16853360146568708,0.2640198864366141,0.2220912790624432,0.09458195218550308,-0.12520567114864,-0.1421267460543838,0.2197876233341427,0.2367086982398865
43022,repeat_minus_clean,repeat,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s1_018012,-0.20058948527069087,-0.1477777925727426,-0.1795337022536172,-0.052811692697948054,-0.021055783017073892,0.09597272776799004,-0.38267035050583686,-0.27562404171164623,0.47864307827382735,0.3715967694796367,0.20058948527069087,0.1477777925727426,0.1795337022536172,0.052811692697948054,0.021055783017073892,-0.09597272776799004,0.38267035050583686,0.27562404171164623,-0.47864307827382735,-0.3715967694796367
43022,view_minus_clean,view,final,extended_nontrain,UNCHANGED_DISTRACTOR_USE,template,rw2s1_018012,0.8215249044333837,0.34986847268195254,-0.1150355854473828,0.47165643175143135,0.9365604898807662,0.3789995420291752,-0.23522598426123764,-0.5859681170965949,0.6142255262904133,0.9649676591257705,-0.8215249044333837,-0.34986847268195254,0.1150355854473828,-0.47165643175143135,-0.9365604898807662,-0.3789995420291752,0.23522598426123764,0.5859681170965949,-0.6142255262904133,-0.9649676591257705
