ContextDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
antonym,3374,0.48043864848844103,1168,0.34617664493183165,0.6662863662293211,1753,-0.03461573272943497
variable swap,2564,0.5019500780031201,996,0.38845553822152884,0.7799530148786218,1277,0.018609807826578617
material,840,0.4714285714285714,300,0.35714285714285715,0.6756756756756757,444,-0.14948145113885403
other,490,0.5102040816326531,149,0.3040816326530612,0.6208333333333333,240,0.0979977399110794
negation,190,0.5684210526315789,42,0.22105263157894736,0.5121951219512195,82,0.3869607150554657
number,80,0.575,22,0.275,0.6470588235294118,34,0.24217954277992249
variable_swap,30,0.5666666666666667,10,0.3333333333333333,0.7692307692307693,13,0.8217528015375137
game,20,0.5,8,0.4,0.8,10,-1.314506120979786
active-passive,30,0.5333333333333333,7,0.23333333333333334,0.5,14,0.26438039541244507
