domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.49411764705882355,814,0.36832579185520364,0.7280858676207513,1118,-0.015746681950986385
social-relations,1548,0.49935400516795864,513,0.3313953488372093,0.6619354838709678,775,0.11628327704966068
physical-relations,818,0.4963325183374083,306,0.3740831295843521,0.7427184466019418,412,-0.07121394388377666
material-dynamics,770,0.4701298701298701,283,0.36753246753246754,0.6936274509803921,408,-0.166459321975708
spatial-relations,490,0.47959183673469385,200,0.40816326530612246,0.7843137254901961,255,0.09631802141666412
physical-interactions,556,0.4910071942446043,197,0.35431654676258995,0.696113074204947,283,-0.13408753089606762
social-properties,328,0.4329268292682927,136,0.4146341463414634,0.7311827956989247,186,-0.38001332711428404
quantitative-properties,314,0.5191082802547771,86,0.27388535031847133,0.5695364238410596,151,0.15213978476822376
physical-dynamics,120,0.275,73,0.6083333333333333,0.8390804597701149,87,-0.6752671375870705
social-interactions,294,0.5850340136054422,64,0.21768707482993196,0.5245901639344263,122,0.9268693756312132
material-properties,170,0.5882352941176471,30,0.17647058823529413,0.42857142857142855,70,0.3552042245864868
