domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5194570135746607,754,0.3411764705882353,0.7099811676082862,1062,0.005268099717795849
social-relations,1548,0.5264857881136951,488,0.3152454780361757,0.6657571623465212,733,0.16952550411224365
physical-relations,818,0.5244498777506112,275,0.33618581907090467,0.7069408740359897,389,0.26161713153123856
material-dynamics,770,0.4987012987012987,210,0.2727272727272727,0.5440414507772021,386,0.039098381996154785
physical-interactions,556,0.4784172661870504,208,0.37410071942446044,0.7172413793103448,290,-0.1353241177275777
spatial-relations,490,0.4959183673469388,193,0.39387755102040817,0.7813765182186235,247,-0.11550210323184729
social-properties,328,0.4847560975609756,119,0.3628048780487805,0.7041420118343196,169,-0.32164089381694794
social-interactions,294,0.5,101,0.3435374149659864,0.6870748299319728,147,-0.237771175801754
quantitative-properties,314,0.5668789808917197,78,0.2484076433121019,0.5735294117647058,136,0.31890853866934776
material-properties,170,0.5235294117647059,41,0.2411764705882353,0.5061728395061729,81,0.2600400373339653
physical-dynamics,120,0.475,32,0.26666666666666666,0.5079365079365079,63,0.2388361869379878
