family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_margin_full_a_minus_b,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b
entity_ablation,RBT,43022,ALL,CminusR,1221,5,-0.1660926777842004,-0.04760252533146439,0.11553751975175887,0.08524081238364704
entity_ablation,RBT,43022,ALL,RminusC,1221,5,0.1660926777842004,0.04760252533146439,-0.11553751975175887,-0.08524081238364704
entity_ablation,RBT,43022,ALL,RminusV,1221,5,0.11829485887391561,0.023449189774234408,-0.03349299401557417,0.0009634420190259785
entity_ablation,RBT,43022,ALL,VminusC,1221,5,0.04779781891028478,0.024153335557229986,-0.0820445257361847,-0.08620425440267303
entity_ablation,RBT,43022,ALL,VminusR,1221,5,-0.11829485887391561,-0.023449189774234408,0.03349299401557417,-0.0009634420190259785
entity_ablation,RBT,43022,rel_ge2,CminusR,1205,5,-0.17057155842602995,-0.04892188630163422,0.11577284797098626,0.0850738606710157
entity_ablation,RBT,43022,rel_ge2,RminusC,1205,5,0.17057155842602995,0.04892188630163422,-0.11577284797098626,-0.0850738606710157
entity_ablation,RBT,43022,rel_ge2,RminusV,1205,5,0.12734160591457888,0.0228456602056986,-0.034114792435990325,0.0007991564422227482
entity_ablation,RBT,43022,rel_ge2,VminusC,1205,5,0.043229952511451064,0.02607622609593562,-0.08165805553499594,-0.08587301711323846
entity_ablation,RBT,43022,rel_ge2,VminusR,1205,5,-0.12734160591457888,-0.0228456602056986,0.034114792435990325,-0.0007991564422227482
entity_ablation,RBT,43022,rel_ge3,CminusR,716,5,-0.2137670840963971,-0.0702820983678935,0.11116634111164668,0.11395904598289361
entity_ablation,RBT,43022,rel_ge3,RminusC,716,5,0.2137670840963971,0.0702820983678935,-0.11116634111164668,-0.11395904598289361
entity_ablation,RBT,43022,rel_ge3,RminusV,716,5,0.13619493892072965,0.02016914117269675,-0.04557181566787165,-0.018343858379225496
entity_ablation,RBT,43022,rel_ge3,VminusC,716,5,0.07757214517566745,0.05011295719519674,-0.06559452544377503,-0.09561518760366812
entity_ablation,RBT,43022,rel_ge3,VminusR,716,5,-0.13619493892072965,-0.02016914117269675,0.04557181566787165,0.018343858379225496
entity_ablation,RBT,43022,rel_updates_1,CminusR,16,5,0.17122302055358887,0.05176184773445129,0.09781436324119568,0.09781436324119568
entity_ablation,RBT,43022,rel_updates_1,RminusC,16,5,-0.17122302055358887,-0.05176184773445129,-0.09781436324119568,-0.09781436324119568
entity_ablation,RBT,43022,rel_updates_1,RminusV,16,5,-0.5630382776260376,0.0689025104045868,0.013336199522018432,0.013336199522018432
entity_ablation,RBT,43022,rel_updates_1,VminusC,16,5,0.39181525707244874,-0.12066435813903809,-0.11115056276321411,-0.11115056276321411
entity_ablation,RBT,43022,rel_updates_1,VminusR,16,5,0.5630382776260376,-0.0689025104045868,-0.013336199522018432,-0.013336199522018432
