family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
rewrite,RBT,43022,ALL,CminusR,5892,5,0.32140402642950583
rewrite,RBT,43022,ALL,RminusC,5892,5,-0.32140402642950583
rewrite,RBT,43022,ALL,RminusV,5892,5,-0.4271915480555196
rewrite,RBT,43022,ALL,VminusC,5892,5,0.10578752162601379
rewrite,RBT,43022,ALL,VminusR,5892,5,0.4271915480555196
rewrite,RBT,43022,token_nonoverlap,CminusR,2732,5,0.3982749963836474
rewrite,RBT,43022,token_nonoverlap,RminusC,2732,5,-0.3982749963836474
rewrite,RBT,43022,token_nonoverlap,RminusV,2732,5,-0.46486703966189263
rewrite,RBT,43022,token_nonoverlap,VminusC,2732,5,0.06659204327824526
rewrite,RBT,43022,token_nonoverlap,VminusR,2732,5,0.46486703966189263
rewrite,RBT,43022,token_overlap,CminusR,3160,5,0.2549446941780139
rewrite,RBT,43022,token_overlap,RminusC,3160,5,-0.2549446941780139
rewrite,RBT,43022,token_overlap,RminusV,3160,5,-0.3946189394895035
rewrite,RBT,43022,token_overlap,VminusC,3160,5,0.13967424531148956
rewrite,RBT,43022,token_overlap,VminusR,3160,5,0.3946189394895035
