family,arch,arm,checkpoint,seed,role,group,n,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates,mean_margin_no_all_relevant_updates,mean_margin_no_initial_qbox,mean_margin_no_last_relevant_update,mean_relevant_updates,mean_total_ops
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,ALL,1221,0.15293151926154686,0.0762747505665997,-0.2609095078428489,-0.18912105400185425,-0.03618953474030741,0.22920626982814654,-0.10797798858130203,2.994266994266994,9.25962325962326
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,rel_ge2,1205,0.14956844782928214,0.07603944505398699,-0.25992809519233545,-0.1871864336654853,-0.03761798583620317,0.22560789288326913,-0.11035964736305331,3.020746887966805,9.269709543568466
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,rel_ge3,716,0.13753083281676862,0.07218431061206583,-0.2747965571600632,-0.24022196108402485,-0.10269112826725624,0.20971514342883446,-0.13726572434329454,3.717877094972067,9.886871508379889
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,rel_updates_1,16,0.40621283650398254,0.09399619698524475,-0.3348221480846405,-0.3348221480846405,0.07139068841934204,0.5002090334892273,0.07139068841934204,1.0,8.5
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,rel_updates_2,489,0.16719407635476205,0.08168418178285314,-0.23815750466290184,-0.10953114198516971,0.057662934369592335,0.2488782581376152,-0.07096342830813979,2.0,8.366053169734151
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,rel_updates_3,296,-0.05457174858531436,0.07348703975613052,-0.29345584398991353,-0.23622663198290644,-0.2907983805682208,0.018915291170816164,-0.3480275925752279,3.0,9.54054054054054
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,rel_updates_4,326,0.3596125413303726,0.06750161698990804,-0.2709538951241897,-0.2201489996325019,0.13946354169787073,0.42711415832028066,0.08865864620618294,4.0,10.13803680981595
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,rel_updates_5,94,-0.027748665911086063,0.08432207969909018,-0.22936633292664874,-0.3224177360534668,-0.35016640196455284,0.05657341378800412,-0.2571149988377348,5.0,10.106382978723405
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,type_ambiref,399,0.22625089647775903,0.05984125191107728,-0.32772223692490043,-0.23439694227730123,-0.00814604579954219,0.28609214838883634,-0.10147134044714141,3.0526315789473686,9.230576441102757
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,type_move_contents,381,-0.2274564761189338,0.05698238895946913,-0.16656097808847903,-0.12750430651537076,-0.3549607826343046,-0.1704740871594647,-0.39401745420741285,2.900262467191601,9.401574803149606
entity_ablation,RBT,RBT_C_43022,chck_100M,43022,C,type_regular,441,0.4152294664966817,0.10781070461619198,-0.28197189091014213,-0.20139067162191515,0.2138387948747665,0.5230401711128737,0.13325757558653956,3.0226757369614514,9.16326530612245
entity_ablation,RBT,RBT_C_43022,chck_60M,43022,C,ALL,1221,0.03877608176628944,0.09336866188205528,-0.23412897858240875,-0.14095895393865213,-0.10218287217236269,0.13214474364834472,-0.1953528968161193,2.994266994266994,9.25962325962326
entity_ablation,RBT,RBT_C_43022,chck_60M,43022,C,rel_ge2,1205,0.03565268496754753,0.09285194705630734,-0.23597205387606165,-0.14156491687189,-0.10591223190434246,0.12850463202385487,-0.20031936890851412,3.020746887966805,9.269709543568466
entity_ablation,RBT,RBT_C_43022,chck_60M,43022,C,rel_ge3,716,-0.008418955949431692,0.12455297315586879,-0.2264925870815469,-0.1380619193588555,-0.1464808753082872,0.1161340172064371,-0.23491154303097858,3.717877094972067,9.886871508379889
entity_ablation,RBT,RBT_C_43022,chck_60M,43022,C,rel_updates_1,16,0.2740069031715393,0.1322837471961975,-0.0953223705291748,-0.0953223705291748,0.1786845326423645,0.4062906503677368,0.1786845326423645,1.0,8.5
entity_ablation,RBT,RBT_C_43022,chck_60M,43022,C,rel_updates_2,489,0.10018294037972979,0.04643490270602923,-0.2498520093461487,-0.14669405024475846,-0.046511109865028676,0.146617843085759,-0.14966906896641893,2.0,8.366053169734151
entity_ablation,RBT,RBT_C_43022,chck_60M,43022,C,rel_updates_3,296,-0.26713913759669744,0.12486207726839427,-0.25805713357152166,-0.08627479946291125,-0.35341393705960866,-0.14227706032830315,-0.5251962711682191,3.0,9.54054054054054
entity_ablation,RBT,RBT_C_43022,chck_60M,43022,C,rel_updates_4,326,0.17944330159871857,0.12304588037034485,-0.20034367321459062,-0.17999553314747255,-0.0005522315487539841,0.30248918196906344,-0.020900371615872063,4.0,10.13803680981595
