family,arch,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
rewrite,RBT,RBT_C_43022,chck_100M,43022,C,ALL,5892,1.028249667723488,8.223354181316502,9.25160384903999,1.589403342731502,0.020706311969489223
rewrite,RBT,RBT_C_43022,chck_100M,43022,C,token_nonoverlap,2732,0.683624739440957,8.665310016433718,9.348934755874675,1.5610885748953782,0.029866697120326788
rewrite,RBT,RBT_C_43022,chck_100M,43022,C,token_overlap,3160,1.3261975487576256,7.841258187158198,9.167455735915825,1.553020595285916,0.027626996573603832
rewrite,RBT,RBT_C_43022,chck_60M,43022,C,ALL,5892,0.6206980619152144,9.278045553053955,9.898743614969169,1.1507980567133078,0.014992282283259991
rewrite,RBT,RBT_C_43022,chck_60M,43022,C,token_nonoverlap,2732,0.41004841777974654,9.534656015444291,9.944704433224038,1.166390258138597,0.022315341438111494
rewrite,RBT,RBT_C_43022,chck_60M,43022,C,token_overlap,3160,0.8028166783006886,9.056191191265855,9.859007869566543,1.1052462414560622,0.019661448288825573
rewrite,RBT,RBT_C_43022,chck_70M,43022,C,ALL,5892,0.7835391384966099,8.785812805480724,9.569351943977335,1.3725568102664982,0.017881294662676593
rewrite,RBT,RBT_C_43022,chck_70M,43022,C,token_nonoverlap,2732,0.5488779863798077,9.135934271103816,9.684812257483623,1.409663792233133,0.026969642979380502
rewrite,RBT,RBT_C_43022,chck_70M,43022,C,token_overlap,3160,0.9864170712760733,8.483112854821773,9.469529926097845,1.3060966564920784,0.02323441682823207
rewrite,RBT,RBT_C_43022,chck_80M,43022,C,ALL,5892,0.9734338125857623,8.35073340424695,9.324167216832713,1.5467470352126964,0.02015059726372239
rewrite,RBT,RBT_C_43022,chck_80M,43022,C,token_nonoverlap,2732,0.6633870084476855,8.760910523692651,9.424297532140336,1.5362224480501838,0.029390959169909196
rewrite,RBT,RBT_C_43022,chck_80M,43022,C,token_overlap,3160,1.2414869356570364,7.99611191996668,9.237598855623716,1.5051635005418904,0.02677565706366487
rewrite,RBT,RBT_C_43022,chck_90M,43022,C,ALL,5892,1.02334441295689,8.255589062093838,9.278933475050728,1.585424310071982,0.020654474220461207
rewrite,RBT,RBT_C_43022,chck_90M,43022,C,token_nonoverlap,2732,0.6792295674301171,8.703494532554688,9.382724099984804,1.5598685768790255,0.029843356156958167
rewrite,RBT,RBT_C_43022,chck_90M,43022,C,token_overlap,3160,1.320851298393328,7.8683492692776875,9.189200567671016,1.5466663113273849,0.027513958934770894
rewrite,RBT,RBT_R_43022,chck_100M,43022,R,ALL,5892,0.5589348452882709,8.99348386614321,9.552418711431482,1.1051898572902745,0.014398111137251812
