family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_margin_full_a_minus_b,delta_mean_effect_no_initial_qbox_a_minus_b,delta_mean_effect_no_last_relevant_update_a_minus_b,delta_mean_effect_no_all_relevant_updates_a_minus_b,mean_effect_no_all_relevant_updates_a,mean_effect_no_all_relevant_updates_b,mean_effect_no_initial_qbox_a,mean_effect_no_initial_qbox_b,mean_effect_no_last_relevant_update_a,mean_effect_no_last_relevant_update_b,mean_margin_full_a,mean_margin_full_b
entity_ablation,RBT,RBT_R_43022,RBT_C_43022,chck_100M,43022,ALL,RminusC,1221,0.11309177801318093,0.09568853714151719,-0.09189398566003121,-0.06680100926798355,-0.2559220632698378,-0.18912105400185425,0.1719632877081169,0.0762747505665997,-0.3528034935028801,-0.2609095078428489,0.2660232972747278,0.15293151926154686
entity_ablation,RBT,RBT_R_43022,RBT_V_43022,chck_100M,43022,ALL,RminusV,1221,0.13425849286578503,0.06213607180811752,-0.011205334432978387,0.021547740058367792,-0.2559220632698378,-0.2774698033282056,0.1719632877081169,0.10982721589999937,-0.3528034935028801,-0.3415981590699017,0.2660232972747278,0.13176480440894275
entity_ablation,RBT,RBT_V_43022,RBT_C_43022,chck_100M,43022,ALL,VminusC,1221,-0.0211667148526041,0.03355246533339967,-0.08068865122705282,-0.08834874932635134,-0.2774698033282056,-0.18912105400185425,0.10982721589999937,0.0762747505665997,-0.3415981590699017,-0.2609095078428489,0.13176480440894275,0.15293151926154686
entity_ablation,RBT,RBT_V_43022,RBT_R_43022,chck_100M,43022,ALL,VminusR,1221,-0.13425849286578503,-0.06213607180811752,0.011205334432978387,-0.021547740058367792,-0.2774698033282056,-0.2559220632698378,0.10982721589999937,0.1719632877081169,-0.3415981590699017,-0.3528034935028801,0.13176480440894275,0.2660232972747278
entity_ablation,RBT,RBT_C_43022,RBT_R_43022,chck_100M,43022,ALL,CminusR,1221,-0.11309177801318093,-0.09568853714151719,0.09189398566003121,0.06680100926798355,-0.18912105400185425,-0.2559220632698378,0.0762747505665997,0.1719632877081169,-0.2609095078428489,-0.3528034935028801,0.15293151926154686,0.2660232972747278
entity_ablation,RBT,RBT_R_43022,RBT_C_43022,chck_100M,43022,rel_ge2,RminusC,1205,0.1175218149834154,0.0976807459756052,-0.0913039139197575,-0.06587775277893573,-0.253064186444421,-0.1871864336654853,0.17372019102959219,0.07603944505398699,-0.35123200911209296,-0.25992809519233545,0.26709026281269754,0.14956844782928214
entity_ablation,RBT,RBT_R_43022,RBT_V_43022,chck_100M,43022,rel_ge2,RminusV,1205,0.14329641152219652,0.06164492304394355,-0.010679805526100261,0.02250816456015181,-0.253064186444421,-0.27557235100457284,0.17372019102959219,0.11207526798564864,-0.35123200911209296,-0.3405522035859927,0.26709026281269754,0.12379385129050101
entity_ablation,RBT,RBT_V_43022,RBT_C_43022,chck_100M,43022,rel_ge2,VminusC,1205,-0.025774596538781128,0.036035822931661646,-0.08062410839365725,-0.08838591733908754,-0.27557235100457284,-0.1871864336654853,0.11207526798564864,0.07603944505398699,-0.3405522035859927,-0.25992809519233545,0.12379385129050101,0.14956844782928214
entity_ablation,RBT,RBT_V_43022,RBT_R_43022,chck_100M,43022,rel_ge2,VminusR,1205,-0.14329641152219652,-0.06164492304394355,0.010679805526100261,-0.02250816456015181,-0.27557235100457284,-0.253064186444421,0.11207526798564864,0.17372019102959219,-0.3405522035859927,-0.35123200911209296,0.12379385129050101,0.26709026281269754
entity_ablation,RBT,RBT_C_43022,RBT_R_43022,chck_100M,43022,rel_ge2,CminusR,1205,-0.1175218149834154,-0.0976807459756052,0.0913039139197575,0.06587775277893573,-0.1871864336654853,-0.253064186444421,0.07603944505398699,0.17372019102959219,-0.25992809519233545,-0.35123200911209296,0.14956844782928214,0.26709026281269754
entity_ablation,RBT,RBT_R_43022,RBT_C_43022,chck_100M,43022,rel_ge3,RminusC,716,0.1399269898177525,0.13863051903314433,-0.07874639607008604,-0.08713695739900598,-0.32735891848303084,-0.24022196108402485,0.21081482964521014,0.07218431061206583,-0.3535429532301492,-0.2747965571600632,0.2774578226345211,0.13753083281676862
entity_ablation,RBT,RBT_R_43022,RBT_V_43022,chck_100M,43022,rel_ge3,RminusV,716,0.17556731327951952,0.0657875747654025,-0.021378896422892257,0.000824443121862195,-0.32735891848303084,-0.32818336160489303,0.21081482964521014,0.14502725487980764,-0.3535429532301492,-0.33216405680725697,0.2774578226345211,0.10189050935500162
entity_ablation,RBT,RBT_V_43022,RBT_C_43022,chck_100M,43022,rel_ge3,VminusC,716,-0.035640323461767,0.07284294426774181,-0.05736749964719379,-0.08796140052086818,-0.32818336160489303,-0.24022196108402485,0.14502725487980764,0.07218431061206583,-0.33216405680725697,-0.2747965571600632,0.10189050935500162,0.13753083281676862
entity_ablation,RBT,RBT_V_43022,RBT_R_43022,chck_100M,43022,rel_ge3,VminusR,716,-0.17556731327951952,-0.0657875747654025,0.021378896422892257,-0.000824443121862195,-0.32818336160489303,-0.32735891848303084,0.14502725487980764,0.21081482964521014,-0.33216405680725697,-0.3535429532301492,0.10189050935500162,0.2774578226345211
entity_ablation,RBT,RBT_C_43022,RBT_R_43022,chck_100M,43022,rel_ge3,CminusR,716,-0.1399269898177525,-0.13863051903314433,0.07874639607008604,0.08713695739900598,-0.24022196108402485,-0.32735891848303084,0.07218431061206583,0.21081482964521014,-0.2747965571600632,-0.3535429532301492,0.13753083281676862,0.2774578226345211
entity_ablation,RBT,RBT_R_43022,RBT_C_43022,chck_100M,43022,rel_updates_1,RminusC,16,-0.22054538130760193,-0.054349690675735474,-0.13633376359939575,-0.13633376359939575,-0.47115591168403625,-0.3348221480846405,0.03964650630950928,0.09399619698524475,-0.47115591168403625,-0.3348221480846405,0.18566745519638062,0.40621283650398254
