seed,arm,checkpoint,group,n,accuracy_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words,mean_reported_numops,stale_available_not_gold_n,stale_pick_pct_among_all_wrong,stale_pick_pct_among_wrong_stale_available_not_gold
43222,V,chck_100M,ALL,6780,25.84070796460177,1.9960176991150442,7.359587020648967,120.59041297935103,2.0343657817109144,1221,7.219570405727923,39.67213114754098
43222,V,chck_100M,rel0_total_ops_0,304,40.46052631578947,0.0,0.0,61.473684210526315,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_1,257,39.688715953307394,0.0,1.0,69.715953307393,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_10,36,27.77777777777778,0.0,10.0,143.72222222222223,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_11,32,28.125,0.0,11.0,148.96875,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_12,30,30.0,0.0,12.0,157.36666666666667,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_2,212,36.79245283018868,0.0,2.0,77.93867924528301,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_3,172,36.627906976744185,0.0,3.0,85.88372093023256,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_4,131,38.93129770992366,0.0,4.0,93.36641221374046,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_5,104,35.57692307692308,0.0,5.0,100.5673076923077,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_6,88,37.5,0.0,6.0,107.64772727272727,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_7,66,31.818181818181817,0.0,7.0,117.81818181818181,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_8,63,36.507936507936506,0.0,8.0,127.47619047619048,0.0,0,0.0,nan
43222,V,chck_100M,rel0_total_ops_9,46,34.78260869565217,0.0,9.0,134.91304347826087,0.0,0,0.0,nan
43222,V,chck_100M,rel_ge1,5239,22.466119488451994,2.5831265508684864,8.527772475663294,129.96087039511357,2.632754342431762,1221,8.936484490398819,39.67213114754098
43222,V,chck_100M,rel_ge2,3916,24.5658835546476,3.1179775280898876,9.274770173646578,136.0349846782431,3.171859039836568,1205,12.085308056872037,39.31718061674009
43222,V,chck_100M,rel_ge3,2650,25.69811320754717,3.6520754716981134,9.80188679245283,140.93735849056603,3.690943396226415,716,10.411376333164043,38.752362948960304
43222,V,chck_100M,rel_updates_0,1541,37.3134328358209,0.0,3.388059701492537,88.73329007138221,0.0,0,0.0,nan
43222,V,chck_100M,rel_updates_1,1323,16.250944822373395,1.0,6.316704459561603,111.98185941043084,1.037037037037037,16,0.5415162454873647,85.71428571428571
43222,V,chck_100M,rel_updates_2,1266,22.195892575039494,2.0,8.171406003159557,125.77330173775671,2.085308056872038,489,15.431472081218274,40.105540897097626
43222,V,chck_100M,rel_updates_3,1230,23.577235772357724,3.0,9.44308943089431,137.81463414634146,3.0658536585365854,296,10.106382978723405,41.666666666666664
43222,V,chck_100M,rel_updates_4,1112,27.51798561151079,4.0,10.02158273381295,142.931654676259,4.01978417266187,326,10.66997518610422,36.440677966101696
43222,V,chck_100M,rel_updates_5,308,27.5974025974026,5.0,10.441558441558442,146.2077922077922,5.0,94,10.762331838565023,36.92307692307692
43222,V,chck_100M,reported_numops_0,1541,37.3134328358209,0.0,3.388059701492537,88.73329007138221,0.0,0,0.0,nan
43222,V,chck_100M,reported_numops_1,1274,14.913657770800627,1.0,6.229199372056515,111.54709576138147,1.0,0,0.0,nan
43222,V,chck_100M,reported_numops_2,1217,22.18570254724733,1.9597370583401807,8.054231717337716,125.22267871815941,2.0,481,15.945089757127771,40.810810810810814
43222,V,chck_100M,reported_numops_3,1240,24.516129032258064,2.9290322580645163,9.390322580645162,137.26693548387098,3.0,289,9.401709401709402,40.36697247706422
43222,V,chck_100M,reported_numops_4,1175,26.80851063829787,3.9191489361702128,10.04595744680851,142.60936170212767,4.0,351,11.627906976744185,38.46153846153846
43222,V,chck_100M,reported_numops_5,333,29.42942942942943,4.915915915915916,10.483483483483484,145.88888888888889,5.0,100,10.212765957446809,35.82089552238806
43222,V,chck_100M,total_ops_0,304,40.46052631578947,0.0,0.0,61.473684210526315,0.0,0,0.0,nan
43222,V,chck_100M,total_ops_1,331,35.34743202416919,0.22356495468277945,1.0,69.66465256797584,0.22356495468277945,0,0.0,nan
43222,V,chck_100M,total_ops_10,733,25.511596180081856,2.8076398362892223,10.0,141.51841746248294,2.8649386084583903,186,8.058608058608058,33.587786259541986
43222,V,chck_100M,total_ops_11,828,24.516908212560388,2.9504830917874396,11.0,149.18961352657004,3.0253623188405796,234,10.88,37.569060773480665
43222,V,chck_100M,total_ops_12,919,22.850924918389556,3.115342763873776,12.0,158.37431991294886,3.188248095756257,227,8.603667136812412,35.26011560693642
43222,V,chck_100M,total_ops_2,339,28.908554572271388,0.4424778761061947,2.0,77.53687315634218,0.4424778761061947,7,1.2448132780082988,60.0
43222,V,chck_100M,total_ops_3,358,26.536312849162012,0.723463687150838,3.0,85.74022346368714,0.723463687150838,13,3.4220532319391634,75.0
43222,V,chck_100M,total_ops_4,369,24.932249322493224,1.005420054200542,4.0,93.0,1.013550135501355,27,3.9711191335740073,50.0
43222,V,chck_100M,total_ops_5,393,24.427480916030536,1.3231552162849873,5.0,101.42493638676845,1.3384223918575064,43,5.05050505050505,48.38709677419355
43222,V,chck_100M,total_ops_6,446,26.233183856502244,1.6591928251121075,6.0,109.03363228699551,1.6793721973094171,75,6.079027355623101,40.0
43222,V,chck_100M,total_ops_7,508,23.228346456692915,2.045275590551181,7.0,117.93897637795276,2.0688976377952755,114,10.256410256410257,44.943820224719104
43222,V,chck_100M,total_ops_8,592,23.14189189189189,2.285472972972973,8.0,126.08952702702703,2.322635135135135,131,8.791208791208792,39.603960396039604
43222,V,chck_100M,total_ops_9,660,24.09090909090909,2.5196969696969695,9.0,134.4,2.5757575757575757,164,10.379241516966069,43.333333333333336
43222,V,chck_100M,type_ambiref,2315,24.578833693304535,2.0872570194384448,7.525701943844492,133.09330453563715,2.0872570194384448,399,5.61282932416953,34.146341463414636
43222,V,chck_100M,type_move_contents,2227,26.672653794342164,1.8792096991468343,7.292321508756174,113.54916928603502,1.995958688819039,381,8.083282302510716,44.5945945945946
43222,V,chck_100M,type_regular,2238,26.318141197497766,2.0178731009830204,7.254691689008043,114.66398570151921,2.0178731009830204,441,8.065494238932686,40.06024096385542
43222,V,chck_80M,ALL,6780,25.870206489675518,1.9960176991150442,7.359587020648967,120.59041297935103,2.0343657817109144,1221,7.282132908873856,40.21978021978022
43222,V,chck_80M,rel0_total_ops_0,304,36.8421052631579,0.0,0.0,61.473684210526315,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_1,257,38.91050583657587,0.0,1.0,69.715953307393,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_10,36,19.444444444444443,0.0,10.0,143.72222222222223,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_11,32,21.875,0.0,11.0,148.96875,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_12,30,23.333333333333332,0.0,12.0,157.36666666666667,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_2,212,37.264150943396224,0.0,2.0,77.93867924528301,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_3,172,37.2093023255814,0.0,3.0,85.88372093023256,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_4,131,40.458015267175576,0.0,4.0,93.36641221374046,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_5,104,34.61538461538461,0.0,5.0,100.5673076923077,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_6,88,36.36363636363637,0.0,6.0,107.64772727272727,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_7,66,31.818181818181817,0.0,7.0,117.81818181818181,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_8,63,31.746031746031747,0.0,8.0,127.47619047619048,0.0,0,0.0,nan
43222,V,chck_80M,rel0_total_ops_9,46,39.130434782608695,0.0,9.0,134.91304347826087,0.0,0,0.0,nan
43222,V,chck_80M,rel_ge1,5239,22.866959343386142,2.5831265508684864,8.527772475663294,129.96087039511357,2.632754342431762,1221,9.057164068299926,40.21978021978022
43222,V,chck_80M,rel_ge2,3916,24.948927477017364,3.1179775280898876,9.274770173646578,136.0349846782431,3.171859039836568,1205,12.283089486219803,40.02217294900222
43222,V,chck_80M,rel_ge3,2650,25.88679245283019,3.6520754716981134,9.80188679245283,140.93735849056603,3.690943396226415,716,10.539714867617107,39.056603773584904
43222,V,chck_80M,rel_updates_0,1541,36.08046722907203,0.0,3.388059701492537,88.73329007138221,0.0,0,0.0,nan
43222,V,chck_80M,rel_updates_1,1323,16.70445956160242,1.0,6.316704459561603,111.98185941043084,1.037037037037037,16,0.4537205081669691,62.5
43222,V,chck_80M,rel_updates_2,1266,22.98578199052133,2.0,8.171406003159557,125.77330173775671,2.085308056872038,489,15.794871794871796,41.39784946236559
43222,V,chck_80M,rel_updates_3,1230,24.146341463414632,3.0,9.44308943089431,137.81463414634146,3.0658536585365854,296,9.967845659163988,40.43478260869565
43222,V,chck_80M,rel_updates_4,1112,27.607913669064747,4.0,10.02158273381295,142.931654676259,4.01978417266187,326,11.304347826086957,39.224137931034484
43222,V,chck_80M,rel_updates_5,308,26.623376623376622,5.0,10.441558441558442,146.2077922077922,5.0,94,10.176991150442477,33.8235294117647
43222,V,chck_80M,reported_numops_0,1541,36.08046722907203,0.0,3.388059701492537,88.73329007138221,0.0,0,0.0,nan
43222,V,chck_80M,reported_numops_1,1274,15.463108320251177,1.0,6.229199372056515,111.54709576138147,1.0,0,0.0,nan
43222,V,chck_80M,reported_numops_2,1217,22.76088742810189,1.9597370583401807,8.054231717337716,125.22267871815941,2.0,481,15.957446808510639,41.20879120879121
43222,V,chck_80M,reported_numops_3,1240,25.241935483870968,2.9290322580645163,9.390322580645162,137.26693548387098,3.0,289,9.70873786407767,40.90909090909091
43222,V,chck_80M,reported_numops_4,1175,26.893617021276597,3.9191489361702128,10.04595744680851,142.60936170212767,4.0,351,11.990686845168801,40.234375
43222,V,chck_80M,reported_numops_5,333,28.52852852852853,4.915915915915916,10.483483483483484,145.88888888888889,5.0,100,9.663865546218487,32.857142857142854
