seed,arm,group,n,n_checkpoints,late_mean_accuracy_pct,late_mean_stale_pick_wrong_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words,mean_reported_numops
43222,V,ALL,6780,3,25.904621435594887,39.81062982050539,1.9960176991150442,7.359587020648967,120.59041297935103,2.0343657817109144
43222,V,rel0_total_ops_0,304,3,39.3640350877193,nan,0.0,0.0,61.473684210526315,0.0
43222,V,rel0_total_ops_1,257,3,39.29961089494164,nan,0.0,1.0,69.715953307393,0.0
43222,V,rel0_total_ops_10,36,3,24.074074074074073,nan,0.0,10.0,143.72222222222223,0.0
43222,V,rel0_total_ops_11,32,3,28.125,nan,0.0,11.0,148.96875,0.0
43222,V,rel0_total_ops_12,30,3,27.77777777777778,nan,0.0,12.0,157.36666666666667,0.0
43222,V,rel0_total_ops_2,212,3,36.63522012578616,nan,0.0,2.0,77.93867924528301,0.0
43222,V,rel0_total_ops_3,172,3,37.015503875968996,nan,0.0,3.0,85.88372093023256,0.0
43222,V,rel0_total_ops_4,131,3,38.93129770992366,nan,0.0,4.0,93.36641221374046,0.0
43222,V,rel0_total_ops_5,104,3,35.57692307692308,nan,0.0,5.0,100.5673076923077,0.0
43222,V,rel0_total_ops_6,88,3,37.5,nan,0.0,6.0,107.64772727272727,0.0
43222,V,rel0_total_ops_7,66,3,31.818181818181817,nan,0.0,7.0,117.81818181818181,0.0
43222,V,rel0_total_ops_8,63,3,34.92063492063492,nan,0.0,8.0,127.47619047619048,0.0
43222,V,rel0_total_ops_9,46,3,35.507246376811594,nan,0.0,9.0,134.91304347826087,0.0
43222,V,rel_ge1,5239,3,22.67608322198893,39.81062982050539,2.5831265508684864,8.527772475663294,129.96087039511357,2.632754342431762
43222,V,rel_ge2,3916,3,24.73612529792305,39.5443172665793,3.1179775280898876,9.274770173646578,136.0349846782431,3.171859039836568
43222,V,rel_ge3,2650,3,25.849056603773587,38.90279915419438,3.6520754716981134,9.80188679245283,140.93735849056603,3.690943396226415
43222,V,rel_updates_0,1541,3,36.88081332468094,nan,0.0,3.388059701492537,88.73329007138221,0.0
43222,V,rel_updates_1,1323,3,16.57848324514991,73.21428571428571,1.0,6.316704459561603,111.98185941043084,1.037037037037037
43222,V,rel_updates_2,1266,3,22.406529752501317,40.44835967127226,2.0,8.171406003159557,125.77330173775671,2.085308056872038
43222,V,rel_updates_3,1230,3,23.902439024390244,41.08396391774614,3.0,9.44308943089431,137.81463414634146,3.0658536585365854
43222,V,rel_updates_4,1112,3,27.607913669064747,37.79222676797195,4.0,10.02158273381295,142.931654676259,4.01978417266187
43222,V,rel_updates_5,308,3,27.272727272727273,35.37707390648567,5.0,10.441558441558442,146.2077922077922,5.0
43222,V,reported_numops_0,1541,3,36.88081332468094,nan,0.0,3.388059701492537,88.73329007138221,0.0
43222,V,reported_numops_1,1274,3,15.279958137100994,nan,1.0,6.229199372056515,111.54709576138147,1.0
43222,V,reported_numops_2,1217,3,22.32265132840318,40.76329076329077,1.9597370583401807,8.054231717337716,125.22267871815941,2.0
43222,V,reported_numops_3,1240,3,24.892473118279568,40.82658902995294,2.9290322580645163,9.390322580645162,137.26693548387098,3.0
43222,V,reported_numops_4,1175,3,26.893617021276597,39.05248397435897,3.9191489361702128,10.04595744680851,142.60936170212767,4.0
43222,V,reported_numops_5,333,3,29.12912912912913,34.33546552949538,4.915915915915916,10.483483483483484,145.88888888888889,5.0
43222,V,total_ops_0,304,3,39.3640350877193,nan,0.0,0.0,61.473684210526315,0.0
43222,V,total_ops_1,331,3,35.04531722054381,nan,0.22356495468277945,1.0,69.66465256797584,0.22356495468277945
43222,V,total_ops_10,733,3,25.46612096407458,32.48708458632123,2.8076398362892223,10.0,141.51841746248294,2.8649386084583903
43222,V,total_ops_11,828,3,24.516908212560388,36.98580769531773,2.9504830917874396,11.0,149.18961352657004,3.0253623188405796
43222,V,total_ops_12,919,3,22.742110990206747,37.24910353530938,3.115342763873776,12.0,158.37431991294886,3.188248095756257
43222,V,total_ops_2,339,3,28.8102261553589,60.0,0.4424778761061947,2.0,77.53687315634218,0.4424778761061947
43222,V,total_ops_3,358,3,27.001862197392924,74.24242424242425,0.723463687150838,3.0,85.74022346368714,0.723463687150838
43222,V,total_ops_4,369,3,25.383920505871725,52.308802308802306,1.005420054200542,4.0,93.0,1.013550135501355
43222,V,total_ops_5,393,3,24.851569126378287,45.017921146953405,1.3231552162849873,5.0,101.42493638676845,1.3384223918575064
43222,V,total_ops_6,446,3,26.15844544095665,42.091503267973856,1.6591928251121075,6.0,109.03363228699551,1.6793721973094171
43222,V,total_ops_7,508,3,23.490813648293965,46.04589091222179,2.045275590551181,7.0,117.93897637795276,2.0688976377952755
43222,V,total_ops_8,592,3,23.254504504504503,39.86227577640688,2.285472972972973,8.0,126.08952702702703,2.322635135135135
43222,V,total_ops_9,660,3,24.646464646464647,42.33660130718955,2.5196969696969695,9.0,134.4,2.5757575757575757
43222,V,type_ambiref,2315,3,24.521238300935924,34.225936664961054,2.0872570194384448,7.525701943844492,133.09330453563715,2.0872570194384448
43222,V,type_move_contents,2227,3,26.83729980541835,43.87723211591812,1.8792096991468343,7.292321508756174,113.54916928603502,1.995958688819039
43222,V,type_regular,2238,3,26.40750670241287,41.02264915517927,2.0178731009830204,7.254691689008043,114.66398570151921,2.0178731009830204
