family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
rewrite,D,43122,ALL,CminusR,5892,3,0.48518945767073846
rewrite,D,43122,ALL,RminusC,5892,3,-0.48518945767073846
rewrite,D,43122,token_nonoverlap,CminusR,2732,3,0.1897751457727069
rewrite,D,43122,token_nonoverlap,RminusC,2732,3,-0.1897751457727069
rewrite,D,43122,token_overlap,CminusR,3160,3,0.7405919577041002
rewrite,D,43122,token_overlap,RminusC,3160,3,-0.7405919577041002
