family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
copy,D,43122,ALL,CminusR,2000,3,-0.26927018819120335
copy,D,43122,ALL,RminusC,2000,3,0.26927018819120335
copy,D,43122,domain_bnc_spoken,CminusR,180,3,-0.3564983882378095
copy,D,43122,domain_bnc_spoken,RminusC,180,3,0.3564983882378095
copy,D,43122,domain_childes,CminusR,642,3,-0.17949884366065114
copy,D,43122,domain_childes,RminusC,642,3,0.17949884366065114
copy,D,43122,domain_gutenberg,CminusR,468,3,-0.3517709256138657
copy,D,43122,domain_gutenberg,RminusC,468,3,0.3517709256138657
copy,D,43122,domain_open_subtitles,CminusR,434,3,-0.22683561678511133
copy,D,43122,domain_open_subtitles,RminusC,434,3,0.22683561678511133
copy,D,43122,domain_simple_wiki,CminusR,272,3,-0.3526850723550477
copy,D,43122,domain_simple_wiki,RminusC,272,3,0.3526850723550477
copy,D,43122,domain_switchboard,CminusR,4,3,-0.03165457921568304
copy,D,43122,domain_switchboard,RminusC,4,3,0.03165457921568304
copy,D,43122,span_1,CminusR,1000,3,-0.37614424139916336
copy,D,43122,span_1,RminusC,1000,3,0.37614424139916336
copy,D,43122,span_4,CminusR,1000,3,-0.1623961349832436
copy,D,43122,span_4,RminusC,1000,3,0.1623961349832436
