ContextType,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
indirect,4758,0.5079865489701555,1604,0.3371164354770912,0.6851772746689448,2341,0.055503055453300476
direct,2860,0.5209790209790209,890,0.3111888111888112,0.6496350364963503,1370,0.23068136675283313
