TargetDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
concept swap,4746,0.5141171512852929,1412,0.2975136957437842,0.6123156981786644,2306,0.013988629827508703
variable swap,2872,0.5066155988857939,1138,0.39623955431754876,0.803105151729005,1417,0.03513653506524861
